name	LWR	fract	aLWR	afract	taxopath
Bacteria_Bacteroidetes_Bacteroidia_Marinilabiliales_Prolixibacteraceae_Draconibacterium_Draconibacterium_orientale	0.9999	0.9999	0.9999	0.9999	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium;Draconibacterium_orientale
Bacteria_Proteobacteria_Oligoflexia_Bdellovibrionales_Bdellovibrionaceae_Bdellovibrio	0.9997	0.9997	0.9997	0.9997	Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio
Query32	0.1814	0.9039	0.1814	0.904	Bacteria
Query26	0.9617	0.9617	0.991	0.991	Bacteria
Query93	0.7514	0.7544	0.9687	0.9725	Bacteria
Query90	0.4939	0.8203	0.4939	0.8203	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales
Query39	0.453	0.9799	0.453	0.9799	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query8	0.09819	0.6745	0.09819	0.6745	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query36	0.7396	0.7396	1	1	Bacteria;Proteobacteria;Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales	0.9997	0.9997	0.9997	0.9997	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales
Eukaryota_Chytridiomycota_Chytridiomycetes_Chytridiales_Chytriomycetaceae_Chytriomyces_Chytriomyces_confervae	0.9999	0.9999	0.9999	0.9999	Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Chytriomyces;Chytriomyces_confervae
Eukaryota_Streptophyta_Jungermanniopsida_Porellales	0.9264	0.9265	0.9264	0.9265	Eukaryota;Streptophyta;Jungermanniopsida;Porellales
Eukaryota_Streptophyta_Lycopodiopsida_Lycopodiales_Lycopodiaceae	0.9992	0.9992	0.9992	0.9992	Eukaryota;Streptophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae
Eukaryota_Streptophyta_Magnoliopsida_Aquifoliales_Aquifoliaceae_Ilex	0.9967	0.9967	0.9967	0.9967	Eukaryota;Streptophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
Eukaryota_Streptophyta_Magnoliopsida_Zingiberales	0.9938	0.9938	0.9938	0.9938	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales
Eukaryota_Streptophyta_Magnoliopsida_Amborellales_Amborellaceae_Amborella_Amborella_trichopoda	0.9968	0.9968	0.9968	0.9968	Eukaryota;Streptophyta;Magnoliopsida;Amborellales;Amborellaceae;Amborella;Amborella_trichopoda
Eukaryota_Glaucocystophyceae_Glaucocystophyceae_Cyanoptyche_Cyanoptyche_Cyanoptyche_Cyanoptyche_gloeocystis	0.9998	0.9998	0.9998	0.9998	Eukaryota;Glaucocystophyceae;Glaucocystophyceae;Cyanoptyche;Cyanoptyche;Cyanoptyche;Cyanoptyche_gloeocystis
Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales	0.9979	0.9979	0.9979	0.9979	Eukaryota;Chrysophyceae;Chrysophyceae;Chromulinales
Eukaryota_Bacillariophyta_Fragilariophyceae_Fragilariales_Fragilariaceae	0.9992	0.9992	0.9992	0.9992	Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae
Eukaryota_Discosea_Longamoebia_Longamoebia	0.9997	0.9997	0.9997	0.9997	Eukaryota;Discosea;Longamoebia;Longamoebia
Eukaryota_Nematomorpha_Gordioida_Chordodea	0.9997	0.9997	0.9997	0.9997	Eukaryota;Nematomorpha;Gordioida;Chordodea
Eukaryota_Arthropoda_Chilopoda_Craterostigmomorpha_Craterostigmidae_Craterostigmus	0.9997	0.9997	0.9997	0.9997	Eukaryota;Arthropoda;Chilopoda;Craterostigmomorpha;Craterostigmidae;Craterostigmus
Eukaryota_Chordata_Mammalia_Dasyuromorphia	0.9993	0.9993	0.9993	0.9993	Eukaryota;Chordata;Mammalia;Dasyuromorphia
Eukaryota_Chordata_Actinopteri_Semionotiformes_Lepisosteidae	0.9999	0.9999	0.9999	0.9999	Eukaryota;Chordata;Actinopteri;Semionotiformes;Lepisosteidae
Eukaryota_Chordata_Actinopteri_Moronidae_Moronidae	0.9997	0.9997	0.9997	0.9997	Eukaryota;Chordata;Actinopteri;Moronidae;Moronidae
Eukaryota_Chordata_Actinopteri_Ambassidae_Ambassidae	0.9993	0.9993	0.9993	0.9993	Eukaryota;Chordata;Actinopteri;Ambassidae;Ambassidae
Eukaryota_Chordata_Aves_Falconiformes_Falconidae	0.9994	0.9994	0.9994	0.9994	Eukaryota;Chordata;Aves;Falconiformes;Falconidae
Eukaryota_Chordata_Aves_Caprimulgiformes	0.9991	0.9991	0.9991	0.9991	Eukaryota;Chordata;Aves;Caprimulgiformes
Eukaryota_Echinodermata_Asteroidea_Brisingida	0.9998	0.9998	0.9998	0.9998	Eukaryota;Echinodermata;Asteroidea;Brisingida
Eukaryota_Mollusca_Gastropoda_Cocculinidae_Cocculinidae	0.9996	0.9996	0.9996	0.9996	Eukaryota;Mollusca;Gastropoda;Cocculinidae;Cocculinidae
Eukaryota_Mollusca_Bivalvia_Nuculoida_Nuculidae	0.9997	0.9997	0.9997	0.9997	Eukaryota;Mollusca;Bivalvia;Nuculoida;Nuculidae
Eukaryota_Arthropoda_Insecta_Lepidoptera	0.9994	0.9994	0.9994	0.9994	Eukaryota;Arthropoda;Insecta;Lepidoptera
Eukaryota_Arthropoda_Insecta_Megaloptera	0.9997	0.9997	0.9997	0.9997	Eukaryota;Arthropoda;Insecta;Megaloptera
Eukaryota_Zoopagomycota_Entomophthoromycetes_Entomophthorales_Ancylistaceae_Conidiobolus	1	1	1	1	Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus
Eukaryota_Ichthyosporea_Ichthyosporea_Ichthyophonida_Amoebidiaceae_Amoebidium_Amoebidium_parasiticum	1	1	1	1	Eukaryota;Ichthyosporea;Ichthyosporea;Ichthyophonida;Amoebidiaceae;Amoebidium;Amoebidium_parasiticum
Eukaryota_Mollusca_Gastropoda_Rissoellidae_Rissoellidae_Rissoella	0.9998	0.9998	0.9998	0.9998	Eukaryota;Mollusca;Gastropoda;Rissoellidae;Rissoellidae;Rissoella
Eukaryota_Mollusca_Gastropoda_Peltospiridae_Peltospiridae	0.9993	0.9993	0.9993	0.9993	Eukaryota;Mollusca;Gastropoda;Peltospiridae;Peltospiridae
Eukaryota_Mollusca_Gastropoda_Batillariidae_Batillariidae_Batillaria	0.9992	0.9992	0.9992	0.9992	Eukaryota;Mollusca;Gastropoda;Batillariidae;Batillariidae;Batillaria
Eukaryota_Mollusca_Polyplacophora_Chitonida	0.9984	0.9984	0.9984	0.9984	Eukaryota;Mollusca;Polyplacophora;Chitonida
Eukaryota_Platyhelminthes_Cestoda_Proteocephalidea	0.9991	0.9991	0.9991	0.9991	Eukaryota;Platyhelminthes;Cestoda;Proteocephalidea
Eukaryota_Nematoda_Enoplea_Dioctophymatida	0.9998	0.9998	0.9998	0.9998	Eukaryota;Nematoda;Enoplea;Dioctophymatida
Eukaryota_Nematoda_Chromadorea_Monhysterida	0.9995	0.9995	0.9995	0.9995	Eukaryota;Nematoda;Chromadorea;Monhysterida
Eukaryota_Echinodermata_Crinoidea_Hyocrinida_Hyocrinidae	0.9996	0.9996	0.9996	0.9996	Eukaryota;Echinodermata;Crinoidea;Hyocrinida;Hyocrinidae
Eukaryota_Mollusca_Bivalvia_Pectinoida	0.9999	0.9999	0.9999	0.9999	Eukaryota;Mollusca;Bivalvia;Pectinoida
Eukaryota_Porifera_Demospongiae_Poecilosclerida	0.9993	0.9993	0.9993	0.9993	Eukaryota;Porifera;Demospongiae;Poecilosclerida
Eukaryota_Cnidaria_Anthozoa_Corallimorpharia	0.9993	0.9993	0.9993	0.9993	Eukaryota;Cnidaria;Anthozoa;Corallimorpharia
Eukaryota_Apusomonadidae_Apusomonadidae_Apusomonadidae_Apusomonadidae_Thecamonas_Thecamonas_trahens	0.9997	0.9997	0.9997	0.9997	Eukaryota;Apusomonadidae;Apusomonadidae;Apusomonadidae;Apusomonadidae;Thecamonas;Thecamonas_trahens
Eukaryota_Ciliophora_Spirotrichea_Stichotrichida	0.9998	0.9998	0.9998	0.9998	Eukaryota;Ciliophora;Spirotrichea;Stichotrichida
Eukaryota_Dinophyceae_Dinophyceae_Gymnodiniales	0.9993	0.9993	0.9993	0.9993	Eukaryota;Dinophyceae;Dinophyceae;Gymnodiniales
Eukaryota_Oomycota_Oomycota_Lagenidiales	0.9986	0.9986	0.9986	0.9986	Eukaryota;Oomycota;Oomycota;Lagenidiales
Eukaryota_Rhodophyta_Florideophyceae_Rhodymeniales	0.9991	0.9991	0.9991	0.9991	Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniales
Query87	0.9627	0.9627	0.9627	0.9627	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
Query34	0.8598	0.8758	0.8659	0.882	Eukaryota;Chlorophyta
Eukaryota_Chlorophyta_Tetraedoron_Tetraedoron_Tetraedoron_Tetraedoron_Tetraedoron_bitridens	0.9999	0.9999	0.9999	0.9999	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
Query15	0.71	0.7199	0.9862	1	Eukaryota;Chlorophyta
Query18	0.4556	0.4776	0.4556	0.4776	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
Query10	0.7034	0.7089	0.992	0.9998	Eukaryota;Chlorophyta
Query29	0.01191	0.6152	0.01194	0.6168	Eukaryota
Query69	0.7322	0.982	0.7322	0.982	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
Bacteria_Actinobacteria_Actinobacteria_Kineosporiales_Kineosporiaceae_Kineococcus_Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA149	0.9996	0.9996	0.9996	0.9996	Bacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA149
Query79	0.8296	0.8297	0.8896	0.8897	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Bacteria_candidate_division_NC10_p_candidate_division_NC10_p_c_candidate_division_NC10_p_c_ocandidate_division_NC10_Candidatus_Methylomirabilis_Candidatus_Methylomirabilis_oxyfera	0.9999	0.9999	0.9999	0.9999	Bacteria;candidate_division_NC10_p;candidate_division_NC10;p_c_candidate_division_NC10;p_c_ocandidate_division_NC10;Candidatus_Methylomirabilis;Candidatus_Methylomirabilis_oxyfera
