name	LWR	fract	aLWR	afract	taxopath
Query342	0.6785	0.709	0.7348	0.7677	Eukaryota;Annelida;Polychaeta
Query149	0.3536	0.4283	0.3537	0.4284	Eukaryota;Chordata;Aves
Query428	0.4313	0.5306	0.7796	0.9591	Eukaryota
Query267	0.6308	0.7418	0.6308	0.7418	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query131	0.8112	0.9417	0.8112	0.9417	Eukaryota;Rhodophyta
Query19	0.5663	0.5663	0.9976	0.9976	Eukaryota
Query174	0.3957	0.7612	0.3957	0.7612	Eukaryota;Streptophyta
Query84	0.5177	0.5245	0.984	0.997	Bacteria;Proteobacteria
Query99	0.1769	0.9676	0.1769	0.9676	Bacteria;Proteobacteria
Query169	0.6429	0.6554	0.6429	0.6554	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Halieaceae
Query334	0.7637	0.9596	0.7637	0.9596	Bacteria;Proteobacteria
Query433	0.8306	0.9598	0.8306	0.9598	Bacteria;Proteobacteria
Query197	0.5563	0.5569	0.5563	0.5569	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified_Nitrosomonadales_OM43_clade
Query456	0.6648	0.6648	0.6648	0.6648	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified_Nitrosomonadales_OM43_clade
Query407	0.7399	0.7399	0.7399	0.7399	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;incertae;sedis;SAR86;cluster;SAR86;cluster
Query438	0.7652	0.7652	0.7652	0.7652	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;incertae;sedis;SAR86;cluster;SAR86;cluster
Query135	0.7777	0.7805	0.9957	0.9993	Bacteria;Proteobacteria
Query129	0.6325	0.6325	0.6325	0.6325	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae;Psychromonadaceae
Query314	0.902	0.9084	0.9694	0.9764	Bacteria;Proteobacteria
Query371	0.5559	0.7322	0.6201	0.8168	Bacteria;Proteobacteria
Query181	0.74	0.7405	0.9993	1	Bacteria;Proteobacteria
Query234	0.2653	0.4899	0.2653	0.4899	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query225	0.4427	0.9708	0.4427	0.9708	Bacteria;Proteobacteria
Query69	0.4967	0.5532	0.8563	0.9538	Bacteria;Proteobacteria;Gammaproteobacteria
Query28	0.9375	0.9424	0.9892	0.9945	Bacteria;Proteobacteria
Query77	0.9514	0.9514	0.9787	0.9787	Bacteria;Proteobacteria
Query493	0.8092	0.8869	0.8856	0.9706	Bacteria;Proteobacteria
Query92	0.8489	0.9364	0.8849	0.9762	Bacteria;Proteobacteria
Query117	0.6992	0.7068	0.9811	0.9916	Bacteria;Proteobacteria
Query205	0.8679	0.875	0.9739	0.982	Bacteria;Proteobacteria
Query80	0.3435	0.4351	0.3435	0.4351	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae
Query297	0.6575	0.965	0.6618	0.9713	Bacteria;Proteobacteria
Query337	0.9572	0.967	0.9742	0.9841	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales
Query288	0.9064	0.912	0.9836	0.9896	Bacteria;Proteobacteria;Gammaproteobacteria
Query62	0.5949	0.5949	0.6279	0.6279	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales
Query102	0.5978	0.6201	0.9611	0.9969	Bacteria;Proteobacteria;Gammaproteobacteria
Query298	0.4199	0.4715	0.4478	0.5028	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales
Query453	0.4997	0.5044	0.9826	0.9918	Bacteria;Proteobacteria;Gammaproteobacteria
Query365	0.2836	0.7946	0.2836	0.7946	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query196	0.6773	0.7686	0.6773	0.7686	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;Spongiibacteraceae
Query276	0.6099	0.617	0.9852	0.9968	Bacteria;Proteobacteria;Gammaproteobacteria
Query10	0.35	0.7447	0.35	0.7447	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;Spongiibacteraceae
Query209	0.423	0.7825	0.423	0.7825	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbiferaceae;Microbulbifer
Query296	0.5149	0.5149	0.9989	0.9989	Bacteria;Proteobacteria;Gammaproteobacteria
Query95	0.8712	0.8712	0.8712	0.8712	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;Porticoccaceae;unclassified_Porticoccaceae
Query332	0.4901	0.54	0.6516	0.7179	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales
Query320	0.2644	0.8093	0.2644	0.8093	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query412	0.6754	0.7103	0.7934	0.8344	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales
Query114	0.4599	0.9482	0.4668	0.9623	Bacteria;Proteobacteria
