name	LWR	fract	aLWR	afract	taxopath
Query149	0	0	0.8065	0.9767	Eukaryota
Query149	0.05795	0.07017	0.8065	0.9767	Eukaryota;Chordata
Query149	0.3537	0.4283	0.3537	0.4284	Eukaryota;Chordata;Aves
Query149	5.605e-06	6.788e-06	5.605e-06	6.788e-06	Eukaryota;Chordata;Aves;Upupiformes
Query149	0	0	6.769e-05	8.197e-05	Eukaryota;Chordata;Aves;Tinamiformes
Query149	6.769e-05	8.197e-05	6.769e-05	8.197e-05	Eukaryota;Chordata;Aves;Tinamiformes;Tinamidae
Query149	0.3005	0.3639	0.3533	0.4279	Eukaryota;Chordata;Actinopteri
Query149	0	0	0.05255	0.06364	Eukaryota;Chordata;Actinopteri;Embiotocidae
Query149	0.05255	0.06364	0.05255	0.06364	Eukaryota;Chordata;Actinopteri;Embiotocidae;Embiotocidae
Query149	0	0	5.205e-06	6.303e-06	Eukaryota;Chordata;Actinopteri;Pomacanthidae
Query149	5.205e-06	6.303e-06	5.205e-06	6.303e-06	Eukaryota;Chordata;Actinopteri;Pomacanthidae;Pomacanthidae
Query149	0.0002667	0.000323	0.0002667	0.000323	Eukaryota;Chordata;Actinopteri;Uranoscopiformes
Query149	0	0	0.04152	0.05028	Eukaryota;Chordata;Cladistia
Query149	0	0	0.04152	0.05028	Eukaryota;Chordata;Cladistia;Polypteriformes
Query149	0.04152	0.05028	0.04152	0.05028	Eukaryota;Chordata;Cladistia;Polypteriformes;Polypteridae
Query149	0.01923	0.02328	0.01923	0.02328	DISTANT
Query6	0.08547	0.09856	0.8345	0.9622	Bacteria
Query6	0	0	0.749	0.8637	Bacteria;Proteobacteria
Query6	0	0	0.749	0.8637	Bacteria;Proteobacteria;Alphaproteobacteria
Query6	0	0	0.7195	0.8296	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales
Query6	0	0	0.7195	0.8296	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Caedimonadaceae
Query6	0.7195	0.8296	0.7195	0.8296	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Caedimonadaceae;Caedimonadaceae
Query6	0	0	0.02952	0.03404	Bacteria;Proteobacteria;Alphaproteobacteria;Maricaulales
Query6	0	0	0.02952	0.03404	Bacteria;Proteobacteria;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae
Query6	0	0	0.02952	0.03404	Bacteria;Proteobacteria;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae;Robiginitomaculaceae
Query6	0	0	0.02952	0.03404	Bacteria;Proteobacteria;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae;Robiginitomaculaceae;Litorimonas
Query6	0.02952	0.03404	0.02952	0.03404	Bacteria;Proteobacteria;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae;Robiginitomaculaceae;Litorimonas;Litorimonas_taeanensis
Query6	0.03273	0.03774	0.03273	0.03774	DISTANT
Query6	0	0	1.836e-05	2.117e-05	Eukaryota
Query6	0	0	1.827e-05	2.107e-05	Eukaryota;Ciliophora
Query6	0	0	1.827e-05	2.107e-05	Eukaryota;Ciliophora;Oligohymenophorea
Query6	1.827e-05	2.107e-05	1.827e-05	2.107e-05	Eukaryota;Ciliophora;Oligohymenophorea;Peniculida
Query6	0	0	8.368e-08	9.648e-08	Eukaryota;Cnidaria
Query6	8.368e-08	9.648e-08	8.368e-08	9.648e-08	Eukaryota;Cnidaria;Myxozoa
Query365	0.8154	0.8164	0.8154	0.8164	Bacteria
Query365	0.1834	0.1836	0.1834	0.1836	DISTANT
Query276	0.4201	0.4513	0.8401	0.9026	Archaea
Query276	0.4201	0.4513	0.4201	0.4513	Archaea;environmental_samples
Query276	0.03737	0.04015	0.03737	0.04015	DISTANT
Query276	0	0	0.05324	0.05721	Bacteria
Query276	0	0	0.05324	0.05721	Bacteria;Terrabacteria_group
Query276	0	0	0.05324	0.05721	Bacteria;Terrabacteria_group;Firmicutes
Query276	0	0	0.05324	0.05721	Bacteria;Terrabacteria_group;Firmicutes;Bacilli
Query276	0	0	0.03044	0.0327	Bacteria;Terrabacteria_group;Firmicutes;Bacilli;Bacillales
