LWR	fract	aLWR	afract	taxopath
6.464	0.01436	43.91	0.09757	Eukaryota
0	0	0.7484	0.001663	Eukaryota;Annelida
0.6967	0.001548	0.7484	0.001663	Eukaryota;Annelida;Polychaeta
0	0	0.03702	8.227e-05	Eukaryota;Annelida;Polychaeta;Parergodrilidae
0.03702	8.227e-05	0.03702	8.227e-05	Eukaryota;Annelida;Polychaeta;Parergodrilidae;Parergodrilidae
0	0	5.861e-06	1.302e-08	Eukaryota;Annelida;Polychaeta;Dinophilidae
5.861e-06	1.302e-08	5.861e-06	1.302e-08	Eukaryota;Annelida;Polychaeta;Dinophilidae;Dinophilidae
0	0	6.045e-07	1.343e-09	Eukaryota;Annelida;Polychaeta;Protodrilidae
6.045e-07	1.343e-09	6.045e-07	1.343e-09	Eukaryota;Annelida;Polychaeta;Protodrilidae;Protodrilidae
0	0	0.01469	3.264e-05	Eukaryota;Annelida;Polychaeta;Potamodrilidae
0	0	0.01469	3.264e-05	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus
0	0	0.01469	3.264e-05	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus;Potamodrilus
0.01469	3.264e-05	0.01469	3.264e-05	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus;Potamodrilus;Potamodrilus_fluviatilis
0	0	2.961e-06	6.58e-09	Eukaryota;Mollusca
0	0	2.961e-06	6.58e-09	Eukaryota;Mollusca;Cephalopoda
0	0	2.961e-06	6.58e-09	Eukaryota;Mollusca;Cephalopoda;Nautilida
2.961e-06	6.58e-09	2.961e-06	6.58e-09	Eukaryota;Mollusca;Cephalopoda;Nautilida;Nautilidae
0	0	1.77	0.003934	Eukaryota;Chordata
0.5243	0.001165	0.6959	0.001546	Eukaryota;Chordata;Aves
0.1715	0.0003811	0.1715	0.0003811	Eukaryota;Chordata;Aves;Upupiformes
0	0	0.0001344	2.986e-07	Eukaryota;Chordata;Aves;Tinamiformes
0.0001344	2.986e-07	0.0001344	2.986e-07	Eukaryota;Chordata;Aves;Tinamiformes;Tinamidae
0.09234	0.0002052	0.1042	0.0002316	Eukaryota;Chordata;Actinopteri
0	0	1.731e-06	3.846e-09	Eukaryota;Chordata;Actinopteri;Pomacanthidae
1.731e-06	3.846e-09	1.731e-06	3.846e-09	Eukaryota;Chordata;Actinopteri;Pomacanthidae;Pomacanthidae
3.441e-06	7.646e-09	3.441e-06	7.646e-09	Eukaryota;Chordata;Actinopteri;Uranoscopiformes
0	0	0.01188	2.639e-05	Eukaryota;Chordata;Actinopteri;Embiotocidae
0.01188	2.639e-05	0.01188	2.639e-05	Eukaryota;Chordata;Actinopteri;Embiotocidae;Embiotocidae
0.01474	3.275e-05	0.02864	6.363e-05	Eukaryota;Chordata;Chondrichthyes
0.0139	3.088e-05	0.0139	3.088e-05	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes
0	0	0.9414	0.002092	Eukaryota;Chordata;Thaliacea
0	0	0.9414	0.002092	Eukaryota;Chordata;Thaliacea;Pyrosomata
0	0	0.9414	0.002092	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae
0	0	0.9414	0.002092	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma
0.9414	0.002092	0.9414	0.002092	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
0.61	0.001355	0.9427	0.002095	Eukaryota;Cnidaria
0.3327	0.0007394	0.3327	0.0007394	Eukaryota;Cnidaria;Anthozoa
0.7652	0.0017	0.7965	0.00177	Eukaryota;Rhodophyta
0	0	0.03129	6.952e-05	Eukaryota;Rhodophyta;Compsopogonophyceae
0.03129	6.952e-05	0.03129	6.952e-05	Eukaryota;Rhodophyta;Compsopogonophyceae;Erythropeltidales
1.81e-06	4.022e-09	1.81e-06	4.022e-09	Eukaryota;Mucoromycota
0	0	6.315e-06	1.403e-08	Eukaryota;Collodictyonidae
0	0	6.315e-06	1.403e-08	Eukaryota;Collodictyonidae;Collodictyonidae
0	0	6.315e-06	1.403e-08	Eukaryota;Collodictyonidae;Collodictyonidae;Collodictyonidae
0	0	6.315e-06	1.403e-08	Eukaryota;Collodictyonidae;Collodictyonidae;Collodictyonidae;Collodictyonidae
