LWR	fract	aLWR	afract	taxopath
309.5	0.04852	2469	0.387	Bacteria
0.000594	9.311e-08	7	0.001097	Bacteria;Chloroflexi
0.000461	7.227e-08	2	0.0003135	Bacteria;Chloroflexi;Thermomicrobia
0	0	0.9997	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales
0	0	0.9997	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae
0	0	0.9997	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter
0.9997	0.0001567	0.9997	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter_thermophilus_DSM_20745
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium
0.9998	0.0001567	0.9998	0.0001567	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium;Thermomicrobium_roseum_DSM_5159
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Ktedonobacteria
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter
0.9999	0.0001567	0.9999	0.0001567	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;Ktedonobacter_racemifer_DSM_44963
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Chloroflexia
0.9998	0.0001567	0.9998	0.0001567	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales
0	0	0.9997	0.0001567	Bacteria;Chloroflexi;p_Chloroflexi
0	0	0.9997	0.0001567	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi
0	0	0.9997	0.0001567	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi
0	0	0.9997	0.0001567	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi
0.9997	0.0001567	0.9997	0.0001567	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi;uncultured_Chloroflexi_bacterium
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Anaerolineae
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
0	0	0.9999	0.0001567	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea
0.9999	0.0001567	0.9999	0.0001567	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;Anaerolinea_thermophila_UNI1
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Caldilineae
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Caldilineae;Caldilineales
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae
0	0	0.9998	0.0001567	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea
0.9998	0.0001567	0.9998	0.0001567	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;Caldilinea_aerophila_DSM_14535_=_NBRC_104270
0	0	3.999	0.000627	Bacteria;Acidobacteria
0	0	1.999	0.0003134	Bacteria;Acidobacteria;Blastocatellia
0	0	0.9998	0.0001567	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia
0	0	0.9998	0.0001567	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia;o_f_Blastocatellia
0	0	0.9998	0.0001567	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia;o_f_Blastocatellia;Chloracidobacterium
0.9998	0.0001567	0.9998	0.0001567	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia;o_f_Blastocatellia;Chloracidobacterium;Chloracidobacterium_thermophilum_B
0	0	0.9997	0.0001567	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales
0	0	0.9997	0.0001567	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae
0	0	0.9997	0.0001567	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas
0.9997	0.0001567	0.9997	0.0001567	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas;Pyrinomonas_methylaliphatogenes
0.0006015	9.429e-08	2	0.0003135	Bacteria;Acidobacteria;Acidobacteriia
0	0	0.9996	0.0001567	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales
0.9996	0.0001567	0.9996	0.0001567	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
0	0	0.9998	0.0001567	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
0	0	0.9998	0.0001567	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae
0	0	0.9998	0.0001567	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus_Solibacter
0.9998	0.0001567	0.9998	0.0001567	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus_Solibacter;Candidatus_Solibacter_usitatus_Ellin6076
2.522	0.0003953	2083	0.3266	Bacteria;Proteobacteria
120.2	0.01884	177.6	0.02785	Bacteria;Proteobacteria;Betaproteobacteria
35.96	0.005638	35.96	0.005638	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
1.121	0.0001758	1.121	0.0001758	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales
0	0	10.11	0.001586	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria
0	0	10.11	0.001586	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria
10.11	0.001586	10.11	0.001586	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria;c_o_f_Betaproteobacteria
5.234	0.0008205	5.234	0.0008205	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
0	0	3.659	0.0005736	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis
3.659	0.0005736	3.659	0.0005736	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis;Candidatus_Accumulibacter
1.383	0.0002168	1.383	0.0002168	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales
543.9	0.08527	790.3	0.1239	Bacteria;Proteobacteria;Gammaproteobacteria
4.322	0.0006775	4.322	0.0006775	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales
0	0	39.26	0.006155	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales
39.26	0.006155	39.26	0.006155	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae
14.56	0.002283	14.56	0.002283	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales
0	0	42.38	0.006643	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales
42.38	0.006643	42.38	0.006643	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae
24.29	0.003808	24.29	0.003808	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
4.576	0.0007174	4.576	0.0007174	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales
41.77	0.006547	41.77	0.006547	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
37.66	0.005904	37.66	0.005904	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales
20.17	0.003163	20.17	0.003163	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales
9.071	0.001422	9.071	0.001422	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales
0	0	1.406	0.0002205	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales
0	0	1.406	0.0002205	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae
0	0	1.406	0.0002205	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium
1.406	0.0002205	1.406	0.0002205	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;Cardiobacterium_valvarum_F0432
0	0	0.9995	0.0001567	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales
0	0	0.9995	0.0001567	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae
0	0	0.9995	0.0001567	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Hydrocarboniphaga
0.9995	0.0001567	0.9995	0.0001567	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Hydrocarboniphaga;Hydrocarboniphaga_effusa_AP103
0	0	0.9997	0.0001567	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales
0.9997	0.0001567	0.9997	0.0001567	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae
0	0	0.9989	0.0001566	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria
0.9989	0.0001566	0.9989	0.0001566	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;incertae_sedis
0	0	0.9997	0.0001567	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales
