name	LWR	fract	aLWR	afract	taxopath
Query12	0.9998	0.9998	0.9998	0.9998	Eukaryota;Annelida;Clitellata;Acanthobdellida;Acanthobdella;Acanthobdella;Acanthobdella_peledina
Query17	0.9984	0.9984	0.9984	0.9984	Eukaryota;Annelida;Clitellata;Hirudinida
Query169	0.9998	0.9998	0.9998	0.9998	Eukaryota;Arthropoda;Symphyla;Scutigerellidae;Scutigerellidae;Scutigerella;Scutigerella_causeyae
Query818	0.9997	0.9997	0.9997	0.9997	Eukaryota;Nematomorpha;Gordioida;Gordea;Gordiidae
Query146	0.9994	0.9994	0.9994	0.9994	Eukaryota;Arthropoda;Malacostraca;Euphausiacea
Query93	0.9998	0.9998	0.9998	0.9998	Eukaryota;Arthropoda;Hexanauplia;Apygophora;Trypetesidae;Trypetesa;Trypetesa;lampas
Query161	0.9995	0.9995	0.9995	0.9995	Eukaryota;Arthropoda;Protura;Eosentomidae;Eosentomidae
Query126	0.9997	0.9997	0.9997	0.9997	Eukaryota;Arthropoda;Insecta;Megaloptera
Query694	0.9996	0.9996	0.9996	0.9996	Eukaryota;Mollusca;Cephalopoda;Idiosepiidae;Idiosepiidae;Idiosepius
Query780	0.9995	0.9995	0.9995	0.9995	Eukaryota;Mollusca;Gastropoda;Thiaridae;Thiaridae
Query717	0.9998	0.9998	0.9998	0.9998	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae;Campanile;Campanile_symbolicum
Query789	0.9986	0.9986	0.9986	0.9986	Eukaryota;Mollusca;Polyplacophora;Chitonida
Query627	0.9996	0.9996	0.9996	0.9996	Eukaryota;Entoprocta;Pedicellinidae;Pedicellinidae;Pedicellinidae
Query21	0.9997	0.9997	0.9997	0.9997	Eukaryota;Annelida;Myzostomida;Myzostomida
Query779	0.9991	0.9991	0.9991	0.9991	Eukaryota;Mollusca;Gastropoda;Systellommatophora
Query771	0.9997	0.9997	0.9997	0.9997	Eukaryota;Mollusca;Gastropoda;Ringiculidae;Ringiculidae
Query724	0.9995	0.9995	0.9995	0.9995	Eukaryota;Mollusca;Gastropoda;Costasiellidae;Costasiellidae;Costasiella
Query726	0.9997	0.9997	0.9997	0.9997	Eukaryota;Mollusca;Gastropoda;Cylindrobullidae;Cylindrobullidae;Cylindrobulla;Cylindrobulla_beauii
Query778	0.9994	0.9994	0.9994	0.9994	Eukaryota;Mollusca;Gastropoda;Stylommatophora
Query79	0.9993	0.9993	0.9993	0.9993	Eukaryota;Arthropoda;Diplopoda;Chordeumatida
Query99	0.9997	0.9997	0.9997	0.9997	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
