name	LWR	fract	aLWR	afract	taxopath
Query2421	0.9985	1	0.9985	1	DISTANT
Query2808	0.943	0.943	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3492	0.652	0.652	0.8143	0.8143	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1565	0.583	0.583	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2068	0.8011	0.8011	0.8011	0.8011	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2264	0.6263	0.6263	0.9006	0.9006	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2703	0.6415	0.6415	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2675	0.7691	0.7691	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3129	0.8928	0.8928	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1863	0.5175	0.5175	0.8434	0.8434	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2508	0.8913	0.8913	0.8913	0.8913	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2094	0.6096	0.6096	0.6096	0.6096	DISTANT
Query3374	0.5591	0.5591	0.5591	0.5591	DISTANT
Query2552	0.9543	0.9543	0.9543	0.9543	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3432	0.5126	0.5126	0.5126	0.5126	DISTANT
Query2693	0.5984	0.5984	0.5984	0.5984	DISTANT
Query3295	0.8124	0.8124	0.9808	0.9808	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3298	0.869	0.869	0.9666	0.9666	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1875	0.5016	0.5016	0.5016	0.5016	DISTANT
Query2558	0.6243	0.6243	0.6243	0.6243	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2123	0.9316	0.9316	0.9316	0.9316	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3266	0.8901	0.8975	0.8901	0.8975	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3512	0.8379	0.8379	0.8379	0.8379	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1365	0.8856	0.8856	0.8856	0.8856	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1220	0.8532	0.8532	0.8532	0.8532	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3195	0.5049	0.5049	0.5049	0.5049	DISTANT
Query3464	0.5416	0.5416	0.5416	0.5416	DISTANT
