name	LWR	fract	aLWR	afract	taxopath
Query193839	0.5721	0.6958	0.6933	0.8432	Bacteria
Query193788	0.8906	0.8906	0.8906	0.8906	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query193816	0.6623	0.6623	0.6623	0.6623	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query193221	0.8895	0.8895	0.8895	0.8895	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query194559	0.6131	0.6131	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query193600	0.7347	0.7347	0.7347	0.7347	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query194911	0.5567	0.5619	0.5567	0.5619	DISTANT
Query195148	0.5103	0.5103	0.5103	0.5103	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query192416	0.7593	0.7593	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query195254	0.8743	0.8743	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query195116	0.757	0.757	0.9936	0.9936	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query193773	0.6404	0.6404	0.702	0.702	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query194912	0.9614	0.9614	0.9614	0.9614	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query195472	0.9891	0.9891	0.9891	0.9891	DISTANT
Query193250	0.9184	0.9184	0.9184	0.9184	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query191183	0.9597	0.9597	0.9597	0.9597	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query194840	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query193910	0.4107	0.6311	0.4227	0.6495	Bacteria;Cyanobacteria;p_Cyanobacteria
Query193352	0.5096	0.5096	0.904	0.904	Bacteria;Bacteroidetes;Flavobacteriia
Query194811	0.324	0.9373	0.324	0.9373	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query193340	0.6462	0.6462	0.6462	0.6462	Eukaryota;Cnidaria;Myxozoa
Query194865	0.6684	0.9705	0.6684	0.9705	Eukaryota;Discosea;Flabellinia;Vannellidae;Vannellidae
Query193266	0.7123	0.7123	0.9565	0.9565	Eukaryota
Query193852	0.8349	0.8349	0.9598	0.9598	Eukaryota
Query193361	0.535	0.6114	0.8688	0.9928	Eukaryota
Query193965	0.8295	0.9024	0.8295	0.9024	Eukaryota;Rhodophyta
Query193510	0.3932	0.4061	0.9588	0.9903	Eukaryota
Query192967	0.7843	0.7853	0.9861	0.9873	Eukaryota;Phaeophyceae;Phaeophyceae
Query193268	0.6056	0.6056	0.9269	0.9269	Eukaryota;Annelida;Polychaeta
Query190896	0.5872	0.5948	0.5872	0.5948	Eukaryota;Echinodermata;Asteroidea;Peripodida;Xyloplacidae;Xyloplax;Xyloplax_janetae
Query195546	0.4256	0.4379	0.8544	0.879	Eukaryota;Nematoda
Query191397	0.6906	0.6909	0.9819	0.9823	Eukaryota;Annelida;Polychaeta
Query194844	0.5564	0.5661	0.5564	0.5661	Eukaryota;Haptista;Haptophyta
Query191092	0.2716	0.2784	0.9645	0.9884	Eukaryota
Query194008	0.8231	0.8233	0.9837	0.9839	Eukaryota;Haptista;Haptophyta
Query193466	0.5443	0.5446	0.9982	0.9988	Eukaryota
Query192333	0.8965	0.941	0.8965	0.941	Eukaryota;Collodictyonidae;Collodictyonidae;Collodictyonidae;Collodictyonidae;Diphylleia;Diphylleia_rotans
Query194065	0.9373	0.9433	0.9744	0.9806	Eukaryota
Query195636	0.9456	0.9581	0.9536	0.9662	Eukaryota
Query191977	0.5637	0.5858	0.9245	0.9607	Eukaryota
Query193147	0.9739	0.9918	0.9739	0.9918	Eukaryota
Query193129	0.9286	0.9528	0.9452	0.9698	Eukaryota
Query192354	0.7154	0.9589	0.7154	0.9589	Eukaryota
Query193457	0.4665	0.6737	0.6776	0.9785	Eukaryota
Query192746	0.9756	0.9759	0.9756	0.9759	Eukaryota
Query194443	0.5281	0.5772	0.8875	0.97	Eukaryota
Query191055	0.8208	0.8284	0.8208	0.8284	Eukaryota;Bacillariophyta
Query192844	0.5389	0.6631	0.5389	0.6631	Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae
Query193759	0.2837	0.9273	0.2911	0.9515	Eukaryota
