name	LWR	fract	aLWR	afract	taxopath
Query2421	0.9985	1	0.9985	1	DISTANT
Query2808	0	0	1	1	Archaea
Query2808	0	0	1	1	Archaea;Euryarchaeota
Query2808	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query2808	0.943	0.943	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2808	0.05703	0.05703	0.05703	0.05703	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query3492	0	0	0.8143	0.8143	Archaea
Query3492	0	0	0.8143	0.8143	Archaea;Euryarchaeota
Query3492	0	0	0.8143	0.8143	Archaea;Euryarchaeota;environmental_samples
Query3492	0.652	0.652	0.8143	0.8143	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3492	0.1624	0.1624	0.1624	0.1624	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query3492	0.1857	0.1857	0.1857	0.1857	DISTANT
Query1565	0	0	1	1	Archaea
Query1565	0	0	1	1	Archaea;Euryarchaeota
Query1565	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query1565	0.583	0.583	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1565	0.417	0.417	0.417	0.417	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2068	0	0	0.8011	0.8011	Archaea
Query2068	0	0	0.8011	0.8011	Archaea;Euryarchaeota
Query2068	0	0	0.8011	0.8011	Archaea;Euryarchaeota;environmental_samples
Query2068	0.8011	0.8011	0.8011	0.8011	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2068	1.57e-06	1.57e-06	1.57e-06	1.57e-06	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2068	0.1989	0.1989	0.1989	0.1989	DISTANT
Query2264	0	0	0.9006	0.9006	Archaea
Query2264	0	0	0.9006	0.9006	Archaea;Euryarchaeota
Query2264	0	0	0.9006	0.9006	Archaea;Euryarchaeota;environmental_samples
Query2264	0.6263	0.6263	0.9006	0.9006	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2264	0.2744	0.2744	0.2744	0.2744	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2264	0.09938	0.09938	0.09938	0.09938	DISTANT
Query2703	0	0	1	1	Archaea
Query2703	0	0	1	1	Archaea;Euryarchaeota
Query2703	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query2703	0.6415	0.6415	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2703	0.3585	0.3585	0.3585	0.3585	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2675	0	0	1	1	Archaea
Query2675	0	0	1	1	Archaea;Euryarchaeota
Query2675	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query2675	0.7691	0.7691	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2675	0.2309	0.2309	0.2309	0.2309	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query3129	0	0	1	1	Archaea
Query3129	0	0	1	1	Archaea;Euryarchaeota
Query3129	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query3129	0.8928	0.8928	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3129	0.1072	0.1072	0.1072	0.1072	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1863	0	0	0.8434	0.8434	Archaea
Query1863	0	0	0.8434	0.8434	Archaea;Euryarchaeota
Query1863	0	0	0.8434	0.8434	Archaea;Euryarchaeota;environmental_samples
Query1863	0.5175	0.5175	0.8434	0.8434	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1863	0.3259	0.3259	0.3259	0.3259	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1863	0.1566	0.1566	0.1566	0.1566	DISTANT
Query2508	0	0	0.8913	0.8913	Archaea
Query2508	0	0	0.8913	0.8913	Archaea;Euryarchaeota
Query2508	0	0	0.8913	0.8913	Archaea;Euryarchaeota;environmental_samples
Query2508	0.8913	0.8913	0.8913	0.8913	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2508	9.797e-07	9.797e-07	9.797e-07	9.797e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2508	0.1087	0.1087	0.1087	0.1087	DISTANT
Query2094	0	0	0.3904	0.3904	Archaea
Query2094	0	0	0.3904	0.3904	Archaea;Euryarchaeota
Query2094	0	0	0.3904	0.3904	Archaea;Euryarchaeota;environmental_samples
Query2094	0.3904	0.3904	0.3904	0.3904	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2094	7.65e-07	7.65e-07	7.65e-07	7.65e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2094	0.6096	0.6096	0.6096	0.6096	DISTANT
Query3374	0	0	0.4409	0.4409	Archaea
Query3374	0	0	0.4409	0.4409	Archaea;Euryarchaeota
Query3374	0	0	0.4409	0.4409	Archaea;Euryarchaeota;environmental_samples
Query3374	0.4409	0.4409	0.4409	0.4409	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3374	4.901e-07	4.901e-07	4.901e-07	4.901e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query3374	0.5591	0.5591	0.5591	0.5591	DISTANT
Query2552	0	0	0.9543	0.9543	Archaea
Query2552	0	0	0.9543	0.9543	Archaea;Euryarchaeota
Query2552	0	0	0.9543	0.9543	Archaea;Euryarchaeota;environmental_samples
Query2552	0.9543	0.9543	0.9543	0.9543	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2552	9.797e-07	9.797e-07	9.797e-07	9.797e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2552	0.04571	0.04571	0.04571	0.04571	DISTANT
Query3432	0	0	0.4874	0.4874	Archaea
Query3432	0	0	0.4874	0.4874	Archaea;Euryarchaeota
Query3432	0	0	0.4874	0.4874	Archaea;Euryarchaeota;environmental_samples
Query3432	0.4874	0.4874	0.4874	0.4874	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3432	9.55e-07	9.55e-07	9.55e-07	9.55e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query3432	0.5126	0.5126	0.5126	0.5126	DISTANT
Query2693	0	0	0.4016	0.4016	Archaea
Query2693	0	0	0.4016	0.4016	Archaea;Euryarchaeota
Query2693	0	0	0.4016	0.4016	Archaea;Euryarchaeota;environmental_samples
Query2693	0.4016	0.4016	0.4016	0.4016	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2693	7.87e-07	7.87e-07	7.87e-07	7.87e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2693	0.5984	0.5984	0.5984	0.5984	DISTANT
Query3295	0	0	0.9808	0.9808	Archaea
Query3295	0	0	0.9808	0.9808	Archaea;Euryarchaeota
Query3295	0	0	0.9808	0.9808	Archaea;Euryarchaeota;environmental_samples
Query3295	0.8124	0.8124	0.9808	0.9808	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
