LWR	fract	aLWR	afract	taxopath
10.15	0.002221	261.3	0.05718	Bacteria
0.2436	5.331e-05	7.347	0.001608	Bacteria;Chloroflexi
0.000461	1.009e-07	2	0.0004377	Bacteria;Chloroflexi;Thermomicrobia
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium
0.9998	0.0002188	0.9998	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium;Thermomicrobium_roseum_DSM_5159
0	0	0.9997	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales
0	0	0.9997	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae
0	0	0.9997	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter
0.9997	0.0002188	0.9997	0.0002188	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter_thermophilus_DSM_20745
0	0	1.051	0.0002299	Bacteria;Chloroflexi;p_Chloroflexi
0	0	1.051	0.0002299	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi
0	0	1.051	0.0002299	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi
0	0	1.051	0.0002299	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi
1.051	0.0002299	1.051	0.0002299	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi;uncultured_Chloroflexi_bacterium
0	0	1.053	0.0002305	Bacteria;Chloroflexi;Anaerolineae
0	0	1.053	0.0002305	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales
0	0	1.053	0.0002305	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
0	0	1.053	0.0002305	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea
1.053	0.0002305	1.053	0.0002305	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;Anaerolinea_thermophila_UNI1
0	0	0.9999	0.0002188	Bacteria;Chloroflexi;Ktedonobacteria
0	0	0.9999	0.0002188	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales
0	0	0.9999	0.0002188	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae
0	0	0.9999	0.0002188	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter
0.9999	0.0002188	0.9999	0.0002188	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;Ktedonobacter_racemifer_DSM_44963
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Chloroflexia
0.9998	0.0002188	0.9998	0.0002188	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Caldilineae
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Caldilineae;Caldilineales
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae
0	0	0.9998	0.0002188	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea
0.9998	0.0002188	0.9998	0.0002188	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;Caldilinea_aerophila_DSM_14535_=_NBRC_104270
0.001146	2.507e-07	6	0.001313	Bacteria;Cyanobacteria
0.000468	1.024e-07	3.999	0.0008752	Bacteria;Cyanobacteria;p_Cyanobacteria
0.9994	0.0002187	0.9994	0.0002187	Bacteria;Cyanobacteria;p_Cyanobacteria;Nostocales
0.9999	0.0002188	0.9999	0.0002188	Bacteria;Cyanobacteria;p_Cyanobacteria;Synechococcales
0	0	0.9998	0.0002188	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales
0	0	0.9998	0.0002188	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae
0	0	0.9998	0.0002188	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira
0.9998	0.0002188	0.9998	0.0002188	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira;Limnospira_indica_PCC_8005
0.9998	0.0002188	0.9998	0.0002188	Bacteria;Cyanobacteria;p_Cyanobacteria;Chroococcales
0	0	0.9998	0.0002188	Bacteria;Cyanobacteria;Gloeobacteria
0	0	0.9998	0.0002188	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales
0	0	0.9998	0.0002188	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae
0	0	0.9998	0.0002188	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter
0.9998	0.0002188	0.9998	0.0002188	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter;Gloeobacter_kilaueensis_JS1
0	0	0.9997	0.0002188	Bacteria;Cyanobacteria;Nostocales
0	0	0.9997	0.0002188	Bacteria;Cyanobacteria;Nostocales;Nostocales
0	0	0.9997	0.0002188	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae
0	0	0.9997	0.0002188	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae;Richelia
0.9997	0.0002188	0.9997	0.0002188	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae;Richelia;Richelia_intracellularis_HH01
1.061	0.0002321	126.1	0.0276	Bacteria;Proteobacteria
0	0	2	0.0004376	Bacteria;Proteobacteria;Oligoflexia
0	0	0.9997	0.0002188	Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales
0	0	0.9997	0.0002188	Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;Bdellovibrionaceae
0.9997	0.0002188	0.9997	0.0002188	Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio
0.9999	0.0002188	0.9999	0.0002188	Bacteria;Proteobacteria;Oligoflexia;Bacteriovoracales
0.4901	0.0001072	7.866	0.001721	Bacteria;Proteobacteria;Betaproteobacteria
2.205	0.0004826	2.205	0.0004826	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
0	0	1.01	0.0002211	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria
0	0	1.01	0.0002211	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria
1.01	0.0002211	1.01	0.0002211	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria;c_o_f_Betaproteobacteria
1.082	0.0002368	1.082	0.0002368	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
