LWR	fract	aLWR	afract	taxopath
10.33	0.0004702	433.2	0.01972	Bacteria
0	0	0.1212	5.517e-06	Bacteria;Verrucomicrobia
0	0	0.1212	5.517e-06	Bacteria;Verrucomicrobia;Methylacidiphilae
0	0	0.1212	5.517e-06	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales
0	0	0.1212	5.517e-06	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae
0.1212	5.517e-06	0.1212	5.517e-06	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae;Methylacidiphilum
0.2249	1.024e-05	0.6476	2.948e-05	Bacteria;Cyanobacteria
0.4107	1.869e-05	0.4227	1.924e-05	Bacteria;Cyanobacteria;p_Cyanobacteria
7.266e-07	3.308e-11	7.266e-07	3.308e-11	Bacteria;Cyanobacteria;p_Cyanobacteria;Synechococcales
1.814e-06	8.257e-11	1.814e-06	8.257e-11	Bacteria;Cyanobacteria;p_Cyanobacteria;Chroococcales
0	0	0.01198	5.455e-07	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales
0	0	0.01198	5.455e-07	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae
0	0	0.01198	5.455e-07	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira
0.01198	5.455e-07	0.01198	5.455e-07	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira;Limnospira_indica_PCC_8005
72.18	0.003286	96.58	0.004396	Bacteria;Bacteroidetes
15.52	0.0007066	23.56	0.001072	Bacteria;Bacteroidetes;Flavobacteriia
6.949	0.0003163	6.949	0.0003163	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
0	0	1.085	4.937e-05	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia
0	0	1.085	4.937e-05	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia
0	0	1.085	4.937e-05	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia
1.085	4.937e-05	1.085	4.937e-05	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia;Flavobacteria_bacterium_MS0243C
0	0	0.08121	3.697e-06	Bacteria;Bacteroidetes;Bacteroidia
0.08121	3.697e-06	0.08121	3.697e-06	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
0	0	0.09181	4.179e-06	Bacteria;Bacteroidetes;Cytophagia
0.09181	4.179e-06	0.09181	4.179e-06	Bacteria;Bacteroidetes;Cytophagia;Cytophagales
