OTU	amplicon	SRR1808870	total
218	SRR11808870:952460.611607	4	4
354	SRR11808870:1991260.614968	3	3
367	SRR11808870:2042910.640120	3	3
368	SRR11808870:2044510.612604	3	3
369	SRR11808870:2046200.663398	3	3
370	SRR11808870:20490.623041	3	3
371	SRR11808870:207710.646520	3	3
377	SRR11808870:2133710.629733	3	3
379	SRR11808870:2171210.627202	3	3
381	SRR11808870:2203190.637374	3	3
382	SRR11808870:2212860.647159	3	3
384	SRR11808870:225960.649816	3	3
387	SRR11808870:2288750.627929	3	3
388	SRR11808870:2289270.636376	3	3
390	SRR11808870:230760.620618	3	3
391	SRR11808870:2309020.642640	3	3
393	SRR11808870:2310930.645886	3	3
394	SRR11808870:2311650.613817	3	3
395	SRR11808870:2325620.676110	3	3
396	SRR11808870:2351920.624579	3	3
397	SRR11808870:2362080.647966	3	3
398	SRR11808870:2367510.632132	3	3
400	SRR11808870:2376240.637974	3	3
403	SRR11808870:2455850.607281	3	3
404	SRR11808870:2458790.623557	3	3
405	SRR11808870:2463460.682154	3	3
407	SRR11808870:2523110.621986	3	3
408	SRR11808870:2565840.636479	3	3
409	SRR11808870:2570240.608797	3	3
410	SRR11808870:2673210.608602	3	3
413	SRR11808870:2708340.636745	3	3
417	SRR11808870:2737990.623172	3	3
425	SRR11808870:2784510.624761	3	3
427	SRR11808870:2839100.671942	3	3
428	SRR11808870:2839780.604497	3	3
429	SRR11808870:2847220.621145	3	3
430	SRR11808870:2849680.624076	3	3
434	SRR11808870:290180.649649	3	3
435	SRR11808870:2902760.635297	3	3
436	SRR11808870:2909320.617399	3	3
439	SRR11808870:2949420.621644	3	3
440	SRR11808870:2966140.629714	3	3
442	SRR11808870:299860.646184	3	3
443	SRR11808870:3020560.638348	3	3
444	SRR11808870:3029890.658198	3	3
445	SRR11808870:3041820.607332	3	3
447	SRR11808870:3164930.619671	3	3
448	SRR11808870:3203280.620134	3	3
449	SRR11808870:321030.630163	3	3
451	SRR11808870:3234610.607312	3	3
452	SRR11808870:3239970.611220	3	3
453	SRR11808870:325190.604096	3	3
455	SRR11808870:3342880.606890	3	3
456	SRR11808870:3345010.636702	3	3
458	SRR11808870:3359360.620142	3	3
459	SRR11808870:34750.614681	3	3
460	SRR11808870:3479470.606317	3	3
461	SRR11808870:3536480.629292	3	3
462	SRR11808870:3541610.622574	3	3
463	SRR11808870:3541620.614143	3	3
467	SRR11808870:3568700.635311	3	3
469	SRR11808870:3577730.610972	3	3
471	SRR11808870:3592080.689748	3	3
472	SRR11808870:3627750.635766	3	3
475	SRR11808870:3652220.667165	3	3
479	SRR11808870:3734770.602684	3	3
481	SRR11808870:3754510.622059	3	3
483	SRR11808870:3831270.614425	3	3
486	SRR11808870:3967540.668771	3	3
488	SRR11808870:4023940.661205	3	3
490	SRR11808870:431920.639105	3	3
493	SRR11808870:4563550.624409	3	3
495	SRR11808870:464730.617892	3	3
497	SRR11808870:474100.611016	3	3
498	SRR11808870:4892270.649224	3	3
500	SRR11808870:4899480.655501	3	3
501	SRR11808870:4900460.600120	3	3
502	SRR11808870:4911530.656747	3	3
503	SRR11808870:4921160.627343	3	3
504	SRR11808870:4928910.621465	3	3
505	SRR11808870:4940680.656115	3	3
508	SRR11808870:4957400.624601	3	3
510	SRR11808870:4984860.621594	6	6
511	SRR11808870:5001920.604787	3	3
512	SRR11808870:5006930.640815	3	3
513	SRR11808870:5007100.639338	3	3
516	SRR11808870:5033800.639471	3	3
518	SRR11808870:506140.619073	3	3
520	SRR11808870:5076950.626539	3	3
521	SRR11808870:5084190.659308	3	3
522	SRR11808870:5101210.605636	3	3
524	SRR11808870:5192470.624908	3	3
525	SRR11808870:5192590.621989	3	3
526	SRR11808870:520150.600335	3	3
527	SRR11808870:5230040.633027	3	3
529	SRR11808870:53920.639244	3	3
530	SRR11808870:5430220.624018	3	3
531	SRR11808870:5457360.616979	3	3
533	SRR11808870:5501440.672164	3	3
535	SRR11808870:5572160.602085	3	3
537	SRR11808870:589620.649387	3	3
538	SRR11808870:610820.662212	3	3
539	SRR11808870:636560.632566	3	3
541	SRR11808870:707530.632542	3	3
542	SRR11808870:716730.665918	3	3
543	SRR11808870:724500.611509	3	3
544	SRR11808870:740020.672758	3	3
545	SRR11808870:757090.622812	3	3
547	SRR11808870:770240.631497	3	3
550	SRR11808870:772930.656235	3	3
551	SRR11808870:773750.645749	3	3
552	SRR11808870:775510.625487	3	3
553	SRR11808870:776350.648556	3	3
554	SRR11808870:776660.600571	3	3
557	SRR11808870:783860.665486	3	3
559	SRR11808870:798060.651206	3	3
560	SRR11808870:817760.635560	3	3
563	SRR11808870:833580.655709	3	3
565	SRR11808870:862120.631981	3	3
567	SRR11808870:866040.607294	3	3
568	SRR11808870:866500.673737	3	3
572	SRR11808870:88930.610512	3	3
573	SRR11808870:890950.654867	3	3
575	SRR11808870:913490.636191	3	3
578	SRR11808870:923480.620510	3	3
579	SRR11808870:928340.632848	3	3
580	SRR11808870:932210.613548	3	3
582	SRR11808870:936840.624416	3	3
583	SRR11808870:940890.603417	3	3
584	SRR11808870:944250.603992	3	3
585	SRR11808870:945330.608216	3	3
586	SRR11808870:946780.625447	3	3
587	SRR11808870:948400.606796	3	3
588	SRR11808870:953220.606070	3	3
591	SRR11808870:965520.616879	3	3
595	SRR11808870:974010.614159	3	3
596	SRR11808870:974560.616167	3	3
597	SRR11808870:991980.622107	3	3
601	SRR11808870:1004420.682009	2	2
603	SRR11808870:1005290.637633	2	2
609	SRR11808870:1013840.617753	2	2
614	SRR11808870:1021240.701716	2	2
615	SRR11808870:1022690.662630	2	2
619	SRR11808870:1023680.654747	2	2
621	SRR11808870:1024500.634557	2	2
622	SRR11808870:1025270.644427	2	2
625	SRR11808870:1032540.651268	2	2
628	SRR11808870:1034860.641710	2	2
630	SRR11808870:1035150.607161	2	2
635	SRR11808870:1040710.653507	2	2
636	SRR11808870:1042280.601794	2	2
637	SRR11808870:1042340.627117	2	2
643	SRR11808870:1044560.612556	2	2
647	SRR11808870:1047270.626227	2	2
649	SRR11808870:1049920.605201	2	2
