OTU	SRR1808872	classification
8	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Didea;Didea intermedia
SRR11808872:1562890.607980	4844	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion mastersi
SRR11808872:1934720.627203	2946	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:404520.606079	2346	Eukaryota;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Aleurochiton;Aleurochiton aceris
SRR11808872:1048230.613322	1852	Eukaryota;Arthropoda;Insecta;Megaloptera;Corydalidae;Neochauliodes;Neochauliodes punctatolosus
SRR11808872:1828010.617436	1225	Eukaryota;Cnidaria;Scyphozoa;Coronatae;Nausithoidae;Nausithoe;Nausithoe atlantica
SRR11808872:1046260.618392	1101	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia lanosa
SRR11808872:2772590.625133	959	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion mastersi
SRR11808872:3331740.607124	920	Eukaryota;Annelida;Haplotaxida;Naididae;Paranais;Paranais litoralis
SRR11808872:2604360.664964	797	Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Eriophora;Eriophora ravilla
SRR11808872:2024760.615502	778	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:232180.641900	669	Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Paramphistomidae;Calicophoron;Calicophoron microbothrioides
SRR11808872:1118640.652891	609	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euptychoides;Euptychoides nossis
SRR11808872:1652180.608562	526	Eukaryota;Arthropoda;Insecta;Embioptera;Oligotomidae;Aposthonia;Aposthonia japonica
SRR11808872:148380.626842	507	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Polyorchidae;Polyorchis;Polyorchis penicillatus
SRR11808872:1158880.603246	497	Eukaryota;Arthropoda;Insecta;Embioptera;Anisembiidae;Chelicerca;Chelicerca heymonsi
SRR11808872:1653380.600751	414	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1187620.611465	402	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Vitula;Vitula pinei
SRR11808872:2563070.604964	400	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Didea;Didea intermedia
SRR11808872:126280.615556	395	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Parides;Parides chabrias
SRR11808872:803870.606868	324	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pilosa
SRR11808872:114020.614218	315	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Toxomerus;Toxomerus mutuus
SRR11808872:2103140.600906	305	Eukaryota;Arthropoda;Arachnida;Araneae;Salticidae;Nycerella;Nycerella neglecta
SRR11808872:1607470.610622	283	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Atrapsalta (nomen nudum);Atrapsalta dolens (nomen nudum)
SRR11808872:2106300.601705	275	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Euscelinus;Euscelinus sarawacus
SRR11808872:1087140.658407	274	Eukaryota;Arthropoda;Insecta;Hymenoptera;Megachilidae;Hoplitis;Hoplitis israelica
SRR11808872:2849630.629075	258	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Thryssa;Thryssa baelama
SRR11808872:2746500.615914	236	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila caribiana
SRR11808872:1289110.601395	234	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:112170.611705	233	Eukaryota;Arthropoda;Insecta;Coleoptera;Cleridae;Stigmatium;Stigmatium laevium
SRR11808872:3136950.620124	228	Eukaryota;Porifera;Demospongiae;Astrophorida;Vulcanellidae;Poecillastra;Poecillastra laminaris
SRR11808872:792120.611525	225	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:3508330.611270	222	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1251390.647861	212	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808872:4771810.639275	209	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Paramuriceidae;Echinogorgia;Echinogorgia complexa
SRR11808872:576020.636985	195	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808872:1814620.622887	189	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808872:1966670.603198	176	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:1157130.601985	172	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:499190.633268	172	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808872:4401350.606132	165	Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Schizaphis;Schizaphis rotundiventris
SRR11808872:3607740.624902	163	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:361810.629643	163	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808872:1439200.604503	159	Eukaryota;Nematoda;Enoplea;Mermithida;Mermithidae;Romanomermis;Romanomermis iyengari
SRR11808872:1814700.619223	150	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Agariciidae;Pavona;Pavona decussata
SRR11808872:1213590.617586	141	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Atrapsalta (nomen nudum);Atrapsalta collina (nomen nudum)
SRR11808872:1817980.650750	136	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:2825480.603212	134	Eukaryota;Annelida;Haplotaxida;Megascolecidae;Amynthas;Amynthas heterochaetus
SRR11808872:800600.645635	133	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:2786150.623920	127	Eukaryota;Annelida;Haplotaxida;Enchytraeidae;Enchytronia;Enchytronia parva
SRR11808872:2139900.643388	125	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Malandena;Malandena suturalis
SRR11808872:1154980.607338	124	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:4992360.618538	114	Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Arachnura;Arachnura scorpionoides
SRR11808872:872720.626707	114	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Clava;Clava multicornis
