amplicon	SRR1808872	total
SRR11808872:1442590.628120	11	11
SRR11808872:835510.637325	11	11
SRR11808872:1562890.607980	10	10
SRR11808872:592610.615566	10	10
SRR11808872:999830.640399	10	10
SRR11808872:1232030.628460	9	9
SRR11808872:1430470.601059	9	9
SRR11808872:2472310.616635	9	9
SRR11808872:65230.610176	9	9
SRR11808872:872830.609450	9	9
SRR11808872:2113820.602012	8	8
SRR11808872:2327790.626989	8	8
SRR11808872:2390650.602001	8	8
SRR11808872:2462170.629692	8	8
SRR11808872:3196240.623550	8	8
SRR11808872:3481610.621160	8	8
SRR11808872:413210.613262	8	8
SRR11808872:758490.636538	8	8
SRR11808872:833830.620141	8	8
SRR11808872:1127680.601901	7	7
SRR11808872:1138130.612486	7	7
SRR11808872:1156680.602587	7	7
SRR11808872:1337790.630080	7	7
SRR11808872:1358800.608280	7	7
SRR11808872:1384440.619454	7	7
SRR11808872:1490390.618017	7	7
SRR11808872:1516780.606085	7	7
SRR11808872:1779990.612923	7	7
SRR11808872:2185690.615627	7	7
SRR11808872:218660.614917	7	7
SRR11808872:2565050.606277	7	7
SRR11808872:315570.606774	7	7
SRR11808872:3522040.613943	7	7
SRR11808872:545440.604371	7	7
SRR11808872:792150.623693	7	7
SRR11808872:1001020.618130	6	6
SRR11808872:1044260.637407	6	6
SRR11808872:1080900.616384	6	6
SRR11808872:1101610.635627	6	6
SRR11808872:1143960.620021	6	6
SRR11808872:1153740.626875	6	6
SRR11808872:1308420.622736	6	6
SRR11808872:1360150.641160	6	6
SRR11808872:1372420.645742	6	6
SRR11808872:1398340.647560	6	6
SRR11808872:1478130.603262	6	6
SRR11808872:1506290.618038	6	6
SRR11808872:1623600.603021	6	6
SRR11808872:1635260.630347	6	6
SRR11808872:1685150.613665	6	6
SRR11808872:1775320.605478	6	6
SRR11808872:1826540.633709	6	6
SRR11808872:1828010.617436	6	6
SRR11808872:22760.602786	6	6
SRR11808872:2290130.609330	6	6
SRR11808872:2328270.611835	6	6
SRR11808872:2329630.625785	6	6
SRR11808872:2334320.604647	6	6
SRR11808872:2343760.647227	6	6
SRR11808872:2371940.627870	6	6
SRR11808872:2559080.616715	6	6
SRR11808872:2592660.617731	6	6
SRR11808872:2635830.600895	6	6
SRR11808872:2770730.631902	6	6
SRR11808872:2836680.616588	6	6
SRR11808872:3066380.624814	6	6
SRR11808872:3311290.608920	6	6
SRR11808872:3444590.613838	6	6
SRR11808872:3715980.615928	6	6
SRR11808872:4616730.604605	6	6
SRR11808872:51950.609876	6	6
SRR11808872:593810.621810	6	6
SRR11808872:720840.640335	6	6
SRR11808872:782370.629953	6	6
SRR11808872:785980.605791	6	6
SRR11808872:900590.619277	6	6
SRR11808872:932170.601101	6	6
SRR11808872:947610.617706	6	6
SRR11808872:1006410.618410	5	5
SRR11808872:1017520.617211	5	5
SRR11808872:1046260.618392	5	5
SRR11808872:1087230.619328	5	5
SRR11808872:1145010.625939	5	5
SRR11808872:1149860.616751	5	5
SRR11808872:1181840.611785	5	5
SRR11808872:1189840.639162	5	5
SRR11808872:1275640.636458	5	5
SRR11808872:1298470.601216	5	5
SRR11808872:1304120.621030	5	5
SRR11808872:1306720.601915	5	5
SRR11808872:1307880.628719	5	5
SRR11808872:1310290.626953	5	5
SRR11808872:1323840.640817	5	5
SRR11808872:1324800.608370	5	5
SRR11808872:1344600.620598	5	5
SRR11808872:1348360.632772	5	5
SRR11808872:1363530.613427	5	5
SRR11808872:1368940.646086	5	5
SRR11808872:1372260.619824	5	5
SRR11808872:1377380.622742	5	5
SRR11808872:1378260.616607	5	5
SRR11808872:1396730.622347	5	5
SRR11808872:1402890.609060	5	5
SRR11808872:1467720.603428	5	5
SRR11808872:1468250.609270	5	5
SRR11808872:1475880.614334	5	5
SRR11808872:1506590.600466	5	5
SRR11808872:1516310.621764	5	5
SRR11808872:1537040.616627	5	5
SRR11808872:1557010.604507	5	5
SRR11808872:1562000.612689	5	5
SRR11808872:1567340.600082	5	5
SRR11808872:1598040.605121	5	5
SRR11808872:1689560.620633	5	5
SRR11808872:1689750.616664	5	5
SRR11808872:1700390.632270	5	5
SRR11808872:1703300.616738	5	5
SRR11808872:1714360.614933	5	5
SRR11808872:1763920.625159	5	5
SRR11808872:1764890.616902	5	5
SRR11808872:1776440.616615	5	5
SRR11808872:1779740.619883	5	5
SRR11808872:1808800.609679	5	5
SRR11808872:1843980.609462	5	5
SRR11808872:1866690.603679	5	5
SRR11808872:1889800.617003	5	5
SRR11808872:1934170.621153	5	5
SRR11808872:1934720.627203	5	5
SRR11808872:2278130.632022	5	5
SRR11808872:2287010.609576	5	5
SRR11808872:230300.608468	5	5
SRR11808872:2338050.626399	5	5
SRR11808872:2354200.610698	5	5
SRR11808872:2393060.617976	5	5
SRR11808872:2409690.619254	5	5
SRR11808872:2417240.616675	5	5
SRR11808872:2442970.600056	5	5
SRR11808872:2499210.626174	5	5
SRR11808872:2604230.609546	5	5
SRR11808872:2718940.636764	5	5
SRR11808872:2731190.623620	5	5
SRR11808872:2759750.615418	5	5
SRR11808872:2772590.625133	5	5
SRR11808872:2885580.612599	5	5
SRR11808872:3041600.608316	5	5
SRR11808872:3107240.605727	5	5
SRR11808872:3154410.610012	5	5
SRR11808872:3157380.639471	5	5
SRR11808872:3261350.622753	5	5
SRR11808872:3310730.634475	5	5
SRR11808872:3326000.624913	5	5
SRR11808872:3338750.634765	5	5
SRR11808872:3368930.615631	5	5
SRR11808872:3369090.624647	5	5
SRR11808872:3419890.603392	5	5
SRR11808872:3479440.610284	5	5
SRR11808872:3489360.617484	5	5
SRR11808872:3509380.600600	5	5
SRR11808872:3519530.629869	5	5
SRR11808872:3553110.605438	5	5
SRR11808872:3735790.634142	5	5
SRR11808872:3769260.629595	5	5
SRR11808872:3807500.600526	5	5
SRR11808872:3823630.608042	5	5
SRR11808872:3958360.618004	5	5
SRR11808872:3996620.605855	5	5
SRR11808872:404520.606079	5	5
SRR11808872:4147100.607611	5	5
SRR11808872:4190740.635746	5	5
SRR11808872:4381610.625150	5	5
SRR11808872:4477790.607624	5	5
SRR11808872:517910.625018	5	5
SRR11808872:569590.601647	5	5
SRR11808872:609080.620192	5	5
SRR11808872:62500.600875	5	5
SRR11808872:775860.641955	5	5
SRR11808872:776870.634386	5	5
SRR11808872:776970.613633	5	5
SRR11808872:801370.642328	5	5
SRR11808872:816020.613722	5	5
SRR11808872:816470.635635	5	5
SRR11808872:821520.607859	5	5
SRR11808872:840090.638808	5	5
SRR11808872:850840.617880	5	5
SRR11808872:864940.613404	5	5
SRR11808872:872710.630199	5	5
SRR11808872:873180.626295	5	5
SRR11808872:873410.620904	5	5
SRR11808872:878460.609531	5	5
SRR11808872:912830.622411	5	5
SRR11808872:913320.605080	5	5
SRR11808872:923720.631999	5	5
SRR11808872:941210.601885	5	5
SRR11808872:943290.601943	5	5
SRR11808872:1047580.602397	4	4
SRR11808872:1049960.620345	4	4
SRR11808872:1057450.606078	4	4
SRR11808872:1063300.621985	4	4
SRR11808872:1117800.600056	4	4
SRR11808872:1126210.611765	4	4
SRR11808872:1138960.640129	4	4
SRR11808872:1150690.622798	4	4
SRR11808872:1167650.631342	4	4
SRR11808872:1184940.621992	4	4
SRR11808872:1226460.610653	4	4
SRR11808872:1240600.613403	4	4
SRR11808872:1244120.645094	4	4
SRR11808872:1254910.626316	4	4
SRR11808872:1333920.601873	4	4
SRR11808872:1334500.612988	4	4
SRR11808872:1335090.614569	4	4
SRR11808872:1336020.605024	4	4
SRR11808872:1337390.604504	4	4
SRR11808872:1337660.622337	4	4
SRR11808872:1358040.603699	4	4
SRR11808872:1369740.607824	4	4
SRR11808872:1374800.617856	4	4
SRR11808872:1376020.632737	4	4
SRR11808872:1395900.603688	4	4
SRR11808872:1401090.601367	4	4
SRR11808872:1402000.607471	4	4
SRR11808872:1412490.635445	4	4
SRR11808872:1417460.625555	4	4
SRR11808872:1428940.603484	4	4
SRR11808872:1434210.616458	4	4
SRR11808872:1465950.602783	4	4
SRR11808872:1466620.619397	4	4
SRR11808872:1468310.605504	4	4
SRR11808872:1479340.605213	4	4
SRR11808872:1494740.633051	4	4
SRR11808872:1506340.626505	4	4
SRR11808872:1510060.616400	4	4
SRR11808872:1558100.622601	4	4
SRR11808872:1559270.622098	4	4
SRR11808872:157030.623695	4	4
SRR11808872:1593580.600455	4	4
SRR11808872:1602440.606905	4	4
SRR11808872:1609770.603981	4	4
SRR11808872:1643340.604183	4	4
SRR11808872:1651080.613162	4	4
SRR11808872:1652320.601505	4	4
SRR11808872:1653490.607488	4	4
SRR11808872:1660010.601063	4	4
SRR11808872:1683040.611178	4	4
SRR11808872:1689490.618401	4	4
SRR11808872:1691060.620683	4	4
SRR11808872:1695220.604653	4	4
SRR11808872:1714080.610119	4	4
SRR11808872:1722110.601525	4	4
SRR11808872:1722830.632824	4	4
SRR11808872:1736310.604482	4	4
SRR11808872:1740970.622082	4	4
SRR11808872:1765160.637853	4	4
SRR11808872:1792770.620996	4	4
SRR11808872:1816260.607360	4	4
SRR11808872:1864180.602557	4	4
SRR11808872:2003730.618047	4	4
SRR11808872:2024760.615502	4	4
SRR11808872:2051510.646814	4	4
SRR11808872:2068310.611735	4	4
SRR11808872:2090910.622499	4	4
SRR11808872:2102760.642240	4	4
SRR11808872:2116820.639536	4	4
SRR11808872:2117970.609461	4	4
SRR11808872:2133490.609567	4	4
SRR11808872:2194010.643706	4	4
SRR11808872:2195790.629895	4	4
SRR11808872:2208180.632659	4	4
SRR11808872:2209400.622263	4	4
SRR11808872:2235450.618821	4	4
SRR11808872:2260090.610922	4	4
SRR11808872:2279460.612913	4	4
SRR11808872:2286910.634830	4	4
SRR11808872:2287780.616774	4	4
SRR11808872:2306460.604227	4	4
SRR11808872:2306840.618671	4	4
SRR11808872:2337380.610122	4	4
SRR11808872:2341090.643691	4	4
SRR11808872:2399890.621621	4	4
SRR11808872:2409290.624834	4	4
SRR11808872:2435610.614073	4	4
SRR11808872:2461690.600851	4	4
SRR11808872:2471630.614113	4	4
SRR11808872:2475100.605819	4	4
SRR11808872:2484190.613526	4	4
SRR11808872:2492990.603889	4	4
SRR11808872:2521460.626043	4	4
SRR11808872:2554880.629787	4	4
SRR11808872:255870.632881	4	4
SRR11808872:2562700.606984	4	4
SRR11808872:2591660.619443	4	4
SRR11808872:2616240.611186	4	4
SRR11808872:2627160.607895	4	4
SRR11808872:2640630.648349	4	4
SRR11808872:2656370.605481	4	4
SRR11808872:2674770.631252	4	4
SRR11808872:2677740.614380	4	4
SRR11808872:2702600.626003	4	4
SRR11808872:2735260.625293	4	4
SRR11808872:2769230.622222	4	4
SRR11808872:2823050.610682	4	4
SRR11808872:2824030.601065	4	4
SRR11808872:2833210.631418	4	4
SRR11808872:2840000.634284	4	4
SRR11808872:2861800.600142	4	4
SRR11808872:2881020.602240	4	4
SRR11808872:2905680.605149	4	4
SRR11808872:2997760.621253	4	4
SRR11808872:3108640.600859	4	4
SRR11808872:3150680.616356	4	4
SRR11808872:3150920.618747	4	4
SRR11808872:3172260.608486	4	4
