amplicon	linearized.dereplicate_SRR1808872.merged.fastq	total
SRR11808872:::144259:0:0:0:0.628120	11	11
SRR11808872:::83551:0:0:0:0.637325	11	11
SRR11808872:::156289:0:0:0:0.607980	10	10
SRR11808872:::59261:0:0:0:0.615566	10	10
SRR11808872:::99983:0:0:0:0.640399	10	10
SRR11808872:::123203:0:0:0:0.628460	9	9
SRR11808872:::143047:0:0:0:0.601059	9	9
SRR11808872:::247231:0:0:0:0.616635	9	9
SRR11808872:::6523:0:0:0:0.610176	9	9
SRR11808872:::87283:0:0:0:0.609450	9	9
SRR11808872:::211382:0:0:0:0.602012	8	8
SRR11808872:::232779:0:0:0:0.626989	8	8
SRR11808872:::239065:0:0:0:0.602001	8	8
SRR11808872:::246217:0:0:0:0.629692	8	8
SRR11808872:::319624:0:0:0:0.623550	8	8
SRR11808872:::348161:0:0:0:0.621160	8	8
SRR11808872:::41321:0:0:0:0.613262	8	8
SRR11808872:::75849:0:0:0:0.636538	8	8
SRR11808872:::83383:0:0:0:0.620141	8	8
SRR11808872:::112768:0:0:0:0.601901	7	7
SRR11808872:::113813:0:0:0:0.612486	7	7
SRR11808872:::115668:0:0:0:0.602587	7	7
SRR11808872:::133779:0:0:0:0.630080	7	7
SRR11808872:::135880:0:0:0:0.608280	7	7
SRR11808872:::138444:0:0:0:0.619454	7	7
SRR11808872:::149039:0:0:0:0.618017	7	7
SRR11808872:::151678:0:0:0:0.606085	7	7
SRR11808872:::177999:0:0:0:0.612923	7	7
SRR11808872:::218569:0:0:0:0.615627	7	7
SRR11808872:::21866:0:0:0:0.614917	7	7
SRR11808872:::256505:0:0:0:0.606277	7	7
SRR11808872:::31557:0:0:0:0.606774	7	7
SRR11808872:::352204:0:0:0:0.613943	7	7
SRR11808872:::54544:0:0:0:0.604371	7	7
SRR11808872:::79215:0:0:0:0.623693	7	7
SRR11808872:::100102:0:0:0:0.618130	6	6
SRR11808872:::104426:0:0:0:0.637407	6	6
SRR11808872:::108090:0:0:0:0.616384	6	6
SRR11808872:::110161:0:0:0:0.635627	6	6
SRR11808872:::114396:0:0:0:0.620021	6	6
SRR11808872:::115374:0:0:0:0.626875	6	6
SRR11808872:::130842:0:0:0:0.622736	6	6
SRR11808872:::136015:0:0:0:0.641160	6	6
SRR11808872:::137242:0:0:0:0.645742	6	6
SRR11808872:::139834:0:0:0:0.647560	6	6
SRR11808872:::147813:0:0:0:0.603262	6	6
SRR11808872:::150629:0:0:0:0.618038	6	6
SRR11808872:::162360:0:0:0:0.603021	6	6
SRR11808872:::163526:0:0:0:0.630347	6	6
SRR11808872:::168515:0:0:0:0.613665	6	6
SRR11808872:::177532:0:0:0:0.605478	6	6
SRR11808872:::182654:0:0:0:0.633709	6	6
SRR11808872:::182801:0:0:0:0.617436	6	6
SRR11808872:::2276:0:0:0:0.602786	6	6
SRR11808872:::229013:0:0:0:0.609330	6	6
SRR11808872:::232827:0:0:0:0.611835	6	6
SRR11808872:::232963:0:0:0:0.625785	6	6
SRR11808872:::233432:0:0:0:0.604647	6	6
SRR11808872:::234376:0:0:0:0.647227	6	6
SRR11808872:::237194:0:0:0:0.627870	6	6
SRR11808872:::255908:0:0:0:0.616715	6	6
SRR11808872:::259266:0:0:0:0.617731	6	6
SRR11808872:::263583:0:0:0:0.600895	6	6
SRR11808872:::277073:0:0:0:0.631902	6	6
