name	LWR	fract	aLWR	afract	taxopath
Query179	0.4064	0.8665	0.4064	0.8665	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query548	0.5681	0.5681	0.5681	0.5681	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query639	0.8199	0.8361	0.9102	0.9282	Bacteria
Query722	0.2362	0.2362	0.2362	0.2362	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Candidatus_Rubidus;Candidatus_Rubidus_massiliensis
Query292	0.841	0.8665	0.9627	0.9919	Eukaryota
Query279	0.7561	0.9766	0.7561	0.9766	Eukaryota
Query325	0.5758	0.9087	0.5979	0.9436	Eukaryota
Query727	0.8568	0.8603	0.8568	0.8603	Eukaryota;Rhodophyta
Query628	0.8851	0.9218	0.8851	0.9218	Eukaryota;Rhodophyta
Query519	0.4972	0.5094	0.9643	0.9879	Eukaryota
Query641	0.6101	0.8052	0.7439	0.9818	Eukaryota
Query431	0.9341	0.9568	0.9454	0.9684	Eukaryota
Query687	0.945	0.967	0.9632	0.9857	Eukaryota
Query178	0.9336	0.968	0.9453	0.9801	Eukaryota
Query444	0.9696	0.9823	0.9696	0.9823	Eukaryota
Query699	0.9436	0.9552	0.9548	0.9667	Eukaryota
Query353	0.3612	0.3649	0.3612	0.3649	Eukaryota;Placozoa
Query54	0.7983	0.8109	0.9687	0.984	Eukaryota
Query365	0.6736	0.6751	0.9925	0.9947	Eukaryota
Query251	0.5113	0.5206	0.9813	0.9991	Eukaryota
Query180	0.5635	0.632	0.5635	0.632	Eukaryota;Rhodophyta
Query635	0.9459	0.9633	0.9513	0.9688	Eukaryota
Query168	0.03476	0.5953	0.03476	0.5953	Eukaryota;Collodictyonidae;Collodictyonidae;Collodictyonidae;Collodictyonidae;Diphylleia;Diphylleia_rotans
Query385	0.3824	0.6004	0.6172	0.9689	Eukaryota
Query861	0.695	0.7055	0.7333	0.7444	Eukaryota;Bacillariophyta
Query642	0.5034	0.5068	0.9931	0.9997	Eukaryota
Query238	0.4985	0.5	0.997	1	Eukaryota
Query855	0.9696	0.9696	0.9905	0.9905	Eukaryota
Query150	0.6313	0.8334	0.7502	0.9904	Eukaryota
Query104	0.6627	0.6651	0.9946	0.9981	Eukaryota
Query352	0.8412	0.8518	0.9857	0.9981	Eukaryota
Query306	0.6904	0.7861	0.8663	0.9864	Eukaryota
Query543	0.1608	0.501	0.2889	0.9002	Eukaryota
Query810	0.5249	0.5306	0.9734	0.9839	Eukaryota
Query833	0.5707	0.5894	0.9655	0.9971	Eukaryota
Query536	0.8212	0.8682	0.9403	0.9942	Eukaryota
Query46	0.808	0.8812	0.8725	0.9515	Eukaryota
Query8	0.8317	0.8322	0.9981	0.9986	Eukaryota;Bacillariophyta
Query126	0.6348	0.641	0.9722	0.9816	Eukaryota;Bacillariophyta;Mediophyceae
Query568	0.662	0.662	0.662	0.662	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query857	0.3289	0.3369	0.9505	0.9737	Eukaryota
Query650	0.7389	0.7654	0.963	0.9975	Eukaryota;Bacillariophyta
Query79	0.9787	0.9932	0.981	0.9956	Eukaryota;Bacillariophyta;Mediophyceae
Query275	0.9498	0.9504	0.9941	0.9947	Eukaryota;Bacillariophyta;Mediophyceae
Query207	0.656	0.6668	0.9583	0.9742	Eukaryota;Bacillariophyta
Query673	0.7259	0.7392	0.9785	0.9964	Eukaryota;Bacillariophyta
Query531	0.7528	0.7561	0.8249	0.8285	Eukaryota;Bacillariophyta;Mediophyceae
Query10	0.7367	0.7602	0.967	0.9978	Eukaryota;Bacillariophyta
Query1	0.9709	0.9716	0.9952	0.9959	Eukaryota;Bacillariophyta;Mediophyceae
Query71	0.7791	0.7863	0.9888	0.998	Eukaryota;Bacillariophyta;Mediophyceae
Query664	0.9101	0.9181	0.9595	0.9679	Eukaryota;Bacillariophyta
Query552	0.3292	0.3411	0.9533	0.9878	Eukaryota;Bacillariophyta
Query137	0.5162	0.5164	0.9627	0.9631	Eukaryota;Bacillariophyta
Query123	0.7458	0.7526	0.9882	0.9971	Eukaryota;Bacillariophyta
Query679	0.9681	0.9791	0.9743	0.9853	Eukaryota;Bacillariophyta
Query309	0.8896	0.8938	0.994	0.9987	Eukaryota;Bacillariophyta
Query903	0.9584	0.9821	0.9584	0.9821	Eukaryota;Bacillariophyta
Query458	0.5101	0.5122	0.5101	0.5122	Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales
Query120	0.649	0.653	0.9555	0.9614	Eukaryota;Bacillariophyta
Query684	0.9482	0.9493	0.9682	0.9693	Eukaryota;Bacillariophyta
Query24	0.9176	0.9193	0.9766	0.9785	Eukaryota;Bacillariophyta
Query711	0.519	0.5191	0.9613	0.9613	Eukaryota;Bacillariophyta
Query595	0.9081	0.9086	0.9789	0.9794	Eukaryota;Bacillariophyta
Query854	0.5079	0.5079	0.9789	0.9789	Eukaryota;Bacillariophyta
Query332	0.7052	0.7145	0.9837	0.9966	Eukaryota;Bacillariophyta
Query53	0.9654	0.9779	0.9696	0.9822	Eukaryota;Bacillariophyta
Query895	0.9674	0.9795	0.9704	0.9826	Eukaryota;Bacillariophyta
Query422	0.6642	0.6694	0.9803	0.988	Eukaryota;Bacillariophyta
Query247	0.9135	0.9212	0.9854	0.9937	Eukaryota;Bacillariophyta
Query93	0.531	0.5342	0.531	0.5342	Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales
Query80	0.8389	0.8632	0.9357	0.9628	Eukaryota;Bacillariophyta
Query248	0.9152	0.9202	0.9754	0.9808	Eukaryota;Bacillariophyta
Query729	0.7581	0.7612	0.7581	0.7612	Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales
Query436	0.5917	0.5974	0.9523	0.9616	Eukaryota;Bacillariophyta
Query405	0.5232	0.5232	0.5232	0.5232	Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales
Query185	0.5235	0.524	0.9667	0.9676	Eukaryota;Bacillariophyta
Query888	0.7958	0.7962	0.7958	0.7962	Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales
Query771	0.5067	0.5499	0.9178	0.996	Eukaryota;Bacillariophyta
Query90	0.8527	0.8604	0.9665	0.9752	Eukaryota;Bacillariophyta
Query626	0.8622	0.8644	0.9969	0.9994	Eukaryota;Bacillariophyta
Query440	0.9523	0.9626	0.9729	0.9834	Eukaryota;Bacillariophyta;Mediophyceae
Query676	0.8937	0.8954	0.9933	0.9952	Eukaryota;Bacillariophyta
Query103	0.6549	0.6823	0.9578	0.9979	Eukaryota;Bacillariophyta
Query736	0.4996	0.5	0.4996	0.5	Eukaryota;Discosea;Longamoebia;Longamoebia
Query772	0.5915	0.7711	0.7497	0.9773	Eukaryota
Query720	0.7748	0.7748	0.7748	0.7748	Eukaryota;Discosea;Longamoebia;Longamoebia
Query369	0.4959	0.5	0.4959	0.5	Eukaryota;Discosea;Longamoebia;Longamoebia
Query227	0.867	0.9074	0.9325	0.9759	Eukaryota
Query670	0.9298	0.9314	0.9752	0.9768	Eukaryota
Query285	0.8782	0.8944	0.9565	0.9742	Eukaryota
Query840	0.8604	0.9514	0.8881	0.9821	Eukaryota
Query304	0.7459	0.7969	0.9185	0.9813	Eukaryota
Query435	0.7533	0.8293	0.8948	0.9851	Eukaryota
Query610	0.6556	0.6571	0.9925	0.9946	Eukaryota
Query497	0.6281	0.6862	0.8954	0.9782	Eukaryota
Query401	0.5552	0.9356	0.5739	0.9672	Eukaryota
Query803	0.4307	0.9507	0.4307	0.9507	Eukaryota
Query602	0.5633	0.5633	0.9962	0.9962	Eukaryota
Query117	0.6354	0.9332	0.6354	0.9332	Eukaryota;Discosea;Flabellinia;Vannellidae;Vannellidae
Query718	0.4992	0.9384	0.5114	0.9614	Eukaryota
Query425	0.5334	0.5608	0.9483	0.9971	Eukaryota
Query583	0.8105	0.831	0.9706	0.9951	Eukaryota
Query324	0.8786	0.8792	0.9821	0.9828	Eukaryota
Query890	0.5998	0.833	0.708	0.9833	Eukaryota
Query889	0.7576	0.8678	0.8569	0.9815	Eukaryota
Query837	0.604	0.964	0.6108	0.9749	Eukaryota
Query592	0.505	0.8043	0.6098	0.9712	Eukaryota
Query145	0.9182	0.9313	0.9812	0.9952	Eukaryota
Query627	0.8051	0.8069	0.9817	0.9839	Eukaryota
Query39	0.8391	0.8393	0.9952	0.9955	Eukaryota
Query374	0.4798	0.9356	0.4969	0.9689	Eukaryota
Query344	0.5037	0.5126	0.9822	0.9995	Eukaryota
Query42	0.843	0.8599	0.9714	0.9908	Eukaryota
Query70	0.8699	0.8709	0.9978	0.999	Eukaryota
Query825	0.8923	0.8923	1	1	Eukaryota
Query738	0.9146	0.9608	0.9306	0.9777	Eukaryota
Query488	0.8196	0.8574	0.9455	0.9891	Eukaryota
Query534	0.2012	1	0.2012	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query563	0.451	0.451	0.451	0.451	DISTANT
Query597	0.4896	0.5901	0.801	0.9654	Eukaryota;Annelida
Query389	0.636	0.636	0.9893	0.9893	Eukaryota;Annelida;Clitellata
Query518	0.7491	0.7581	0.915	0.926	Eukaryota;Annelida;Clitellata
Query462	0.9493	0.9645	0.9493	0.9645	Eukaryota;Annelida;Polychaeta
Query763	0.9089	0.9119	0.9538	0.9569	Eukaryota;Annelida;Clitellata
Query15	0.8792	0.8926	0.9427	0.9571	Eukaryota;Annelida;Clitellata
Query607	0.7876	0.7899	0.9784	0.9813	Eukaryota;Annelida;Clitellata
Query585	0.913	0.9157	0.9712	0.9741	Eukaryota;Annelida;Clitellata
Query194	0.7746	0.7822	0.9903	1	Eukaryota;Annelida;Clitellata
Query366	0.6015	0.6165	0.7718	0.791	Eukaryota;Mollusca;Gastropoda
Query49	0.7818	0.7864	0.9939	0.9997	Eukaryota;Annelida;Clitellata
Query666	0.7635	0.7679	0.9926	0.9983	Eukaryota;Annelida;Clitellata
Query234	0.7943	0.797	0.9776	0.981	Eukaryota;Annelida;Clitellata
Query465	0.8413	0.8413	0.9785	0.9785	Eukaryota;Annelida;Clitellata
Query748	0.9607	0.9716	0.9607	0.9716	Eukaryota;Annelida;Polychaeta
Query577	0.4801	0.5631	0.8225	0.9647	Eukaryota;Annelida
Query106	0.8532	0.8553	0.8532	0.8553	Eukaryota;Arthropoda;Hexanauplia
Query177	0.8394	0.8394	0.8528	0.8528	Eukaryota;Arthropoda;Hexanauplia
Query460	0.9673	0.9694	0.9792	0.9814	Eukaryota
Query571	0.7575	0.7595	0.9973	1	Eukaryota
Query831	0.8052	0.8287	0.9603	0.9884	Eukaryota
Query688	0.6225	0.6303	0.6225	0.6303	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query707	0.9905	1	0.9905	1	DISTANT
Query490	0.8176	0.8269	0.8176	0.8269	DISTANT
Query640	0.8529	1	0.8529	1	DISTANT
Query872	0.32	0.6533	0.32	0.6533	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query404	0.8846	0.9199	0.9588	0.9971	Eukaryota
Query447	0.6589	0.6633	0.9856	0.9922	Eukaryota
Query415	0.5415	0.5441	0.5415	0.5441	Eukaryota;Arthropoda;Insecta
Query479	0.9079	0.9291	0.9763	0.9991	Eukaryota
Query14	0.9114	0.9132	0.9744	0.9763	Eukaryota;Annelida;Clitellata
Query472	0.7859	0.8265	0.8425	0.8861	Eukaryota;Annelida;Clitellata
Query113	0.9357	0.937	0.9706	0.972	Eukaryota;Annelida;Clitellata
Query74	0.8531	0.9214	0.9175	0.9909	Eukaryota
Query230	0.8995	0.9294	0.9619	0.9938	Eukaryota
Query343	0.9064	0.9618	0.9064	0.9618	Eukaryota
Query590	0.5395	0.5395	0.9853	0.9853	Eukaryota
Query171	0.8133	0.8136	0.9686	0.9689	Eukaryota
Query323	0.5103	0.5109	0.9879	0.9889	Eukaryota
Query509	0.5354	0.6318	0.5354	0.6318	Eukaryota;Bacillariophyta
Query538	0.5383	0.5384	0.5383	0.5384	Eukaryota;Chaetognatha;Sagittoidea
Query337	0.9934	0.9956	0.9934	0.9956	Eukaryota;Arthropoda;Insecta;Phthiraptera
Query624	0.8911	0.8941	0.982	0.9853	Eukaryota
Query129	0.9528	0.9529	0.9584	0.9584	Eukaryota
Query498	0.399	0.3991	0.399	0.3991	Eukaryota;Nematoda;Enoplea;Trichinellida
Query870	0.8174	0.8174	0.9682	0.9683	Eukaryota
Query268	0.9262	0.943	0.9623	0.9797	Eukaryota
Query387	0.7443	0.7871	0.9013	0.9531	Eukaryota
Query474	0.9119	0.9119	0.9711	0.9711	Eukaryota
Query379	0.9423	0.9451	0.9579	0.9607	Eukaryota
Query805	0.468	0.468	0.9777	0.9777	Eukaryota
Query621	0.6014	0.6014	1	1	Eukaryota
Query845	0.5159	0.5159	0.5159	0.5159	Eukaryota;Euglenozoa;Kinetoplastea
Query430	0.7732	0.7732	0.9683	0.9683	Eukaryota
Query743	0.6196	0.62	0.9949	0.9957	Eukaryota
Query480	0.8455	0.892	0.9462	0.9983	Eukaryota
Query809	0.8582	0.9423	0.9	0.9881	Eukaryota
Query107	0.4938	0.5097	0.4938	0.5097	Eukaryota;Nematoda;Chromadorea
Query355	0.5989	0.6008	0.5989	0.6008	Eukaryota;Filasterea;Filasterea
Query459	0.4259	0.9669	0.4335	0.9842	Eukaryota
Query723	0.4299	0.4548	0.4299	0.4548	Eukaryota;Discosea;Longamoebia;Longamoebia
Query572	0.5831	0.9796	0.5831	0.9796	Eukaryota
Query529	0.6725	0.9817	0.6725	0.9817	Eukaryota
Query616	0.673	0.897	0.7337	0.9779	Eukaryota
Query233	0.6149	0.9194	0.6468	0.9671	Eukaryota
Query454	0.6723	0.6742	0.9942	0.9971	Eukaryota
Query134	0.7616	0.7676	0.9812	0.989	Eukaryota
Query716	0.5657	0.7489	0.5657	0.7489	Eukaryota;Discosea;Flabellinia;Vannellidae;Vannellidae
Query611	0.4631	0.4849	0.9141	0.9571	Eukaryota
Query289	0.5982	0.8511	0.6911	0.9832	Eukaryota
Query484	0.9529	0.9684	0.9672	0.983	Eukaryota
Query658	0.6208	0.8045	0.7601	0.9851	Eukaryota
Query777	0.5836	0.8352	0.5836	0.8352	Eukaryota;Discosea;Flabellinia;Vannellidae;Vannellidae
Query34	0.5046	0.9662	0.5046	0.9662	Eukaryota
Query108	0.6989	0.9837	0.6989	0.9837	Eukaryota
Query849	0.614	0.6862	0.8796	0.983	Eukaryota
Query848	0.6626	0.977	0.6626	0.977	Eukaryota
Query792	0.5159	0.9218	0.542	0.9684	Eukaryota
