name	LWR	fract	aLWR	afract	taxopath
Query26505	0.3235	0.5112	0.3235	0.5112	DISTANT
Query29367	0.9302	0.9302	0.9838	0.9838	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query28794	0.7566	0.7566	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query29556	0.828	0.828	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query29245	0.73	0.73	0.7326	0.7326	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query30285	0.731	0.731	0.7865	0.7865	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query27636	0.763	0.763	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query27668	0.7624	0.7624	0.7624	0.7624	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query29930	0.8396	0.8396	0.8396	0.8396	DISTANT
Query28013	0.6815	0.6815	0.6815	0.6815	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query27759	0.579	0.579	0.579	0.579	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query29362	0.6437	0.6459	0.7559	0.7585	Eukaryota;Cnidaria;Myxozoa
Query28375	0.9181	0.9181	0.9407	0.9407	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query29387	0.5071	0.5071	0.5071	0.5071	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query27800	0.707	0.707	0.707	0.707	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query28696	0.616	0.616	0.616	0.616	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query29675	0.6109	0.6109	0.6109	0.6109	DISTANT
Query30842	0.5309	0.5309	0.5309	0.5309	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query27512	0.8351	0.9342	0.8351	0.9342	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query29619	0.35	0.6486	0.35	0.6486	DISTANT
Query28767	0.7432	0.7432	0.9471	0.9471	Bacteria
Query29491	0.8893	0.9642	0.8893	0.9642	Bacteria
Query30262	0.2273	0.6528	0.2273	0.6528	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query27243	0.2432	0.4193	0.3032	0.5227	Bacteria;Proteobacteria;Betaproteobacteria
Query30529	0.3904	0.3907	0.3904	0.3907	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query29378	0.1958	0.4179	0.1958	0.4179	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query27135	0.3505	0.3506	0.3505	0.3506	DISTANT
Query30346	0.5882	0.5882	0.5882	0.5882	Eukaryota;Cnidaria;Myxozoa
Query31032	0.7316	0.7497	0.9639	0.9878	Eukaryota
Query30787	0.82	0.8377	0.9652	0.9861	Eukaryota
Query26706	0.4822	0.8496	0.5485	0.9664	Eukaryota
Query28809	0.8395	0.9232	0.8964	0.9859	Eukaryota
Query30972	0.8019	0.8023	0.9921	0.9926	Eukaryota
Query30372	0.8527	0.861	0.9637	0.9731	Eukaryota
Query31150	0.8027	0.8452	0.9384	0.988	Eukaryota
Query28062	0.9126	0.9371	0.9442	0.9695	Eukaryota
Query27214	0.9333	0.9502	0.9535	0.9707	Eukaryota
Query29028	0.6015	0.7545	0.7765	0.9739	Eukaryota
Query29079	0.9421	0.9535	0.9598	0.9714	Eukaryota
