name	LWR	fract	aLWR	afract	taxopath
Query1124	0	0	0.6034	0.6908	Archaea
Query1124	0	0	0.6034	0.6908	Archaea;Euryarchaeota
Query1124	0	0	0.6034	0.6908	Archaea;Euryarchaeota;environmental_samples
Query1124	0.1731	0.1981	0.6034	0.6908	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1124	0.4303	0.4927	0.4303	0.4927	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1124	0	0	0.1438	0.1647	Eukaryota
Query1124	0	0	0.1438	0.1647	Eukaryota;Ciliophora
Query1124	0.1322	0.1513	0.1438	0.1647	Eukaryota;Ciliophora;Spirotrichea
Query1124	0.01167	0.01336	0.01167	0.01336	Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida
Query1124	2.332e-07	2.67e-07	2.332e-07	2.67e-07	Eukaryota;Ciliophora;Spirotrichea;Tintinnida
Query1124	2.856e-07	3.27e-07	2.856e-07	3.27e-07	Eukaryota;Ciliophora;Spirotrichea;Urostylida
Query1124	4.035e-07	4.619e-07	4.035e-07	4.619e-07	Eukaryota;Ciliophora;Spirotrichea;Euplotida
Query1124	0.1262	0.1445	0.1262	0.1445	DISTANT
Query351	0	0	0.1563	0.5232	Archaea
Query351	0	0	0.1563	0.5232	Archaea;TACK_group
Query351	0	0	0.1563	0.5232	Archaea;TACK_group;Crenarchaeota
Query351	0.1563	0.5232	0.1563	0.5232	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query351	0.1425	0.4768	0.1425	0.4768	DISTANT
Query383	0	0	1	1	Archaea
Query383	0	0	1	1	Archaea;Euryarchaeota
Query383	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query383	0.637	0.637	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query383	0.363	0.363	0.363	0.363	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1254	0	0	0.591	0.591	Archaea
Query1254	0	0	0.591	0.591	Archaea;Euryarchaeota
Query1254	0	0	0.591	0.591	Archaea;Euryarchaeota;environmental_samples
Query1254	0.591	0.591	0.591	0.591	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1254	1.158e-06	1.158e-06	1.158e-06	1.158e-06	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1254	0.409	0.409	0.409	0.409	DISTANT
Query497	0	0	1	1	Archaea
Query497	0	0	1	1	Archaea;Euryarchaeota
Query497	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query497	0.744	0.744	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query497	0.256	0.256	0.256	0.256	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query246	0	0	0.6104	0.6104	Archaea
Query246	0	0	0.6104	0.6104	Archaea;Euryarchaeota
Query246	0	0	0.6104	0.6104	Archaea;Euryarchaeota;environmental_samples
Query246	0.6104	0.6104	0.6104	0.6104	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query246	1.196e-06	1.196e-06	1.196e-06	1.196e-06	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query246	0.3896	0.3896	0.3896	0.3896	DISTANT
Query1242	0	0	0.9902	0.9902	Archaea
Query1242	0	0	0.9902	0.9902	Archaea;Euryarchaeota
Query1242	0	0	0.9902	0.9902	Archaea;Euryarchaeota;environmental_samples
Query1242	0.851	0.851	0.9902	0.9902	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1242	0.1392	0.1392	0.1392	0.1392	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1242	0.009804	0.009804	0.009804	0.009804	DISTANT
Query997	0	0	1	1	Archaea
Query997	0	0	1	1	Archaea;Euryarchaeota
Query997	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query997	0.7059	0.7059	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query997	0.2941	0.2941	0.2941	0.2941	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1114	0	0	0.2061	0.2061	Archaea
Query1114	0	0	0.2061	0.2061	Archaea;Euryarchaeota
Query1114	0	0	0.2061	0.2061	Archaea;Euryarchaeota;environmental_samples
Query1114	0.2061	0.2061	0.2061	0.2061	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1114	0.7939	0.7939	0.7939	0.7939	DISTANT
Query1379	0	0	0.4548	0.4548	Archaea
Query1379	0	0	0.4548	0.4548	Archaea;Euryarchaeota
Query1379	0	0	0.4548	0.4548	Archaea;Euryarchaeota;environmental_samples
Query1379	0.4548	0.4548	0.4548	0.4548	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1379	0.5452	0.5452	0.5452	0.5452	DISTANT
Query966	0	0	0.5106	0.5106	Archaea
Query966	0	0	0.5106	0.5106	Archaea;Euryarchaeota
Query966	0	0	0.5106	0.5106	Archaea;Euryarchaeota;environmental_samples
Query966	0.5106	0.5106	0.5106	0.5106	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query966	0.4894	0.4894	0.4894	0.4894	DISTANT
Query1062	0	0	0.7138	0.8116	Archaea
Query1062	0	0	0.7138	0.8116	Archaea;Euryarchaeota
Query1062	0	0	0.7138	0.8116	Archaea;Euryarchaeota;environmental_samples
Query1062	0.7138	0.8116	0.7138	0.8116	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1062	7.561e-07	8.597e-07	7.561e-07	8.597e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1062	0.1657	0.1884	0.1657	0.1884	DISTANT
Query1240	0	0	0.988	0.9942	Archaea
Query1240	0	0	0.988	0.9942	Archaea;Euryarchaeota
Query1240	0	0	0.988	0.9942	Archaea;Euryarchaeota;environmental_samples
Query1240	0.988	0.9942	0.988	0.9942	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1240	9.68e-07	9.74e-07	9.68e-07	9.74e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1240	0.005748	0.005784	0.005748	0.005784	DISTANT
Query1341	0	0	0.9817	0.9817	Bacteria
Query1341	0.8928	0.8928	0.9817	0.9817	Bacteria;Bacteroidetes
Query1341	0.07952	0.07952	0.07952	0.07952	Bacteria;Bacteroidetes;Flavobacteriia
Query1341	0	0	0.00932	0.00932	Bacteria;Bacteroidetes;Sphingobacteriia
Query1341	0	0	0.00932	0.00932	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales
Query1341	0.00932	0.00932	0.00932	0.00932	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
Query1341	0.01833	0.01833	0.01833	0.01833	DISTANT
Query760	0.9403	0.9573	0.9403	0.9573	Bacteria
Query760	0	0	2.288e-05	2.329e-05	Bacteria;Proteobacteria
Query760	2.288e-05	2.329e-05	2.288e-05	2.329e-05	Bacteria;Proteobacteria;Gammaproteobacteria
Query760	0.04193	0.04269	0.04193	0.04269	DISTANT
Query669	0	0	0.5144	0.5144	Eukaryota
Query669	0	0	0.5144	0.5144	Eukaryota;Cnidaria
Query669	0.2572	0.2572	0.5144	0.5144	Eukaryota;Cnidaria;Myxozoa
Query669	0	0	0.2572	0.2572	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
Query669	0	0	0.2572	0.2572	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
Query669	0.2572	0.2572	0.2572	0.2572	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query669	0.4856	0.4856	0.4856	0.4856	DISTANT
Query1317	0	0	0.5142	0.5142	Eukaryota
Query1317	0	0	0.5142	0.5142	Eukaryota;Cnidaria
Query1317	0.1941	0.1941	0.5142	0.5142	Eukaryota;Cnidaria;Myxozoa
Query1317	0	0	0.3201	0.3201	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
Query1317	0	0	0.3201	0.3201	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
Query1317	0.3201	0.3201	0.3201	0.3201	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query1317	0.4858	0.4858	0.4858	0.4858	DISTANT
Query1045	0.6674	0.7235	0.9004	0.9761	Eukaryota
Query1045	0	0	6.692e-06	7.255e-06	Eukaryota;Streptophyta
Query1045	0	0	6.692e-06	7.255e-06	Eukaryota;Streptophyta;Mesostigmatophyceae
Query1045	0	0	6.692e-06	7.255e-06	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales
Query1045	0	0	6.692e-06	7.255e-06	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae
Query1045	0	0	6.692e-06	7.255e-06	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma
Query1045	6.692e-06	7.255e-06	6.692e-06	7.255e-06	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma;Mesostigma_viride
Query1045	0.233	0.2526	0.233	0.2526	Eukaryota;Chlorophyta
Query1045	0.02203	0.02388	0.02203	0.02388	DISTANT
Query175	0.7586	0.9778	0.7586	0.9778	Eukaryota
Query175	0.0172	0.02217	0.0172	0.02217	DISTANT
Query866	0.04478	0.08062	0.5383	0.9692	Eukaryota
Query866	0	0	0.4769	0.8586	Eukaryota;Discosea
Query866	0	0	0.4639	0.8352	Eukaryota;Discosea;Flabellinia
Query866	0	0	0.4639	0.8352	Eukaryota;Discosea;Flabellinia;Vannellidae
Query866	0.4639	0.8352	0.4639	0.8352	Eukaryota;Discosea;Flabellinia;Vannellidae;Vannellidae
Query866	0	0	0.01296	0.02333	Eukaryota;Discosea;Longamoebia
Query866	0.01296	0.02333	0.01296	0.02333	Eukaryota;Discosea;Longamoebia;Longamoebia
Query866	0	0	0.01665	0.02997	Eukaryota;Rhodophyta
Query866	0	0	0.01665	0.02997	Eukaryota;Rhodophyta;Bangiophyceae
