LWR	fract	aLWR	afract	taxopath
0	0	1325	0.05949	Archaea
0	0	14.16	0.0006359	Archaea;TACK_group
0	0	14.16	0.0006359	Archaea;TACK_group;Crenarchaeota
14.16	0.0006359	14.16	0.0006359	Archaea;TACK_group;Crenarchaeota;Thermoprotei
0	0	1311	0.05885	Archaea;Euryarchaeota
0	0	1309	0.05878	Archaea;Euryarchaeota;environmental_samples
1149	0.05161	1309	0.05878	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
159.5	0.007165	159.5	0.007165	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
0.02259	1.015e-06	0.02259	1.015e-06	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_178_D06
0.02312	1.038e-06	0.02312	1.038e-06	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_104_H03
0.04536	2.037e-06	0.04536	2.037e-06	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_11_G05
1.625	7.3e-05	1.625	7.3e-05	Archaea;Euryarchaeota;Diaforarchaea_group_Thermoplasmata_Thermoplasmatales
1.381e-05	6.202e-10	1.381e-05	6.202e-10	Archaea;Euryarchaeota;Stenosarchaea_group_Halobacteria
787.2	0.03535	787.2	0.03535	DISTANT
5140	0.2308	2.003e+04	0.8995	Eukaryota
1.848	8.297e-05	272.3	0.01223	Eukaryota;Cnidaria
72.08	0.003237	159.5	0.007165	Eukaryota;Cnidaria;Myxozoa
0	0	1.323	5.941e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida
0	0	1.323	5.941e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Enteromyxidae
0	0	1.323	5.941e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Enteromyxidae;Enteromyxum
1.323	5.941e-05	1.323	5.941e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Enteromyxidae;Enteromyxum;Enteromyxum_leei
0	0	50.78	0.00228	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
0	0	50.78	0.00228	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
50.78	0.00228	50.78	0.00228	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
0	0	35.36	0.001588	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida
35.36	0.001588	35.36	0.001588	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida;Saccosporidae
90.83	0.004079	109.3	0.004909	Eukaryota;Cnidaria;Hydrozoa
2.841	0.0001276	2.841	0.0001276	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae
0.52	2.335e-05	0.52	2.335e-05	Eukaryota;Cnidaria;Hydrozoa;Limnomedusae
7.67	0.0003444	7.67	0.0003444	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata
5.981	0.0002686	5.981	0.0002686	Eukaryota;Cnidaria;Hydrozoa;Leptothecata
1.44	6.469e-05	1.44	6.469e-05	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae
0.04443	1.995e-06	0.04443	1.995e-06	Eukaryota;Cnidaria;Hydrozoa;Trachymedusae
1.339	6.012e-05	1.339	6.012e-05	Eukaryota;Cnidaria;Scyphozoa
0.2079	9.338e-06	0.2079	9.338e-06	Eukaryota;Cnidaria;Cubozoa
0.06312	2.835e-06	0.06312	2.835e-06	Eukaryota;Cnidaria;Anthozoa
0	0	37.82	0.001698	Eukaryota;Chordata
0	0	31.19	0.001401	Eukaryota;Chordata;Thaliacea
0	0	0.8602	3.863e-05	Eukaryota;Chordata;Thaliacea;Pyrosomata
0	0	0.8602	3.863e-05	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae
0	0	0.8602	3.863e-05	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma
0.8602	3.863e-05	0.8602	3.863e-05	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
0	0	30.22	0.001357	Eukaryota;Chordata;Thaliacea;Salpida
30.22	0.001357	30.22	0.001357	Eukaryota;Chordata;Thaliacea;Salpida;Salpidae
0	0	0.1064	4.777e-06	Eukaryota;Chordata;Thaliacea;Doliolida
0	0	0.1064	4.777e-06	Eukaryota;Chordata;Thaliacea;Doliolida;Doliolidae
0	0	0.1064	4.777e-06	Eukaryota;Chordata;Thaliacea;Doliolida;Doliolidae;Doliolum
0.1064	4.777e-06	0.1064	4.777e-06	Eukaryota;Chordata;Thaliacea;Doliolida;Doliolidae;Doliolum;Doliolum_nationalis
0	0	5.672	0.0002547	Eukaryota;Chordata;Leptocardii
0	0	5.672	0.0002547	Eukaryota;Chordata;Leptocardii;Amphioxiformes
5.672	0.0002547	5.672	0.0002547	Eukaryota;Chordata;Leptocardii;Amphioxiformes;Branchiostomidae
0	0	0.9546	4.287e-05	Eukaryota;Chordata;Appendicularia
0	0	0.9546	4.287e-05	Eukaryota;Chordata;Appendicularia;Copelata
0.9546	4.287e-05	0.9546	4.287e-05	Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae
0	0	10.31	0.0004628	Eukaryota;Streptophyta
0	0	7.026	0.0003155	Eukaryota;Streptophyta;Mesostigmatophyceae
0	0	7.026	0.0003155	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales
0	0	7.026	0.0003155	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae
0	0	7.026	0.0003155	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma
7.026	0.0003155	7.026	0.0003155	Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma;Mesostigma_viride
0	0	0.5132	2.305e-05	Eukaryota;Streptophyta;Chlorokybophyceae
0	0	0.5132	2.305e-05	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales
0	0	0.5132	2.305e-05	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae
0	0	0.5132	2.305e-05	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus
0.5132	2.305e-05	0.5132	2.305e-05	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus_atmophyticus
0	0	0.2597	1.166e-05	Eukaryota;Streptophyta;Coleochaetophyceae
0.2597	1.166e-05	0.2597	1.166e-05	Eukaryota;Streptophyta;Coleochaetophyceae;Coleochaetales
0	0	2.507	0.0001126	Eukaryota;Streptophyta;Haplomitriopsida
0	0	2.507	0.0001126	Eukaryota;Streptophyta;Haplomitriopsida;Treubiales
0	0	2.507	0.0001126	Eukaryota;Streptophyta;Haplomitriopsida;Treubiales;Treubiaceae
0	0	2.507	0.0001126	Eukaryota;Streptophyta;Haplomitriopsida;Treubiales;Treubiaceae;Treubia
2.507	0.0001126	2.507	0.0001126	Eukaryota;Streptophyta;Haplomitriopsida;Treubiales;Treubiaceae;Treubia;Treubia_lacunosa
0.4249	1.908e-05	33.17	0.00149	Eukaryota;Chlorophyta
0	0	0.0682	3.062e-06	Eukaryota;Chlorophyta;Pyramimonadophyceae
0	0	0.0682	3.062e-06	Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales
0.0682	3.062e-06	0.0682	3.062e-06	Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae
0	0	24.4	0.001096	Eukaryota;Chlorophyta;Pedinophyceae
0	0	24.4	0.001096	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales
0	0	24.4	0.001096	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae
0	0	24.4	0.001096	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas
24.4	0.001096	24.4	0.001096	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas;Pedinomonas_minor
0	0	0.6641	2.982e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae
0	0	0.6641	2.982e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales
0	0	0.6641	2.982e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae
0.6641	2.982e-05	0.6641	2.982e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis
0.2877	1.292e-05	4.778	0.0002146	Eukaryota;Chlorophyta;Trebouxiophyceae
0	0	1.958	8.794e-05	Eukaryota;Chlorophyta;Trebouxiophyceae;Jaagichlorella
0	0	1.958	8.794e-05	Eukaryota;Chlorophyta;Trebouxiophyceae;Jaagichlorella;Jaagichlorella
1.958	8.794e-05	1.958	8.794e-05	Eukaryota;Chlorophyta;Trebouxiophyceae;Jaagichlorella;Jaagichlorella;Jaagichlorella
0	0	2.532	0.0001137	Eukaryota;Chlorophyta;Trebouxiophyceae;Trebouxiales
2.532	0.0001137	2.532	0.0001137	Eukaryota;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae
0	0	1.946e-06	8.741e-11	Eukaryota;Chlorophyta;Trebouxiophyceae;Botryococcus
0	0	1.946e-06	8.741e-11	Eukaryota;Chlorophyta;Trebouxiophyceae;Botryococcus;Botryococcus
0	0	1.946e-06	8.741e-11	Eukaryota;Chlorophyta;Trebouxiophyceae;Botryococcus;Botryococcus;Botryococcus
1.946e-06	8.741e-11	1.946e-06	8.741e-11	Eukaryota;Chlorophyta;Trebouxiophyceae;Botryococcus;Botryococcus;Botryococcus;Botryococcus_braunii
0	0	0.001902	8.539e-08	Eukaryota;Chlorophyta;Ulvophyceae
0	0	0.001902	8.539e-08	Eukaryota;Chlorophyta;Ulvophyceae;Ulvales
0	0	0.001902	8.539e-08	Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae
0.001902	8.539e-08	0.001902	8.539e-08	Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva
0	0	2.832	0.0001272	Eukaryota;Chlorophyta;Chlorophyceae
0	0	2.093	9.401e-05	Eukaryota;Chlorophyta;Chlorophyceae;Oedogoniales
0	0	2.093	9.401e-05	Eukaryota;Chlorophyta;Chlorophyceae;Oedogoniales;Oedogoniaceae
0	0	2.093	9.401e-05	Eukaryota;Chlorophyta;Chlorophyceae;Oedogoniales;Oedogoniaceae;Bulbochaete
2.093	9.401e-05	2.093	9.401e-05	Eukaryota;Chlorophyta;Chlorophyceae;Oedogoniales;Oedogoniaceae;Bulbochaete;Bulbochaete_rectangularis
0	0	0.7387	3.317e-05	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales
0	0	0.7387	3.317e-05	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae
0	0	0.7387	3.317e-05	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae;Protosiphon
0.7387	3.317e-05	0.7387	3.317e-05	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae;Protosiphon;Protosiphon_botryoides
0	0	18.9	0.0008486	Eukaryota;Cercozoa
18.9	0.0008486	18.9	0.0008486	Eukaryota;Cercozoa;Chlorarachniophyceae
0	0	61.36	0.002756	Eukaryota;Evosea
0	0	56.24	0.002526	Eukaryota;Evosea;Squamamoeba
0	0	56.24	0.002526	Eukaryota;Evosea;Squamamoeba;Squamamoeba
0	0	56.24	0.002526	Eukaryota;Evosea;Squamamoeba;Squamamoeba;Squamamoeba
0	0	56.24	0.002526	Eukaryota;Evosea;Squamamoeba;Squamamoeba;Squamamoeba;Squamamoeba
56.24	0.002526	56.24	0.002526	Eukaryota;Evosea;Squamamoeba;Squamamoeba;Squamamoeba;Squamamoeba;Squamamoeba_japonica
5.106	0.0002293	5.125	0.0002301	Eukaryota;Evosea;Eumycetozoa
0	0	4.046e-07	1.817e-11	Eukaryota;Evosea;Eumycetozoa;Dictyosteliales
0	0	4.046e-07	1.817e-11	Eukaryota;Evosea;Eumycetozoa;Dictyosteliales;Dictyosteliaceae
4.046e-07	1.817e-11	4.046e-07	1.817e-11	Eukaryota;Evosea;Eumycetozoa;Dictyosteliales;Dictyosteliaceae;Dictyostelium
0	0	0.01873	8.409e-07	Eukaryota;Evosea;Eumycetozoa;Echinosteliales
0	0	0.01873	8.409e-07	Eukaryota;Evosea;Eumycetozoa;Echinosteliales;Clastodermataceae
0	0	0.01873	8.409e-07	Eukaryota;Evosea;Eumycetozoa;Echinosteliales;Clastodermataceae;Clastoderma
0.01873	8.409e-07	0.01873	8.409e-07	Eukaryota;Evosea;Eumycetozoa;Echinosteliales;Clastodermataceae;Clastoderma;Clastoderma_debaryanum
0	0	118.4	0.005316	Eukaryota;Imbricatea
0	0	118.4	0.005316	Eukaryota;Imbricatea;Euglyphida
