	ERR1308201
Dero_obtusa_	5	
Chironomus_pseudothummi_	14	
Chironomus_	41	
Radix_	6	
Phaonia_tuguriorum_	6	
Chironomus_riparius_	8	
Tanytarsus_heliomesonyctios_	61	
Psectrocladius_octomaculatus_	31	
Psychoda_lobata_	12	
Phoxinus_	7	
Ceraclea_dissimilis_	4	
Binodoxys_acalephae_	46	
Psychoda_trinodulosa_	52	
Psychoda_alternata_	29	
Arthropoda_	244	
Insecta_	1520	
Physella_acuta_	40	
Eukaryota_	9863	
Nineta_flava_	20	
Metriocnemus_eurynotus_	3	
Diptera_	10186	
Crangonyx_pseudogracilis_	66	
Ancylus_	36	
Ablabesmyia_monilis_	329	
