amplicon	ERR1308201	total
ERR1308201:109930.627147	8	8
ERR1308201:262400.614929	8	8
ERR1308201:1125540.615130	6	6
ERR1308201:148270.630928	6	6
ERR1308201:236990.616748	6	6
ERR1308201:255290.610173	6	6
ERR1308201:283890.616819	6	6
ERR1308201:343720.628418	6	6
ERR1308201:363740.617190	6	6
ERR1308201:429520.617317	6	6
ERR1308201:101600.609596	5	5
ERR1308201:124080.615896	5	5
ERR1308201:167930.602046	5	5
ERR1308201:189120.603048	5	5
ERR1308201:218510.604370	5	5
ERR1308201:2295680.604643	5	5
ERR1308201:240860.603339	5	5
ERR1308201:247630.621388	5	5
ERR1308201:251650.619795	5	5
ERR1308201:256080.634293	5	5
ERR1308201:259170.613969	5	5
ERR1308201:267990.603809	5	5
ERR1308201:293390.605372	5	5
ERR1308201:327680.602868	5	5
ERR1308201:342580.628524	5	5
ERR1308201:351650.617418	5	5
ERR1308201:495560.626703	5	5
ERR1308201:845740.611264	5	5
ERR1308201:875630.616881	5	5
ERR1308201:101090.607260	4	4
ERR1308201:106260.620723	4	4
ERR1308201:1077170.607807	4	4
ERR1308201:114670.600786	4	4
ERR1308201:1175800.600643	4	4
ERR1308201:123600.611898	4	4
ERR1308201:125050.615080	4	4
ERR1308201:1455950.608591	4	4
ERR1308201:145640.623905	4	4
ERR1308201:1483250.608186	4	4
ERR1308201:1602810.611138	4	4
ERR1308201:1719340.604691	4	4
ERR1308201:181600.608843	4	4
ERR1308201:1818150.614568	4	4
ERR1308201:185850.603684	4	4
ERR1308201:191560.600655	4	4
ERR1308201:1916970.606797	4	4
ERR1308201:1935130.610537	4	4
ERR1308201:193590.602208	4	4
ERR1308201:196730.634788	4	4
ERR1308201:218090.614837	4	4
ERR1308201:2199760.616995	4	4
ERR1308201:237670.602107	4	4
ERR1308201:258980.607176	4	4
ERR1308201:260740.610395	4	4
ERR1308201:277210.605880	4	4
ERR1308201:283920.612738	4	4
ERR1308201:290920.601225	4	4
ERR1308201:329680.627724	4	4
ERR1308201:334270.606417	4	4
ERR1308201:340370.614684	4	4
ERR1308201:347150.616364	4	4
ERR1308201:35240.604544	4	4
ERR1308201:353690.617012	4	4
ERR1308201:361870.610359	4	4
ERR1308201:365250.631086	4	4
ERR1308201:399610.632110	4	4
ERR1308201:408290.610020	4	4
ERR1308201:411220.611107	4	4
ERR1308201:412730.642820	4	4
ERR1308201:417310.605462	4	4
ERR1308201:418170.620718	4	4
ERR1308201:424830.606918	4	4
ERR1308201:431470.619873	4	4
ERR1308201:436950.610587	4	4
ERR1308201:437060.631103	4	4
ERR1308201:442390.628689	4	4
ERR1308201:447700.604878	4	4
ERR1308201:447800.603593	4	4
ERR1308201:449170.612066	4	4
ERR1308201:473760.630051	4	4
ERR1308201:479290.607374	4	4
ERR1308201:479580.616858	4	4
ERR1308201:479790.607972	4	4
ERR1308201:480950.604051	4	4
ERR1308201:490620.608359	4	4
ERR1308201:498090.600969	4	4
ERR1308201:500730.607071	4	4
ERR1308201:522220.601610	4	4
ERR1308201:534010.614696	4	4
ERR1308201:561750.614229	4	4
ERR1308201:563050.634535	4	4
ERR1308201:569180.605832	4	4
ERR1308201:620100.623922	4	4
ERR1308201:62970.609347	4	4
ERR1308201:638730.612829	4	4
ERR1308201:648010.627949	4	4
ERR1308201:655420.613071	4	4
ERR1308201:673760.624959	4	4
ERR1308201:715060.606373	4	4
ERR1308201:723200.618544	4	4
ERR1308201:738770.603297	4	4
ERR1308201:770790.606603	4	4
ERR1308201:771350.603312	4	4
ERR1308201:795000.619557	4	4
ERR1308201:795490.620805	4	4
ERR1308201:803690.615344	4	4
ERR1308201:812650.620972	4	4
ERR1308201:839980.618935	4	4
ERR1308201:840650.605411	4	4
ERR1308201:842070.610624	4	4
ERR1308201:856210.614775	4	4
ERR1308201:863220.603139	4	4
ERR1308201:876070.622279	4	4
ERR1308201:883300.618162	4	4
ERR1308201:923630.612058	4	4
ERR1308201:930100.602328	4	4
ERR1308201:945880.600377	4	4
ERR1308201:96580.607280	4	4
ERR1308201:1002050.602590	3	3
ERR1308201:100440.600145	3	3
ERR1308201:100720.600345	3	3
ERR1308201:1011320.608431	3	3
ERR1308201:1016930.603165	3	3
ERR1308201:1017630.617587	3	3
