amplicon	linearized.dereplicate_ERR1308201.merged.fastq	total
ERR1308201:::10993:0:0:0:0.627147	8	8
ERR1308201:::26240:0:0:0:0.614929	8	8
ERR1308201:::112554:0:0:0:0.615130	6	6
ERR1308201:::14827:0:0:0:0.630928	6	6
ERR1308201:::23699:0:0:0:0.616748	6	6
ERR1308201:::25529:0:0:0:0.610173	6	6
ERR1308201:::28389:0:0:0:0.616819	6	6
ERR1308201:::34372:0:0:0:0.628418	6	6
ERR1308201:::36374:0:0:0:0.617190	6	6
ERR1308201:::42952:0:0:0:0.617317	6	6
ERR1308201:::10160:0:0:0:0.609596	5	5
ERR1308201:::12408:0:0:0:0.615896	5	5
ERR1308201:::16793:0:0:0:0.602046	5	5
ERR1308201:::18912:0:0:0:0.603048	5	5
ERR1308201:::21851:0:0:0:0.604370	5	5
ERR1308201:::229568:0:0:0:0.604643	5	5
ERR1308201:::24086:0:0:0:0.603339	5	5
ERR1308201:::24763:0:0:0:0.621388	5	5
ERR1308201:::25165:0:0:0:0.619795	5	5
ERR1308201:::25608:0:0:0:0.634293	5	5
ERR1308201:::25917:0:0:0:0.613969	5	5
ERR1308201:::26799:0:0:0:0.603809	5	5
ERR1308201:::29339:0:0:0:0.605372	5	5
ERR1308201:::32768:0:0:0:0.602868	5	5
ERR1308201:::34258:0:0:0:0.628524	5	5
ERR1308201:::35165:0:0:0:0.617418	5	5
ERR1308201:::49556:0:0:0:0.626703	5	5
ERR1308201:::84574:0:0:0:0.611264	5	5
ERR1308201:::87563:0:0:0:0.616881	5	5
ERR1308201:::10109:0:0:0:0.607260	4	4
ERR1308201:::10626:0:0:0:0.620723	4	4
ERR1308201:::107717:0:0:0:0.607807	4	4
ERR1308201:::11467:0:0:0:0.600786	4	4
ERR1308201:::117580:0:0:0:0.600643	4	4
ERR1308201:::12360:0:0:0:0.611898	4	4
ERR1308201:::12505:0:0:0:0.615080	4	4
ERR1308201:::145595:0:0:0:0.608591	4	4
ERR1308201:::14564:0:0:0:0.623905	4	4
ERR1308201:::148325:0:0:0:0.608186	4	4
ERR1308201:::160281:0:0:0:0.611138	4	4
ERR1308201:::171934:0:0:0:0.604691	4	4
ERR1308201:::18160:0:0:0:0.608843	4	4
ERR1308201:::181815:0:0:0:0.614568	4	4
ERR1308201:::18585:0:0:0:0.603684	4	4
