OTU	amplicon	ERR1308239	total
73	ERR1308239:1020310.708370	1	1
90	ERR1308239:1030860.698669	1	1
98	ERR1308239:1035700.602970	1	1
102	ERR1308239:1038920.687349	1	1
108	ERR1308239:1045780.712899	1	1
123	ERR1308239:1070170.660731	1	1
125	ERR1308239:1071690.696412	1	1
133	ERR1308239:1094730.687538	1	1
135	ERR1308239:1097110.647485	1	1
139	ERR1308239:1102010.673232	1	1
142	ERR1308239:1105520.719493	2	2
151	ERR1308239:1114700.715554	1	1
161	ERR1308239:1122710.703500	1	1
162	ERR1308239:113220.613598	1	1
165	ERR1308239:1135520.622208	2	2
170	ERR1308239:1141430.626814	1	1
171	ERR1308239:1143750.626970	2	2
177	ERR1308239:1163660.727598	1	1
183	ERR1308239:1197770.679160	1	1
185	ERR1308239:1204100.612124	1	1
188	ERR1308239:1208580.695075	1	1
195	ERR1308239:1239910.609214	1	1
196	ERR1308239:1240760.614819	2	2
197	ERR1308239:124080.701058	1	1
205	ERR1308239:1260960.618532	2	2
206	ERR1308239:1261950.726362	2	2
208	ERR1308239:1282100.740096	1	1
209	ERR1308239:1299170.647535	1	1
210	ERR1308239:131590.627559	1	1
211	ERR1308239:1316170.688785	1	1
212	ERR1308239:1316480.699804	1	1
213	ERR1308239:1319930.615866	2	2
217	ERR1308239:1333350.698041	1	1
218	ERR1308239:1339160.715158	1	1
220	ERR1308239:1364440.695371	2	2
222	ERR1308239:1375530.716888	1	1
223	ERR1308239:1383430.643123	1	1
224	ERR1308239:1387540.706720	1	1
225	ERR1308239:139590.736252	1	1
226	ERR1308239:1397420.625424	1	1
229	ERR1308239:1405440.711184	1	1
230	ERR1308239:1411210.688847	1	1
232	ERR1308239:142280.620259	1	1
233	ERR1308239:1425330.678476	1	1
235	ERR1308239:1434580.640154	1	1
236	ERR1308239:1441470.630298	1	1
237	ERR1308239:1448830.701806	1	1
241	ERR1308239:1477710.613486	1	1
243	ERR1308239:1511030.716686	1	1
244	ERR1308239:1522920.751159	2	2
246	ERR1308239:1529080.660738	1	1
247	ERR1308239:1553170.699552	1	1
249	ERR1308239:1564590.674598	1	1
250	ERR1308239:1584540.607332	2	2
251	ERR1308239:15900.695053	2	2
252	ERR1308239:1601110.672552	1	1
253	ERR1308239:1602120.655734	1	1
254	ERR1308239:1612240.706873	1	1
256	ERR1308239:1628390.673722	1	1
258	ERR1308239:1634340.718267	1	1
259	ERR1308239:1636290.702376	1	1
260	ERR1308239:1648870.602012	1	1
261	ERR1308239:166020.646928	1	1
262	ERR1308239:1662460.614010	1	1
264	ERR1308239:1668770.684141	1	1
265	ERR1308239:1678040.627341	1	1
267	ERR1308239:1710430.611798	1	1
270	ERR1308239:1721350.666227	1	1
272	ERR1308239:1727350.635180	1	1
273	ERR1308239:1729160.694074	1	1
274	ERR1308239:1734730.697186	1	1
275	ERR1308239:1736360.685759	1	1
277	ERR1308239:1744150.712018	2	2
278	ERR1308239:1745290.638942	1	1
279	ERR1308239:1755770.696449	1	1
280	ERR1308239:1762050.638016	1	1
281	ERR1308239:1762910.697097	1	1
282	ERR1308239:1763070.646075	1	1
283	ERR1308239:1767360.607397	1	1
284	ERR1308239:180460.702680	2	2
285	ERR1308239:180930.617199	1	1
287	ERR1308239:182150.677635	2	2
288	ERR1308239:1821600.635269	1	1
291	ERR1308239:1829920.721245	1	1
292	ERR1308239:1834410.741988	1	1
293	ERR1308239:1838530.600766	1	1
294	ERR1308239:1842450.763683	1	1
295	ERR1308239:1850280.711993	1	1
296	ERR1308239:18880.696251	2	2
297	ERR1308239:1888900.608965	1	1
298	ERR1308239:1895980.601890	1	1
299	ERR1308239:1896610.694217	1	1
301	ERR1308239:1914830.693405	1	1
302	ERR1308239:1923350.721119	1	1
303	ERR1308239:1939700.635342	1	1
304	ERR1308239:1958530.709581	1	1
305	ERR1308239:1959080.716149	1	1
306	ERR1308239:199050.673146	1	1
308	ERR1308239:2012790.704282	1	1
309	ERR1308239:2015100.656246	1	1
310	ERR1308239:2016670.660588	1	1
312	ERR1308239:2020510.618359	1	1
314	ERR1308239:2030980.713370	1	1
315	ERR1308239:2034510.691442	1	1
317	ERR1308239:2055400.698164	1	1
318	ERR1308239:2058920.685358	1	1
319	ERR1308239:2063890.696367	1	1
320	ERR1308239:2075400.668467	1	1
321	ERR1308239:2076210.672166	1	1
322	ERR1308239:2076820.610801	1	1
323	ERR1308239:2076900.614889	1	1
324	ERR1308239:2077390.709971	1	1
325	ERR1308239:2077780.629704	1	1
326	ERR1308239:2078800.666586	1	1
327	ERR1308239:2079390.605304	1	1
328	ERR1308239:2080220.716038	1	1
329	ERR1308239:2080940.612191	1	1
330	ERR1308239:2081360.687348	1	1
331	ERR1308239:2082980.609143	1	1
332	ERR1308239:2083290.642952	1	1
333	ERR1308239:2083890.605488	1	1
334	ERR1308239:2083900.608973	1	1
337	ERR1308239:2085340.616536	1	1
339	ERR1308239:2086540.611319	1	1
341	ERR1308239:2088780.694062	1	1
342	ERR1308239:2089110.610657	1	1
343	ERR1308239:2090800.705868	1	1
344	ERR1308239:2091290.675222	1	1
345	ERR1308239:2091450.683686	1	1
347	ERR1308239:2091980.709940	2	2
350	ERR1308239:2094550.618838	1	1
351	ERR1308239:2095150.606877	1	1
352	ERR1308239:2096600.677355	1	1
353	ERR1308239:2096850.640985	1	1
354	ERR1308239:2097410.738974	1	1
356	ERR1308239:2097990.717350	1	1
357	ERR1308239:2098270.763165	1	1
358	ERR1308239:2098900.639804	1	1
360	ERR1308239:2100710.618283	1	1
361	ERR1308239:2100790.693207	1	1
362	ERR1308239:2101040.690748	1	1
