OTU	ERR1308239	classification
ukaryota;Arthropoda;Insecta;Lepidoptera;Prodoxidae;Parategeticula;Parategeticula elephantipella
ERR1308239:711640.607058	4159	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Lispe;Lispe orientalis
ERR1308239:512750.612266	1887	Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides nigrimanus
ERR1308239:1057010.606020	1499	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Moinidae;Moina;Moina mongolica
ERR1308239:1201970.603455	1401	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308239:182690.629063	1242	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Sarcophaga;Sarcophaga serrata
ERR1308239:179470.619526	1136	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus heliomesonyctios
ERR1308239:565050.623945	792	Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Brachymyrmex;Brachymyrmex depilis
ERR1308239:2651950.624397	598	Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia sibogae
ERR1308239:2688970.610246	480	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila unimaculata
ERR1308239:1045550.602182	357	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Haemadipsa;Haemadipsa cavatuses
ERR1308239:1063220.728700	332	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya actinia
ERR1308239:1207400.621929	306	Eukaryota;Echinodermata;Crinoidea;Cyrtocrinida;Holopodidae;Holopus;Holopus rangii
ERR1308239:3234670.618210	304	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Centropagidae;Boeckella;Boeckella triarticulata
ERR1308239:1759600.616849	299	Eukaryota;Arthropoda;Insecta;Diptera;Calliphoridae;Chrysomya;Chrysomya chani
ERR1308239:2310320.614328	287	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Decipisagitta;Decipisagitta decipiens
ERR1308239:1016800.691987	276	Eukaryota;Nematoda;Chromadorea;Tylenchida;Meloidogynidae;Meloidogyne;Meloidogyne chitwoodi
ERR1308239:1239790.627274	260	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308239:1029230.616710	246	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308239:1174730.633695	216	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pseudobaimaii
ERR1308239:1428530.604193	211	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Gorgoniidae;Antillogorgia;Antillogorgia bipinnata
ERR1308239:2309110.610854	175	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pseudobaimaii
ERR1308239:1228840.627746	168	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308239:2938260.608619	165	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila kanapiae
ERR1308239:102580.616793	155	Eukaryota;Chordata;Squamata;Dipsadidae;Pseudoleptodeira;Pseudoleptodeira latifasciata
ERR1308239:343020.607076	152	Eukaryota;Arthropoda;Insecta;Diptera;Sciaridae;Corynoptera;Corynoptera boletiphaga
ERR1308239:1020870.634610	146	Eukaryota;Mollusca;Bivalvia;Unionoida;Unionidae;Lamprotula;Lamprotula gottschei
ERR1308239:1926000.607669	144	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Ablabesmyia;Ablabesmyia monilis
ERR1308239:256100.605494	127	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes hobbsi
ERR1308239:337790.604646	112	Eukaryota;Arthropoda;Insecta;Diptera;Sciaridae;Bradysia;Bradysia amoena
ERR1308239:1013780.604390	105	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Mimosestes;Mimosestes ulkei
ERR1308239:2978710.605662	105	Eukaryota;Mollusca;Gastropoda;Vertiginidae;Vertigo;Vertigo pusilla
ERR1308239:1006270.600124	95	Eukaryota;Arthropoda;Insecta;Hemiptera;Pentatomidae;Pentatoma;Pentatoma rufipes
ERR1308239:1004280.601280	94	Eukaryota;Arthropoda;Insecta;Diptera;Sciaridae;Bradysia;Bradysia lapponica
ERR1308239:1035630.628364	93	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Paratanytarsus;Paratanytarsus tenuis
ERR1308239:102590.632492	90	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308239:3267370.611373	86	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Paratanytarsus;Paratanytarsus dissimilis
ERR1308239:1020190.601423	83	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Ortholepis;Ortholepis pasadamia
ERR1308239:1005520.609632	81	Eukaryota;Arthropoda;Insecta;Lepidoptera;Zygaenidae;Phauda;Phauda bicolor
ERR1308239:1046110.719423	78	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Polycarpa;Polycarpa mytiligera
ERR1308239:1017620.608920	77	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Myospila;Myospila lauta
ERR1308239:1140730.600851	75	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Pseudorthocladius;Pseudorthocladius filiformis
