name	LWR	fract	aLWR	afract	taxopath
Query109	0.9224	0.9703	0.9224	0.9703	Bacteria;Proteobacteria;Alphaproteobacteria
Query70	0.5256	0.5665	0.9262	0.9982	Eukaryota
Query37	0.3847	0.7434	0.3847	0.7434	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus_atmophyticus
Query144	0.4205	0.4296	0.428	0.4373	Eukaryota;Glaucocystophyceae;Glaucocystophyceae
Query126	0.8483	0.8635	0.8503	0.8655	Eukaryota;Glaucocystophyceae;Glaucocystophyceae
Query135	0.6317	0.6318	0.9791	0.9794	Eukaryota
Query103	0.4506	0.4506	0.4506	0.4506	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
Query3	0.6993	0.7292	0.9551	0.9959	Eukaryota
Query166	0.3553	0.4959	0.3553	0.4959	Eukaryota;Rhodophyta
Query52	0.8475	0.9878	0.8475	0.9878	Eukaryota
Query82	0.9633	0.9638	0.9842	0.9847	Eukaryota
Query121	0.4782	0.5998	0.7812	0.9798	Eukaryota
Query134	0.7121	0.8745	0.8009	0.9836	Eukaryota
Query172	0.8349	0.8369	0.9876	0.9899	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query200	0.7899	0.9028	0.7899	0.9028	Eukaryota;Oomycota;Oomycota
Query216	0.2868	0.5442	0.2868	0.5442	Eukaryota;Rhodophyta
Query16	0.6482	0.6897	0.9318	0.9914	Eukaryota
Query130	0.8175	0.9286	0.8654	0.983	Eukaryota
Query183	0.8622	0.864	0.8622	0.864	Eukaryota;Glaucocystophyceae;Glaucocystophyceae
Query214	0.7864	0.7864	0.9737	0.9737	Eukaryota
Query199	0.4945	0.5	0.9891	1	Eukaryota
Query208	0.5	0.5	0.5	0.5	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida;Saccosporidae
Query151	0.5098	0.5098	0.9996	0.9996	Eukaryota
Query156	0.5	0.5	0.5	0.5	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida;Saccosporidae
Query167	0.5029	0.6948	0.7008	0.9681	Eukaryota
Query213	0.9342	0.978	0.9362	0.9801	Eukaryota
Query117	0.6744	0.7031	0.9492	0.9896	Eukaryota
Query59	0.7897	0.8236	0.9361	0.9763	Eukaryota
Query71	0.8096	0.8151	0.9933	1	Eukaryota
Query87	0.9556	0.9556	0.998	0.998	Eukaryota
Query193	0.7549	0.8472	0.8679	0.974	Eukaryota
Query154	0.4057	0.4161	0.6004	0.6159	Eukaryota;Bacillariophyta;Mediophyceae
Query42	0.9013	0.9122	0.9674	0.979	Eukaryota;Bacillariophyta
Query146	0.9719	0.9788	0.9719	0.9788	Eukaryota;Bacillariophyta
Query173	0.6129	0.6279	0.963	0.9866	Eukaryota;Oomycota;Oomycota
Query32	0.1765	0.9402	0.1765	0.9402	Eukaryota;Discosea;Flabellinia;Vannellidae;Vannellidae
Query181	0.9599	0.961	0.9868	0.9879	Eukaryota
Query188	0.1759	0.3474	0.4937	0.9749	Eukaryota
Query64	0.8081	0.9708	0.8081	0.9708	Eukaryota
Query88	0.5177	0.6344	0.6692	0.82	Eukaryota;Arthropoda;Arachnida
Query180	0.8053	0.8176	0.8621	0.8752	Eukaryota;Annelida;Clitellata
Query139	0.9621	0.9743	0.9739	0.9863	Eukaryota
Query33	0.6398	0.656	0.9408	0.9646	Eukaryota
Query106	0.4553	0.5131	0.8772	0.9884	Eukaryota
Query141	0.5766	0.6071	0.6763	0.7121	Eukaryota;Arthropoda;Malacostraca
Query142	0.4416	0.4824	0.9021	0.9854	Eukaryota
Query203	0.7974	0.9116	0.8538	0.9761	Eukaryota
Query40	0.4637	0.5717	0.8005	0.9869	Eukaryota
Query73	0.5048	0.5113	0.5048	0.5113	Eukaryota;Arthropoda;Insecta;Trichoptera
Query114	0.7531	0.7687	0.9614	0.9813	Eukaryota
Query221	0.4813	0.5739	0.827	0.9861	Eukaryota
Query24	0.8602	0.8813	0.8602	0.8813	Eukaryota;Arthropoda;Insecta;Diptera
Query56	0.3391	0.5165	0.6158	0.9378	Eukaryota;Arthropoda
Query60	0.3741	0.4116	0.3741	0.4116	Eukaryota;Arthropoda;Insecta;Plecoptera
Query133	0.8854	0.922	0.9446	0.9837	Eukaryota
Query105	0.4663	0.5305	0.8597	0.9782	Eukaryota
Query80	0.6151	0.6278	0.9694	0.9895	Eukaryota;Arthropoda;Insecta
Query9	0.917	0.9348	0.917	0.9348	Eukaryota;Arthropoda;Insecta;Lepidoptera
Query110	0.3425	0.3794	0.8832	0.9784	Eukaryota
Query65	0.7063	0.7105	0.7063	0.7105	Eukaryota;Arthropoda;Insecta;Plecoptera
Query38	0.381	0.4074	0.6468	0.6917	Eukaryota;Arthropoda;Insecta
Query1	0.432	0.4702	0.432	0.4702	Eukaryota;Arthropoda;Insecta;Diptera
Query96	0.7198	0.7941	0.8941	0.9863	Eukaryota
Query102	0.6916	0.7017	0.9787	0.9929	Eukaryota;Arthropoda
Query90	0.4941	0.4979	0.4941	0.4979	Eukaryota;Arthropoda;Insecta;Lepidoptera
Query89	0.5606	0.6061	0.9045	0.9779	Eukaryota;Arthropoda
Query15	0.469	0.5803	0.7961	0.985	Eukaryota
Query101	0.4062	0.4139	0.4062	0.4139	Eukaryota;Arthropoda;Insecta;Ephemeroptera
Query29	0.5035	0.6771	0.6022	0.81	Eukaryota;Arthropoda;Insecta
Query53	0.5591	0.5648	0.5591	0.5648	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
Query125	0.7492	0.7694	0.9553	0.9811	Eukaryota;Arthropoda
Query78	0.2453	0.2751	0.8797	0.9866	Eukaryota
Query95	0.6157	0.6567	0.9264	0.9882	Eukaryota;Arthropoda
Query44	0.4887	0.5593	0.8463	0.9684	Eukaryota
Query195	0.4354	0.5127	0.5878	0.6922	Eukaryota;Arthropoda
Query35	0.7503	0.8028	0.7503	0.8028	Eukaryota;Arthropoda;Insecta;Diptera
Query197	0.6836	0.7294	0.8095	0.8637	Eukaryota;Arthropoda;Insecta
Query7	0.6187	0.6386	0.9601	0.991	Eukaryota;Arthropoda
Query148	0.8964	0.9083	0.9744	0.9874	Eukaryota;Arthropoda
Query48	0.5146	0.6494	0.782	0.9869	Eukaryota
Query46	0.4686	0.5119	0.5264	0.575	Eukaryota;Arthropoda
Query93	0.8818	0.9369	0.9317	0.9899	Eukaryota;Arthropoda
Query169	0.7658	0.83	0.9051	0.9809	Eukaryota
Query30	0.4242	0.4798	0.4242	0.4798	Eukaryota;Arthropoda;Insecta;Diptera
Query68	0.9181	0.9768	0.9181	0.9768	Eukaryota;Arthropoda;Insecta;Diptera
Query20	0.5497	0.5583	0.9299	0.9445	Eukaryota;Arthropoda;Branchiopoda
Query2	0.3532	0.3698	0.5179	0.5422	Eukaryota;Arthropoda;Branchiopoda
Query94	0.4896	0.4965	0.9793	0.9931	Eukaryota;Arthropoda
Query119	0.4707	0.4873	0.9279	0.9607	Eukaryota;Arthropoda;Insecta
Query223	0.4583	0.459	0.5428	0.5436	Eukaryota;Arthropoda;Branchiopoda
Query132	0.6016	0.6419	0.6016	0.6419	Eukaryota;Arthropoda;Insecta;Lepidoptera
Query49	0.9143	0.9479	0.9507	0.9856	Eukaryota
Query92	0.671	0.7634	0.8661	0.9854	Eukaryota
Query112	0.5994	0.62	0.9442	0.9766	Eukaryota;Arthropoda
Query43	0.3929	0.4473	0.568	0.6468	Eukaryota;Arthropoda;Insecta
Query84	0.9916	0.9949	0.9917	0.9949	Eukaryota;Arthropoda;Insecta
Query45	0.5495	0.5599	0.9653	0.9835	Eukaryota;Arthropoda
Query215	0.5414	0.5442	0.9797	0.9847	Eukaryota;Arthropoda
Query163	0.6413	0.6421	0.6413	0.6421	Eukaryota;Mollusca;Gastropoda;Lymnaeidae;Lymnaeidae
Query36	0.9674	0.9674	0.9674	0.9674	Eukaryota
Query79	0.5242	0.5247	0.9991	1	Eukaryota
Query75	0.8598	0.8691	0.9871	0.9978	Eukaryota
Query165	0.1065	0.544	0.1605	0.8199	Eukaryota
Query171	0.9798	0.9989	0.9798	0.9989	Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae
Query140	0.6023	0.6054	0.9948	1	Eukaryota;Oomycota;Oomycota
Query34	0.9982	0.9984	0.9993	0.9996	Eukaryota;Oomycota;Oomycota
Query111	0.6783	0.7049	0.6783	0.7049	Eukaryota;Glaucocystophyceae;Glaucocystophyceae
Query218	0.7091	0.8086	0.7842	0.8943	Eukaryota;Rhodophyta
Query69	0.538	0.7275	0.538	0.7275	Eukaryota;Rhodophyta
Query205	0.9746	0.9763	0.9746	0.9763	Eukaryota;Rhodophyta
Query185	0.4092	0.621	0.4092	0.621	Eukaryota;Rhodophyta
Query76	0.419	0.8431	0.4539	0.9133	Eukaryota
Query155	0.8171	0.8342	0.9599	0.98	Eukaryota
Query127	0.8429	0.8698	0.9616	0.9923	Eukaryota;Chlorophyta
