name	LWR	fract	aLWR	afract	taxopath
Query226	0.9606	0.9855	0.9606	0.9855	Eukaryota
Query226	0.01418	0.01455	0.01418	0.01455	DISTANT
Query130	7.545e-05	0.0001162	0.6371	0.9809	Eukaryota
Query130	0.5271	0.8115	0.5271	0.8115	Eukaryota;Rhodophyta
Query130	0	0	0.11	0.1693	Eukaryota;Streptophyta
Query130	0	0	0.11	0.1693	Eukaryota;Streptophyta;Chlorokybophyceae
Query130	0	0	0.11	0.1693	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales
Query130	0	0	0.11	0.1693	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae
Query130	0	0	0.11	0.1693	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus
Query130	0.11	0.1693	0.11	0.1693	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus_atmophyticus
Query130	0.0124	0.01909	0.0124	0.01909	DISTANT
Query213	0.6905	0.6914	0.983	0.9843	Eukaryota
Query213	0	0	0.1373	0.1375	Eukaryota;Synurophyceae
Query213	0	0	0.1373	0.1375	Eukaryota;Synurophyceae;Synurophyceae
Query213	0	0	0.1373	0.1375	Eukaryota;Synurophyceae;Synurophyceae;Synurales
Query213	0.1373	0.1375	0.1373	0.1375	Eukaryota;Synurophyceae;Synurophyceae;Synurales;Mallomonadaceae
Query213	0	0	0.1188	0.119	Eukaryota;Chrysophyceae
Query213	0	0	0.1188	0.119	Eukaryota;Chrysophyceae;Chrysophyceae
Query213	0	0	0.1188	0.119	Eukaryota;Chrysophyceae;Chrysophyceae;Hibberdiales
Query213	0	0	0.1188	0.119	Eukaryota;Chrysophyceae;Chrysophyceae;Hibberdiales;Hibberdiaceae
Query213	0	0	0.1188	0.119	Eukaryota;Chrysophyceae;Chrysophyceae;Hibberdiales;Hibberdiaceae;Hibberdia
