LWR	fract	aLWR	afract	taxopath
0.02693	1.86e-05	124.3	0.08588	Bacteria
0.0009687	6.691e-07	5	0.003454	Bacteria;Verrucomicrobia
0	0	0.9999	0.0006907	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales
0	0	0.9999	0.0006907	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae
0	0	0.9999	0.0006907	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae;Coraliomargarita
0.9999	0.0006907	0.9999	0.0006907	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae;Coraliomargarita;Coraliomargarita_akajimensis_DSM_45221
0	0	0.9998	0.0006906	Bacteria;Verrucomicrobia;Spartobacteria
0	0	0.9998	0.0006906	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales
0	0	0.9998	0.0006906	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
0	0	0.9998	0.0006906	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter
0.9998	0.0006906	0.9998	0.0006906	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;Chthoniobacter_flavus_Ellin428
0	0	0.9995	0.0006904	Bacteria;Verrucomicrobia;Opitutae
0	0	0.9995	0.0006904	Bacteria;Verrucomicrobia;Opitutae;Opitutales
0.9995	0.0006904	0.9995	0.0006904	Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae
0	0	0.9999	0.0006907	Bacteria;Verrucomicrobia;Methylacidiphilae
0	0	0.9999	0.0006907	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales
0	0	0.9999	0.0006907	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae
0.9999	0.0006907	0.9999	0.0006907	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae;Methylacidiphilum
0	0	0.9999	0.0006906	Bacteria;Verrucomicrobia;Verrucomicrobiae
0	0	0.9999	0.0006906	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales
0	0	0.9999	0.0006906	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia_subdivision_3_Pedosphaera
0.9999	0.0006906	0.9999	0.0006906	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia_subdivision_3_Pedosphaera;Pedosphaera_parvula_Ellin514
0.00059	4.075e-07	7	0.004835	Bacteria;Chloroflexi
0	0	0.9997	0.0006906	Bacteria;Chloroflexi;p_Chloroflexi
0	0	0.9997	0.0006906	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi
0	0	0.9997	0.0006906	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi
