OTU	amplicon	ERR1308288	total
8	ERR1308288:1000120.619540	1	1
11	ERR1308288:1001240.663589	1	1
12	ERR1308288:1001750.612386	1	1
13	ERR1308288:1001920.689823	1	1
14	ERR1308288:1001980.632320	1	1
16	ERR1308288:1002710.636908	1	1
17	ERR1308288:1003070.603815	1	1
18	ERR1308288:1003250.600252	1	1
19	ERR1308288:1003300.623349	1	1
20	ERR1308288:1003500.622040	1	1
25	ERR1308288:100480.634681	1	1
27	ERR1308288:1005360.695658	1	1
30	ERR1308288:100600.672973	1	1
31	ERR1308288:1006070.638881	1	1
33	ERR1308288:1006160.604508	1	1
36	ERR1308288:1006440.623948	1	1
37	ERR1308288:1006650.615397	1	1
38	ERR1308288:1006730.631651	1	1
40	ERR1308288:1007590.602710	1	1
42	ERR1308288:1007670.609049	1	1
43	ERR1308288:100790.634814	1	1
44	ERR1308288:1008010.703410	1	1
46	ERR1308288:1008390.610210	1	1
48	ERR1308288:1009330.616072	1	1
49	ERR1308288:1009460.604447	1	1
53	ERR1308288:1011590.685432	1	1
56	ERR1308288:101200.660442	1	1
57	ERR1308288:1012220.650114	1	1
58	ERR1308288:1012430.733761	2	2
61	ERR1308288:1012910.620441	1	1
62	ERR1308288:101300.691450	1	1
65	ERR1308288:1017560.623729	1	1
66	ERR1308288:1018520.630627	1	1
67	ERR1308288:1019450.676969	2	2
69	ERR1308288:1019620.714069	2	2
70	ERR1308288:1020680.686730	1	1
71	ERR1308288:1020800.605484	1	1
72	ERR1308288:1020930.652288	1	1
73	ERR1308288:1021430.683682	1	1
75	ERR1308288:1021910.607945	1	1
76	ERR1308288:1022190.621110	2	2
77	ERR1308288:1022680.619523	1	1
79	ERR1308288:1023510.620437	1	1
80	ERR1308288:1023770.608126	1	1
81	ERR1308288:1023930.684667	1	1
82	ERR1308288:1024300.614356	2	2
84	ERR1308288:1024920.623060	2	2
85	ERR1308288:1025210.612547	1	1
86	ERR1308288:102580.607861	1	1
87	ERR1308288:1026150.617208	1	1
88	ERR1308288:1026500.612422	1	1
90	ERR1308288:1026960.604240	1	1
92	ERR1308288:1028040.616908	1	1
94	ERR1308288:1029000.754504	2	2
95	ERR1308288:1029040.610760	1	1
96	ERR1308288:1029050.603942	1	1
97	ERR1308288:1029410.605946	1	1
98	ERR1308288:102960.649073	1	1
99	ERR1308288:1030600.630088	2	2
100	ERR1308288:1031500.632839	1	1
101	ERR1308288:1031720.600781	1	1
102	ERR1308288:1031780.624399	1	1
103	ERR1308288:1033060.708665	1	1
104	ERR1308288:1033380.655690	1	1
105	ERR1308288:1033860.640932	1	1
106	ERR1308288:1034280.607455	1	1
107	ERR1308288:1034580.641789	1	1
110	ERR1308288:103620.615340	1	1
111	ERR1308288:1036330.702591	1	1
112	ERR1308288:1037280.613459	1	1
113	ERR1308288:1037380.601916	1	1
114	ERR1308288:1037470.641296	1	1
115	ERR1308288:1037780.672625	2	2
116	ERR1308288:1038320.641170	1	1
118	ERR1308288:1038630.656488	1	1
