amplicon	linearized.dereplicate_ERR1308288.merged.fastq	total
ERR1308288:::101047:0:0:0:0.706549	2	2
ERR1308288:::102179:0:0:0:0.667256	2	2
ERR1308288:::110501:0:0:0:0.676126	2	2
ERR1308288:::118362:0:0:0:0.707562	2	2
ERR1308288:::131883:0:0:0:0.709602	2	2
ERR1308288:::134338:0:0:0:0.747211	2	2
ERR1308288:::150406:0:0:0:0.711830	2	2
ERR1308288:::152263:0:0:0:0.690055	2	2
ERR1308288:::161120:0:0:0:0.663631	2	2
ERR1308288:::163854:0:0:0:0.703939	2	2
ERR1308288:::164537:0:0:0:0.763286	2	2
ERR1308288:::164810:0:0:0:0.678719	2	2
ERR1308288:::165030:0:0:0:0.691860	2	2
ERR1308288:::165892:0:0:0:0.726668	2	2
ERR1308288:::167104:0:0:0:0.663662	2	2
ERR1308288:::173282:0:0:0:0.726470	2	2
ERR1308288:::182009:0:0:0:0.686303	2	2
ERR1308288:::187972:0:0:0:0.657126	2	2
ERR1308288:::18867:0:0:0:0.660720	2	2
ERR1308288:::19027:0:0:0:0.616788	2	2
ERR1308288:::195291:0:0:0:0.608456	2	2
ERR1308288:::197231:0:0:0:0.626509	2	2
ERR1308288:::200446:0:0:0:0.674629	2	2
ERR1308288:::209968:0:0:0:0.614434	2	2
ERR1308288:::212404:0:0:0:0.685746	2	2
ERR1308288:::239155:0:0:0:0.742403	2	2
ERR1308288:::24385:0:0:0:0.744330	2	2
ERR1308288:::24791:0:0:0:0.730461	2	2
ERR1308288:::251006:0:0:0:0.684846	2	2
ERR1308288:::251702:0:0:0:0.678752	2	2
ERR1308288:::26303:0:0:0:0.710806	2	2
ERR1308288:::265649:0:0:0:0.626789	2	2
ERR1308288:::266631:0:0:0:0.721625	2	2
ERR1308288:::269076:0:0:0:0.619397	2	2
ERR1308288:::269379:0:0:0:0.660463	2	2
ERR1308288:::283460:0:0:0:0.699386	2	2
ERR1308288:::285288:0:0:0:0.684812	2	2
ERR1308288:::29632:0:0:0:0.724926	2	2
ERR1308288:::297220:0:0:0:0.732056	2	2
ERR1308288:::31130:0:0:0:0.723991	2	2
ERR1308288:::32052:0:0:0:0.724618	2	2
ERR1308288:::328224:0:0:0:0.652349	2	2
ERR1308288:::33828:0:0:0:0.751317	2	2
ERR1308288:::360557:0:0:0:0.721459	2	2
ERR1308288:::361862:0:0:0:0.720331	2	2
ERR1308288:::388120:0:0:0:0.667369	2	2
ERR1308288:::426965:0:0:0:0.711179	2	2
ERR1308288:::436360:0:0:0:0.707431	2	2
ERR1308288:::45039:0:0:0:0.726741	2	2
ERR1308288:::456162:0:0:0:0.720214	2	2
ERR1308288:::48572:0:0:0:0.628096	2	2
ERR1308288:::4863:0:0:0:0.730269	2	2
ERR1308288:::499246:0:0:0:0.724169	2	2
ERR1308288:::50183:0:0:0:0.696584	2	2
ERR1308288:::50556:0:0:0:0.733438	2	2
ERR1308288:::52814:0:0:0:0.729544	2	2
ERR1308288:::53659:0:0:0:0.708693	2	2
