name	LWR	fract	aLWR	afract	taxopath
Query26602	0.8108	0.8109	0.9995	0.9996	Bacteria
Query22640	0.6289	0.6289	0.6289	0.6289	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24313	0.6547	0.6547	0.6547	0.6547	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26509	0.5939	0.5939	0.5939	0.5939	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23176	0.6018	0.6018	0.6018	0.6018	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24945	0.6043	0.6043	0.6043	0.6043	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query27001	0.5924	0.5924	0.5924	0.5924	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23848	0.5771	0.5771	0.5771	0.5771	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25141	0.5962	0.5962	0.5962	0.5962	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26715	0.6175	0.6175	0.6175	0.6175	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23631	0.8959	0.8959	0.9213	0.9213	Bacteria
Query27143	0.6421	0.6421	0.6421	0.6421	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24425	0.578	0.578	0.578	0.578	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26386	0.644	0.644	0.644	0.644	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23390	0.5976	0.5976	0.5976	0.5976	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25020	0.6512	0.6512	0.6512	0.6512	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26904	0.5992	0.5992	0.5992	0.5992	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23251	0.637	0.637	0.637	0.637	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25587	0.5887	0.5887	0.5887	0.5887	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query27106	0.6842	0.6842	0.6842	0.6842	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23828	0.5813	0.5813	0.5813	0.5813	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25276	0.6372	0.6372	0.6372	0.6372	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query27086	0.5834	0.5834	0.5834	0.5834	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23429	0.8317	0.8317	0.8317	0.8317	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26241	0.6611	0.6611	0.6611	0.6611	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23656	0.635	0.635	0.635	0.635	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26333	0.5903	0.5903	0.5903	0.5903	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23613	0.6153	0.6153	0.6153	0.6153	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25222	0.6558	0.6558	0.6558	0.6558	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query27343	0.6147	0.6147	0.6147	0.6147	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24140	0.6961	0.6961	0.6961	0.6961	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25892	0.5821	0.5821	0.5821	0.5821	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query27309	0.6655	0.6655	0.6655	0.6655	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24169	0.6419	0.6419	0.6419	0.6419	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26267	0.5728	0.5728	0.5728	0.5728	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query22698	0.5478	0.5478	0.5478	0.5478	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23971	0.6641	0.6641	0.6641	0.6641	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25576	0.702	0.702	0.702	0.702	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23029	0.6516	0.6516	0.6516	0.6516	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25250	0.5413	0.5413	0.5413	0.5413	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26969	0.6148	0.6148	0.6148	0.6148	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23701	0.6022	0.6022	0.6022	0.6022	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26035	0.6132	0.6132	0.6132	0.6132	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query22691	0.6163	0.6163	0.6163	0.6163	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24421	0.5802	0.5802	0.5802	0.5802	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25876	0.6301	0.6301	0.6301	0.6301	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query22668	0.633	0.633	0.633	0.633	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25198	0.5848	0.5848	0.5848	0.5848	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query26423	0.6566	0.6566	0.6566	0.6566	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24005	0.5987	0.5987	0.5987	0.5987	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25809	0.6168	0.6168	0.6168	0.6168	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23324	0.5766	0.5766	0.5766	0.5766	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25634	0.5862	0.5862	0.5862	0.5862	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query22750	0.5928	0.5928	0.5928	0.5928	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25092	0.6032	0.6032	0.6032	0.6032	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query27284	0.6287	0.6287	0.6287	0.6287	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23906	0.6046	0.6046	0.6046	0.6046	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25906	0.6417	0.6417	0.6417	0.6417	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query23492	0.6109	0.6109	0.6109	0.6109	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25032	0.5932	0.5932	0.5932	0.5932	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query27481	0.6055	0.6055	0.6055	0.6055	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query24302	0.5925	0.5925	0.5925	0.5925	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query25680	0.6331	0.6331	0.6331	0.6331	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query22664	0.3407	0.833	0.3407	0.833	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query26733	0.3365	0.7993	0.3365	0.7993	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query24099	0.35	0.8894	0.35	0.8894	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query23532	0.2804	0.7711	0.2804	0.7711	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query27421	0.3427	0.8055	0.3427	0.8055	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query23407	0.3448	0.8173	0.3448	0.8173	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query26151	0.3681	0.8716	0.3681	0.8716	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query27482	0.3057	0.7881	0.3057	0.7881	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query26036	0.3503	0.8356	0.3503	0.8356	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query23380	0.3126	0.8001	0.3126	0.8001	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query24989	0.3945	0.8328	0.3945	0.8328	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query26471	0.3973	0.8237	0.3973	0.8237	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query23696	0.303	1	0.303	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query25788	0.379	0.8127	0.379	0.8127	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query24256	0.2798	1	0.2798	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query22785	0.751	0.751	0.9457	0.9457	Bacteria;Proteobacteria;Gammaproteobacteria
Query23006	0.7232	0.7232	0.9599	0.9599	Bacteria;Proteobacteria;Gammaproteobacteria
Query25230	0.7648	0.7648	0.9518	0.9518	Bacteria;Proteobacteria;Gammaproteobacteria
Query23924	0.3331	0.7899	0.3331	0.7899	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query27317	0.7625	0.7625	0.9496	0.9496	Bacteria;Proteobacteria;Gammaproteobacteria
Query26155	0.4345	0.9895	0.4345	0.9895	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query26402	0.7689	0.7689	0.9547	0.9547	Bacteria;Proteobacteria;Gammaproteobacteria
Query23598	0.7389	0.7389	0.9818	0.9818	Bacteria;Proteobacteria;Gammaproteobacteria
