name	LWR	fract	aLWR	afract	taxopath
Query165	0.9975	0.9975	0.9975	0.9975	Bacteria
Query165	0.00249	0.00249	0.00249	0.00249	DISTANT
Query273	0.3543	0.3543	0.9675	0.9675	Bacteria
Query273	0	0	0.6131	0.6131	Bacteria;Proteobacteria
Query273	0	0	0.6131	0.6131	Bacteria;Proteobacteria;Gammaproteobacteria
Query273	0.6131	0.6131	0.6131	0.6131	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query273	0.03254	0.03254	0.03254	0.03254	DISTANT
Query144	0	0	0.4026	0.7976	Eukaryota
Query144	0	0	0.4026	0.7976	Eukaryota;Chordata
Query144	0	0	0.4026	0.7976	Eukaryota;Chordata;Thaliacea
Query144	0	0	0.4026	0.7976	Eukaryota;Chordata;Thaliacea;Pyrosomata
Query144	0	0	0.4026	0.7976	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae
Query144	0	0	0.4026	0.7976	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma
Query144	0.4026	0.7976	0.4026	0.7976	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query144	0.1022	0.2024	0.1022	0.2024	DISTANT
Query246	0	0	0.3511	1	Eukaryota
Query246	0	0	0.3511	1	Eukaryota;Chordata
Query246	0	0	0.3511	1	Eukaryota;Chordata;Thaliacea
Query246	0	0	0.3511	1	Eukaryota;Chordata;Thaliacea;Pyrosomata
Query246	0	0	0.3511	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae
Query246	0	0	0.3511	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma
Query246	0.3511	1	0.3511	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query156	0	0	0.9516	0.9516	Eukaryota
Query156	0	0	0.9516	0.9516	Eukaryota;Cnidaria
Query156	0.7333	0.7333	0.9516	0.9516	Eukaryota;Cnidaria;Myxozoa
Query156	0	0	0.2183	0.2183	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
Query156	0	0	0.2183	0.2183	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
Query156	0.2183	0.2183	0.2183	0.2183	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query156	0.04844	0.04844	0.04844	0.04844	DISTANT
Query89	0	0	0.9081	0.9081	Eukaryota
Query89	0	0	0.9081	0.9081	Eukaryota;Cnidaria
Query89	0.7962	0.7962	0.9081	0.9081	Eukaryota;Cnidaria;Myxozoa
Query89	0	0	0.1119	0.1119	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
Query89	0	0	0.1119	0.1119	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
Query89	0.1119	0.1119	0.1119	0.1119	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query89	0.0919	0.0919	0.0919	0.0919	DISTANT
Query358	0	0	0.9103	0.9109	Eukaryota
Query358	0	0	0.9103	0.9109	Eukaryota;Cnidaria
Query358	0.4552	0.4555	0.9103	0.9109	Eukaryota;Cnidaria;Myxozoa
Query358	0	0	0.4552	0.4555	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
Query358	0	0	0.4552	0.4555	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
Query358	0.4552	0.4555	0.4552	0.4555	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
