LWR	fract	aLWR	afract	taxopath
2331	0.1048	7745	0.3481	Bacteria
0	0	5412	0.2432	Bacteria;Proteobacteria
703.1	0.0316	5269	0.2368	Bacteria;Proteobacteria;Gammaproteobacteria
4367	0.1963	4367	0.1963	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
0	0	198.3	0.008912	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales
198.3	0.008912	198.3	0.008912	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae
0.04613	2.073e-06	0.04613	2.073e-06	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
0.203	9.122e-06	0.203	9.122e-06	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales
0.01916	8.614e-07	0.01916	8.614e-07	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales
84.36	0.003792	131.7	0.005918	Bacteria;Proteobacteria;Alphaproteobacteria
41.49	0.001865	41.49	0.001865	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales
0	0	4.228	0.0001901	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales
4.228	0.0001901	4.228	0.0001901	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
0	0	1.587	7.132e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales
0	0	1.587	7.132e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Caedimonadaceae
0	0	1.587	7.132e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Caedimonadaceae;Candidatus_Paracaedimonas
1.587	7.132e-05	1.587	7.132e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Caedimonadaceae;Candidatus_Paracaedimonas;Candidatus_Paracaedimonas_acanthamoebae
10.9	0.0004898	11.42	0.0005132	Bacteria;Proteobacteria;Betaproteobacteria
0	0	0.5216	2.345e-05	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria
0	0	0.5216	2.345e-05	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria
0.5216	2.345e-05	0.5216	2.345e-05	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria;c_o_f_Betaproteobacteria
0	0	2.232	0.0001003	Bacteria;Firmicutes
0	0	2.232	0.0001003	Bacteria;Firmicutes;Bacilli
0	0	2.232	0.0001003	Bacteria;Firmicutes;Bacilli;Lactobacillales
0	0	2.232	0.0001003	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae
0	0	2.232	0.0001003	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus
2.232	0.0001003	2.232	0.0001003	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus_composti_DSM_18527_=_JCM_14202
1157	0.05199	1157	0.05199	DISTANT
5977	0.2687	1.332e+04	0.5988	Eukaryota
0.9548	4.292e-05	496.4	0.02231	Eukaryota;Chordata
0	0	495	0.02225	Eukaryota;Chordata;Thaliacea
0	0	495	0.02225	Eukaryota;Chordata;Thaliacea;Pyrosomata
0	0	495	0.02225	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae
0	0	495	0.02225	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma
495	0.02225	495	0.02225	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
0	0	0.3978	1.788e-05	Eukaryota;Chordata;Appendicularia
0	0	0.3978	1.788e-05	Eukaryota;Chordata;Appendicularia;Copelata
0.3978	1.788e-05	0.3978	1.788e-05	Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae
0	0	9.696e-06	4.358e-10	Eukaryota;Chordata;Amphibia
9.696e-06	4.358e-10	9.696e-06	4.358e-10	Eukaryota;Chordata;Amphibia;Gymnophiona
0	0	2537	0.114	Eukaryota;Cnidaria
1011	0.04545	2537	0.114	Eukaryota;Cnidaria;Myxozoa
0	0	452.3	0.02033	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
0	0	452.3	0.02033	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
452.3	0.02033	452.3	0.02033	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
0	0	1074	0.04825	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida
1074	0.04825	1074	0.04825	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida;Saccosporidae
0	0	0.3018	1.357e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida
0	0	0.3018	1.357e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Enteromyxidae
0	0	0.3018	1.357e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Enteromyxidae;Enteromyxum
0.3018	1.357e-05	0.3018	1.357e-05	Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Enteromyxidae;Enteromyxum;Enteromyxum_leei
0	0	133.7	0.006009	Eukaryota;Euglenozoa
117.4	0.005276	129.7	0.00583	Eukaryota;Euglenozoa;Euglenida
0	0	0.3507	1.576e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
0	0	0.3507	1.576e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
0	0	0.3507	1.576e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
0.3507	1.576e-05	0.3507	1.576e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
11.98	0.0005386	11.98	0.0005386	Eukaryota;Euglenozoa;Euglenida;Euglenales
0	0	3.488	0.0001568	Eukaryota;Euglenozoa;Diplonemea
3.488	0.0001568	3.488	0.0001568	Eukaryota;Euglenozoa;Diplonemea;Diplonemea
0.5007	2.25e-05	0.5007	2.25e-05	Eukaryota;Euglenozoa;Kinetoplastea
6.425	0.0002888	7.512	0.0003376	Eukaryota;Rhodophyta
0	0	1.087	4.886e-05	Eukaryota;Rhodophyta;Bangiophyceae
0	0	1.087	4.886e-05	Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales
1.087	4.886e-05	1.087	4.886e-05	Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae
0	0	2.927	0.0001316	Eukaryota;Glaucocystophyceae
2.593	0.0001165	2.927	0.0001316	Eukaryota;Glaucocystophyceae;Glaucocystophyceae
0	0	0.334	1.501e-05	Eukaryota;Glaucocystophyceae;Glaucocystophyceae;Cyanoptyche
0	0	0.334	1.501e-05	Eukaryota;Glaucocystophyceae;Glaucocystophyceae;Cyanoptyche;Cyanoptyche
0	0	0.334	1.501e-05	Eukaryota;Glaucocystophyceae;Glaucocystophyceae;Cyanoptyche;Cyanoptyche;Cyanoptyche
0.334	1.501e-05	0.334	1.501e-05	Eukaryota;Glaucocystophyceae;Glaucocystophyceae;Cyanoptyche;Cyanoptyche;Cyanoptyche;Cyanoptyche_gloeocystis
0	0	243.6	0.01095	Eukaryota;Raphidophyceae
0	0	243.6	0.01095	Eukaryota;Raphidophyceae;Raphidophyceae
243.6	0.01095	243.6	0.01095	Eukaryota;Raphidophyceae;Raphidophyceae;Chattonellales
0	0	293.1	0.01318	Eukaryota;Haptista
74.81	0.003362	293.1	0.01318	Eukaryota;Haptista;Haptophyta
0	0	218.3	0.009813	Eukaryota;Haptista;Haptophyta;Prymnesiales
0	0	218.3	0.009813	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae
218.3	0.009813	218.3	0.009813	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;Chrysochromulina
0.0001108	4.982e-09	0.0001108	4.982e-09	Eukaryota;Haptista;Haptophyta;Isochrysidales
0	0	85.59	0.003847	Eukaryota;Chytridiomycota
0	0	85.59	0.003847	Eukaryota;Chytridiomycota;Chytridiomycetes
0	0	85.59	0.003847	Eukaryota;Chytridiomycota;Chytridiomycetes;Synchytriales
0	0	85.59	0.003847	Eukaryota;Chytridiomycota;Chytridiomycetes;Synchytriales;Synchytriaceae
85.59	0.003847	85.59	0.003847	Eukaryota;Chytridiomycota;Chytridiomycetes;Synchytriales;Synchytriaceae;Synchytrium
0	0	981.7	0.04413	Eukaryota;Bigyra
0	0	981.7	0.04413	Eukaryota;Bigyra;Bigyra
981.3	0.04411	981.3	0.04411	Eukaryota;Bigyra;Bigyra;Bicosoecida
0	0	0.4314	1.939e-05	Eukaryota;Bigyra;Bigyra;Thraustochytrida
0.4314	1.939e-05	0.4314	1.939e-05	Eukaryota;Bigyra;Bigyra;Thraustochytrida;Thraustochytriaceae
56.42	0.002536	64.74	0.00291	Eukaryota;Chlorophyta
0	0	0.5004	2.249e-05	Eukaryota;Chlorophyta;Tetraedoron
0	0	0.5004	2.249e-05	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron
0	0	0.5004	2.249e-05	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron
0	0	0.5004	2.249e-05	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron
0.5004	2.249e-05	0.5004	2.249e-05	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
1.727	7.764e-05	2.227	0.0001001	Eukaryota;Chlorophyta;Trebouxiophyceae
0	0	0.5	2.247e-05	Eukaryota;Chlorophyta;Trebouxiophyceae;Jaagichlorella
0	0	0.5	2.247e-05	Eukaryota;Chlorophyta;Trebouxiophyceae;Jaagichlorella;Jaagichlorella
0.5	2.247e-05	0.5	2.247e-05	Eukaryota;Chlorophyta;Trebouxiophyceae;Jaagichlorella;Jaagichlorella;Jaagichlorella
0	0	4.525	0.0002034	Eukaryota;Chlorophyta;Pycnococcaceae
0	0	4.525	0.0002034	Eukaryota;Chlorophyta;Pycnococcaceae;Pycnococcaceae
0	0	4.525	0.0002034	Eukaryota;Chlorophyta;Pycnococcaceae;Pycnococcaceae;Pycnococcaceae
0	0	4.525	0.0002034	Eukaryota;Chlorophyta;Pycnococcaceae;Pycnococcaceae;Pycnococcaceae;Pycnococcus
4.525	0.0002034	4.525	0.0002034	Eukaryota;Chlorophyta;Pycnococcaceae;Pycnococcaceae;Pycnococcaceae;Pycnococcus;Pycnococcus_provasolii
0	0	0.7062	3.174e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae
0	0	0.7062	3.174e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales
0	0	0.7062	3.174e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae
0.7062	3.174e-05	0.7062	3.174e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis
0	0	0.3037	1.365e-05	Eukaryota;Chlorophyta;Pedinophyceae
0	0	0.3037	1.365e-05	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales
0	0	0.3037	1.365e-05	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae
0	0	0.3037	1.365e-05	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas
0.3037	1.365e-05	0.3037	1.365e-05	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas;Pedinomonas_minor
0	0	0.01027	4.615e-07	Eukaryota;Chlorophyta;Chlorophyceae
0	0	0.01027	4.615e-07	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales
0	0	0.01027	4.615e-07	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae
0	0	0.01027	4.615e-07	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae;Protosiphon
0.01027	4.615e-07	0.01027	4.615e-07	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae;Protosiphon;Protosiphon_botryoides
0	0	0.0443	1.991e-06	Eukaryota;Chlorophyta;Ulvophyceae
0.0443	1.991e-06	0.0443	1.991e-06	Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales
0	0	565.5	0.02542	Eukaryota;Ciliophora
0	0	560.5	0.02519	Eukaryota;Ciliophora;Karyorelictea
0	0	560.5	0.02519	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida
0	0	560.5	0.02519	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida;Geleiidae
0	0	560.5	0.02519	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida;Geleiidae;Corlissina
560.5	0.02519	560.5	0.02519	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida;Geleiidae;Corlissina;Corlissina_maricaensis
4.52	0.0002032	4.554	0.0002047	Eukaryota;Ciliophora;Spirotrichea
1.1e-05	4.945e-10	1.1e-05	4.945e-10	Eukaryota;Ciliophora;Spirotrichea;Urostylida
1.499e-05	6.739e-10	1.499e-05	6.739e-10	Eukaryota;Ciliophora;Spirotrichea;Tintinnida
2.594e-05	1.166e-09	2.594e-05	1.166e-09	Eukaryota;Ciliophora;Spirotrichea;Euplotida
0.03372	1.516e-06	0.03372	1.516e-06	Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida
0	0	0.2804	1.26e-05	Eukaryota;Ciliophora;Heterotrichea
0.2804	1.26e-05	0.2804	1.26e-05	Eukaryota;Ciliophora;Heterotrichea;Heterotrichida
0.1079	4.852e-06	0.1079	4.852e-06	Eukaryota;Ciliophora;Oligohymenophorea
1.395e-06	6.272e-11	1.395e-06	6.272e-11	Eukaryota;Ciliophora;Oligohymenophorea;Sessilida
1.506	6.768e-05	1750	0.07867	Eukaryota;Nematoda
1683	0.07565	1745	0.07841	Eukaryota;Nematoda;Chromadorea
5.498	0.0002471	5.498	0.0002471	Eukaryota;Nematoda;Chromadorea;Plectida
0	0	45.53	0.002047	Eukaryota;Nematoda;Chromadorea;Desmoscolecida
0	0	45.53	0.002047	Eukaryota;Nematoda;Chromadorea;Desmoscolecida;Desmoscolecidae
0	0	45.53	0.002047	Eukaryota;Nematoda;Chromadorea;Desmoscolecida;Desmoscolecidae;Desmoscolex
45.53	0.002047	45.53	0.002047	Eukaryota;Nematoda;Chromadorea;Desmoscolecida;Desmoscolecidae;Desmoscolex;Desmoscolex_koloensis
10.49	0.0004714	10.49	0.0004714	Eukaryota;Nematoda;Chromadorea;Araeolaimida
3.475	0.0001562	4.149	0.0001865	Eukaryota;Nematoda;Enoplea
4.402e-05	1.979e-09	4.402e-05	1.979e-09	Eukaryota;Nematoda;Enoplea;Dioctophymatida
0.6743	3.031e-05	0.6743	3.031e-05	Eukaryota;Nematoda;Enoplea;Trichinellida
2.787e-05	1.252e-09	2.787e-05	1.252e-09	Eukaryota;Nematoda;Enoplea;Enoplida
1.123e-06	5.046e-11	1.123e-06	5.046e-11	Eukaryota;Nematoda;Enoplea;Triplonchida
0	0	10.69	0.0004803	Eukaryota;Pinguiophyceae
0	0	10.69	0.0004803	Eukaryota;Pinguiophyceae;Pinguiophyceae
0	0	10.69	0.0004803	Eukaryota;Pinguiophyceae;Pinguiophyceae;Pinguiochrysidales
10.69	0.0004803	10.69	0.0004803	Eukaryota;Pinguiophyceae;Pinguiophyceae;Pinguiochrysidales;Pinguiochrysidaceae
0	0	2.554	0.0001148	Eukaryota;Filasterea
2.554	0.0001148	2.554	0.0001148	Eukaryota;Filasterea;Filasterea
0	0	2.558	0.000115	Eukaryota;Ichthyosporea
0	0	2.558	0.000115	Eukaryota;Ichthyosporea;Ichthyosporea
0	0	2.558	0.000115	Eukaryota;Ichthyosporea;Ichthyosporea;Dermocystida
0	0	2.558	0.000115	Eukaryota;Ichthyosporea;Ichthyosporea;Dermocystida;Sphaerothecum
0	0	2.558	0.000115	Eukaryota;Ichthyosporea;Ichthyosporea;Dermocystida;Sphaerothecum;Sphaerothecum
2.558	0.000115	2.558	0.000115	Eukaryota;Ichthyosporea;Ichthyosporea;Dermocystida;Sphaerothecum;Sphaerothecum;Sphaerothecum_destruens
0	0	41.78	0.001878	Eukaryota;Bolidophyceae
0	0	41.78	0.001878	Eukaryota;Bolidophyceae;Bolidophyceae
0	0	41.78	0.001878	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales
0	0	41.78	0.001878	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales;Triparmaceae
0	0	41.78	0.001878	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales;Triparmaceae;Triparma
41.78	0.001878	41.78	0.001878	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma_laevis
43.04	0.001935	55.46	0.002493	Eukaryota;Bacillariophyta
1.1	4.945e-05	6.873	0.0003089	Eukaryota;Bacillariophyta;Mediophyceae
0	0	0.04616	2.075e-06	Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales
0.04616	2.075e-06	0.04616	2.075e-06	Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae
0	0	5.439	0.0002445	Eukaryota;Bacillariophyta;Mediophyceae;Toxariales
0	0	5.439	0.0002445	Eukaryota;Bacillariophyta;Mediophyceae;Toxariales;Toxariaceae
0	0	5.439	0.0002445	Eukaryota;Bacillariophyta;Mediophyceae;Toxariales;Toxariaceae;Toxarium
5.439	0.0002445	5.439	0.0002445	Eukaryota;Bacillariophyta;Mediophyceae;Toxariales;Toxariaceae;Toxarium;Toxarium_undulatum
0	0	0.2788	1.253e-05	Eukaryota;Bacillariophyta;Mediophyceae;Anaulales
0	0	0.2788	1.253e-05	Eukaryota;Bacillariophyta;Mediophyceae;Anaulales;Anaulaceae
0	0	0.2788	1.253e-05	Eukaryota;Bacillariophyta;Mediophyceae;Anaulales;Anaulaceae;Anaulus
0.2788	1.253e-05	0.2788	1.253e-05	Eukaryota;Bacillariophyta;Mediophyceae;Anaulales;Anaulaceae;Anaulus;Anaulus_australis
0	0	0.008737	3.927e-07	Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales
0	0	0.008737	3.927e-07	Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae
0	0	0.008737	3.927e-07	Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia
0.008737	3.927e-07	0.008737	3.927e-07	Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia;Eucampia_zodiacus
0	0	0.08832	3.97e-06	Eukaryota;Bacillariophyta;Coscinodiscophyceae
0	0	0.08741	3.929e-06	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales
0.08741	3.929e-06	0.08741	3.929e-06	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae
0.0009054	4.069e-08	0.0009054	4.069e-08	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
0	0	5.072	0.000228	Eukaryota;Bacillariophyta;Fragilariophyceae
0	0	4.866	0.0002187	Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales
0	0	4.866	0.0002187	Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae
0	0	4.866	0.0002187	Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema
4.866	0.0002187	4.866	0.0002187	Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema_nitzschioides
0	0	0.1682	7.56e-06	Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales
0	0	0.1682	7.56e-06	Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae
0	0	0.1682	7.56e-06	Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Ulnaria
0.1682	7.56e-06	0.1682	7.56e-06	Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Ulnaria;Ulnaria_acus
0	0	0.03726	1.675e-06	Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales
0.03726	1.675e-06	0.03726	1.675e-06	Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae
0	0	0.3824	1.719e-05	Eukaryota;Bacillariophyta;Bacillariophyceae
0	0	0.3824	1.719e-05	Eukaryota;Bacillariophyta;Bacillariophyceae;Eunotiales
0	0	0.3824	1.719e-05	Eukaryota;Bacillariophyta;Bacillariophyceae;Eunotiales;Eunotiaceae
0.3824	1.719e-05	0.3824	1.719e-05	Eukaryota;Bacillariophyta;Bacillariophyceae;Eunotiales;Eunotiaceae;Eunotia
0	0	6.685	0.0003005	Eukaryota;Dicyemida
0	0	6.685	0.0003005	Eukaryota;Dicyemida;Dicyemidae
0	0	6.685	0.0003005	Eukaryota;Dicyemida;Dicyemidae;Dicyemidae
6.685	0.0003005	6.685	0.0003005	Eukaryota;Dicyemida;Dicyemidae;Dicyemidae;Dicyemidae
0	0	0.3991	1.794e-05	Eukaryota;Porifera
0	0	0.3991	1.794e-05	Eukaryota;Porifera;Calcarea
0	0	0.3991	1.794e-05	Eukaryota;Porifera;Calcarea;Clathrinida
0	0	0.3991	1.794e-05	Eukaryota;Porifera;Calcarea;Clathrinida;Clathrinidae
0	0	0.3991	1.794e-05	Eukaryota;Porifera;Calcarea;Clathrinida;Clathrinidae;Clathrina
0.3991	1.794e-05	0.3991	1.794e-05	Eukaryota;Porifera;Calcarea;Clathrinida;Clathrinidae;Clathrina;Clathrina_clathrus
0	0	4.114	0.0001849	Eukaryota;Annelida
0	0	0.2131	9.577e-06	Eukaryota;Annelida;Polychaeta
0	0	0.2131	9.577e-06	Eukaryota;Annelida;Polychaeta;Potamodrilidae
0	0	0.2131	9.577e-06	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus
