name	LWR	fract	aLWR	afract	taxopath
Query318	0.7017	0.7017	0.8006	0.8006	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query135	0.6864	0.6864	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query147	0.964	0.9641	0.964	0.9641	DISTANT
Query389	0.6196	0.6196	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query359	0.7244	0.7244	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query304	0.7602	0.7602	0.9306	0.9306	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query108	0.3586	0.3586	0.3586	0.3586	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query246	0.6766	0.6766	1	1	Eukaryota
Query346	0.6443	1	0.6443	1	DISTANT
Query382	0.2881	0.7474	0.2881	0.7474	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query98	0.8749	0.8833	0.9255	0.9343	Eukaryota;Arthropoda;Insecta
Query212	0.5814	0.5814	0.9668	0.9668	Eukaryota;Arthropoda;Branchiopoda
Query154	0.9744	0.9774	0.9744	0.9774	Eukaryota
Query79	0.7987	0.7987	0.7987	0.7987	Eukaryota;Arthropoda;Hexanauplia;Cyclopoida
Query107	0.2292	0.4909	0.2292	0.4909	Bacteria;Proteobacteria
Query286	0.4468	0.4468	0.7299	0.7299	Eukaryota
Query89	0.7487	0.7487	0.943	0.943	Eukaryota
Query292	0.6734	0.6764	0.6734	0.6764	DISTANT
Query111	0.9212	0.9229	0.9591	0.9609	Eukaryota
Query262	0.6256	0.6256	1	1	Eukaryota
Query405	1	1	1	1	DISTANT
Query216	0.7615	0.7632	0.7615	0.7632	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query247	0.5927	0.5927	0.5927	0.5927	DISTANT
Query370	0.8558	0.8559	0.8558	0.8559	DISTANT
Query186	1	1	1	1	DISTANT
Query115	0.6142	0.6142	0.9669	0.9669	Eukaryota
Query373	0.8463	0.8463	0.8903	0.8903	Eukaryota
Query284	1	1	1	1	DISTANT
Query244	0.948	0.9487	0.9556	0.9564	Eukaryota
Query174	0.5163	0.5164	0.9798	0.9798	Eukaryota
Query325	0.5673	0.5673	0.9341	0.9341	Eukaryota
Query67	0.7936	0.7936	0.9453	0.9453	Eukaryota
Query99	0.9363	0.9482	0.9363	0.9482	Eukaryota
Query41	0.9243	0.9256	0.9243	0.9256	Eukaryota
Query255	0.9299	0.9345	0.9464	0.9511	Eukaryota
Query117	0.9042	0.9042	0.9166	0.9166	Eukaryota
Query399	0.9327	0.9327	0.9327	0.9327	Eukaryota
Query224	0.9353	0.94	0.9353	0.94	Eukaryota
Query76	0.427	1	0.427	1	DISTANT
Query271	0.9312	0.9312	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query416	0.6917	0.6917	0.6917	0.6917	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query171	0.7994	0.7994	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query28	0.9596	0.9596	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query323	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query51	0.7169	0.7177	0.7169	0.7177	DISTANT
Query404	0.532	0.532	0.532	0.532	DISTANT
Query129	0.6744	0.6744	0.6744	0.6744	Eukaryota;Arthropoda;Insecta;Coleoptera
Query205	0.6923	0.6923	0.6923	0.6923	Eukaryota;Cryptophyceae;Cryptophyceae;Cryptomonadales
Query342	0.8964	0.8964	1	1	Eukaryota
Query149	0.5333	0.5333	0.5333	0.5333	Eukaryota;Arthropoda;Insecta;Coleoptera
Query380	0.9917	0.9917	0.9917	0.9917	Eukaryota
Query26	1	1	1	1	Eukaryota;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae;Protosiphon;Protosiphon_botryoides
Query192	0.6845	0.6845	1	1	Eukaryota
Query293	0.5204	0.5204	0.5204	0.5204	Eukaryota
Query112	0.5848	0.5848	1	1	Eukaryota
Query57	0.6098	0.6098	0.7636	0.7636	Eukaryota
Query377	0.6117	0.6169	0.7555	0.762	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query321	0.1903	0.6703	0.1903	0.6703	Bacteria
Query202	0.9192	0.9192	1	1	Eukaryota
Query132	0.3711	1	0.3711	1	DISTANT
Query204	0.3359	0.3359	0.6719	0.6719	Eukaryota;Platyhelminthes;Cestoda
Query317	0.955	0.9633	0.955	0.9633	Eukaryota
Query314	0.8148	0.8152	0.9524	0.9529	Eukaryota
Query80	0.5791	0.5859	0.9682	0.9797	Eukaryota
Query165	0.8983	0.8983	0.9508	0.9508	Eukaryota
Query195	0.09523	1	0.09523	1	Eukaryota;Streptophyta;Coleochaetophyceae;Coleochaetales
Query104	0.539	0.539	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query391	0.7774	0.7774	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query102	0.6402	0.6402	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query394	0.7325	0.7325	0.7325	0.7325	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query197	0.7946	0.7946	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query103	0.8815	0.8815	0.8815	0.8815	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query183	0.7134	0.7134	0.7134	0.7134	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query69	0.9675	0.9675	0.9675	0.9675	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query40	0.4081	0.4081	0.4081	0.4081	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query54	0.8136	0.8136	0.8136	0.8136	Eukaryota;Cnidaria;Myxozoa
Query397	0.5476	0.5476	0.5476	0.5476	Eukaryota;Nematoda;Chromadorea;Plectida
Query337	0.6958	0.6958	0.6958	0.6958	DISTANT
Query238	0.9194	0.9194	0.9194	0.9194	DISTANT
Query75	0.5206	0.5206	0.5206	0.5206	Eukaryota;Cryptophyceae;Cryptophyceae;Kathablepharidacea;Katablepharidaceae;Leucocryptos;Leucocryptos_marina
Query241	0.8008	0.8008	0.9826	0.9826	Eukaryota
Query252	0.7138	0.7138	0.7138	0.7138	Eukaryota
Query331	0.6094	0.6095	0.6094	0.6095	Eukaryota;Ciliophora;Heterotrichea;Heterotrichida
Query90	0.6959	0.6959	0.6959	0.6959	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query124	0.6055	0.6055	1	1	Eukaryota
Query364	0.6952	0.6952	0.8635	0.8635	Eukaryota
Query93	0.7445	0.7726	0.7445	0.7726	DISTANT
Query214	0.7509	0.7509	0.862	0.862	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query34	1	1	1	1	DISTANT
Query2	0.9037	0.9042	0.9198	0.9202	Eukaryota
Query48	0.952	0.9566	0.952	0.9566	Eukaryota
Query358	0.8475	0.8475	0.8475	0.8475	Eukaryota;Nematoda;Chromadorea
Query341	0.9757	0.9774	0.9757	0.9774	Eukaryota
Query143	0.5227	0.5227	0.5227	0.5227	Eukaryota;Nematoda;Chromadorea;Plectida
Query23	0.6119	0.6173	0.6119	0.6173	Eukaryota;Nematoda;Chromadorea;Plectida
Query161	0.7947	0.795	0.9489	0.9492	Eukaryota
Query3	0.8549	0.8549	0.8769	0.8769	Eukaryota
Query290	0.9817	1	0.9817	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query384	0.8161	0.8161	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query250	0.5167	0.5167	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query411	0.6792	0.6792	0.6792	0.6792	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query159	0.9775	0.9795	0.9775	0.9795	DISTANT
Query285	0.7136	0.7136	0.7136	0.7136	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query8	0.6468	0.6468	1	1	Eukaryota
Query58	0.7916	0.8052	0.8906	0.9059	Eukaryota
Query140	0.6319	0.6319	0.6319	0.6319	DISTANT
Query136	1	1	1	1	DISTANT
Query383	0.8269	0.8269	1	1	Eukaryota
Query6	0.4844	0.4846	0.4844	0.4846	Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales
Query191	0.7022	1	0.7022	1	DISTANT
Query120	0.8535	0.8535	0.9743	0.9743	Eukaryota
Query63	1	1	1	1	DISTANT
Query232	0.7215	0.7215	1	1	Eukaryota
Query200	0.4929	0.497	0.4929	0.497	Eukaryota;Nematoda;Chromadorea
Query49	0.7917	0.7917	0.8344	0.8344	Eukaryota
Query398	0.6196	0.6211	0.6196	0.6211	Eukaryota;Nematoda;Chromadorea
Query228	0.1754	1	0.1754	1	Bacteria
Query343	0.1468	1	0.1468	1	Bacteria
Query360	0.9082	0.9082	0.9082	0.9082	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query113	0.8963	0.8963	0.8963	0.8963	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query226	0.8211	0.8211	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query45	0.9084	0.9086	0.9084	0.9086	DISTANT
Query263	0.9613	0.9613	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query223	0.651	0.651	0.651	0.651	DISTANT
Query24	0.9232	0.9237	0.9232	0.9237	Eukaryota;Arthropoda;Insecta
Query374	0.599	0.599	1	1	Eukaryota
Query128	1	1	1	1	DISTANT
Query388	0.5119	0.5119	0.5119	0.5119	DISTANT
Query144	1	1	1	1	DISTANT
Query408	1	1	1	1	DISTANT
Query412	0.995	1	0.995	1	DISTANT
Query56	0.597	0.597	0.597	0.597	Eukaryota;Arthropoda;Insecta;Coleoptera
Query137	0.9594	0.9684	0.9595	0.9684	Eukaryota
Query181	0.7739	0.7791	0.9593	0.9657	Eukaryota
Query25	0.9505	0.9576	0.9505	0.9576	Eukaryota
Query33	0.1869	0.9305	0.1869	0.9305	DISTANT
Query413	0.5626	1	0.5626	1	Bacteria
Query395	0.7126	0.7126	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query327	0.6387	0.6387	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query260	0.9023	0.9023	0.9023	0.9023	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query81	0.4981	0.4981	0.4981	0.4981	DISTANT
Query125	0.5072	0.5072	0.5072	0.5072	Eukaryota;Mucoromycota;Glomeromycetes
Query340	0.5112	0.5169	0.5112	0.5169	DISTANT
Query35	0.966	0.9689	0.966	0.969	Eukaryota
Query30	0.6366	0.6366	1	1	Eukaryota
Query234	0.6276	0.6276	1	1	Eukaryota
Query315	0.5148	0.5217	0.5148	0.5217	DISTANT
Query297	0.5617	0.5617	0.8639	0.8639	Eukaryota
Query71	1	1	1	1	DISTANT
Query12	0.936	0.936	1	1	Eukaryota
Query185	0.7132	0.7132	0.889	0.889	Eukaryota
Query27	0.9523	0.9535	0.9523	0.9535	Eukaryota
Query281	0.8499	0.8499	0.8499	0.8499	Eukaryota;Nematoda;Chromadorea
Query245	0.9328	0.9364	0.9328	0.9364	Eukaryota
Query47	0.8999	0.9055	0.9	0.9055	Eukaryota
Query87	0.8726	0.8726	0.9158	0.9158	Eukaryota
Query96	0.6172	0.6172	0.873	0.873	Eukaryota
Query401	0.4616	0.7947	0.4616	0.7947	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query240	0.2904	0.87	0.2904	0.87	Bacteria
Query362	0.5225	0.5225	0.5225	0.5225	DISTANT
Query21	0.6932	0.6932	0.719	0.719	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query178	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query65	0.4543	0.4543	0.4543	0.4543	DISTANT
Query378	0.3372	0.3372	0.3372	0.3372	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
