LWR	fract	aLWR	afract	taxopath
132	0.4159	239.6	0.755	Eukaryota
0.003687	1.162e-05	9.756	0.03075	Eukaryota;Arthropoda
3.41	0.01075	4.757	0.01499	Eukaryota;Arthropoda;Insecta
0.4247	0.001338	0.4247	0.001338	Eukaryota;Arthropoda;Insecta;Diptera
0.6538	0.002061	0.6538	0.002061	Eukaryota;Arthropoda;Insecta;Mecoptera
0.01424	4.489e-05	0.01424	4.489e-05	Eukaryota;Arthropoda;Insecta;Phasmatodea
0.2537	0.0007995	0.2537	0.0007995	Eukaryota;Arthropoda;Insecta;Siphonaptera
0.3246	0.001023	2.833	0.008929	Eukaryota;Arthropoda;Hexanauplia
2.456	0.007739	2.456	0.007739	Eukaryota;Arthropoda;Hexanauplia;Cyclopoida
0.05273	0.0001662	0.05273	0.0001662	Eukaryota;Arthropoda;Hexanauplia;Harpacticoida
0	0	0.2524	0.0007956	Eukaryota;Arthropoda;Cephalocarida
0	0	0.2524	0.0007956	Eukaryota;Arthropoda;Cephalocarida;Brachypoda
0.2524	0.0007956	0.2524	0.0007956	Eukaryota;Arthropoda;Cephalocarida;Brachypoda;Hutchinsoniellidae
1.38	0.004349	1.91	0.006019	Eukaryota;Arthropoda;Branchiopoda
0.5297	0.00167	0.5297	0.00167	Eukaryota;Arthropoda;Branchiopoda;Anostraca
0	0	1.23	0.003875	Eukaryota;Bryozoa
0	0	1.23	0.003875	Eukaryota;Bryozoa;Phylactolaemata
0	0	1.23	0.003875	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae
0	0	1.23	0.003875	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae
0	0	1.23	0.003875	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella
1.23	0.003875	1.23	0.003875	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella;Fredericella_sultana
0	0	2.1	0.006619	Eukaryota;Nematoda
0	0	2.1	0.006619	Eukaryota;Nematoda;Enoplea
2.1	0.006619	2.1	0.006619	Eukaryota;Nematoda;Enoplea;Triplonchida
0	0	26.27	0.08278	Eukaryota;Basidiomycota
0	0	0.4433	0.001397	Eukaryota;Basidiomycota;Pucciniomycetes
0.4433	0.001397	0.4433	0.001397	Eukaryota;Basidiomycota;Pucciniomycetes;Pucciniales
0	0	25.82	0.08138	Eukaryota;Basidiomycota;Microbotryomycetes
0	0	25.82	0.08138	Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales
0	0	25.82	0.08138	Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae
25.82	0.08138	25.82	0.08138	Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula
0	0	4.567e-08	1.439e-10	Eukaryota;Basidiomycota;Agaricomycetes
0	0	4.567e-08	1.439e-10	Eukaryota;Basidiomycota;Agaricomycetes;Phallales
4.567e-08	1.439e-10	4.567e-08	1.439e-10	Eukaryota;Basidiomycota;Agaricomycetes;Phallales;Phallaceae
0	0	6.113	0.01927	Eukaryota;Platyhelminthes
0	0	0.2463	0.0007762	Eukaryota;Platyhelminthes;Rhabditophora
0.2463	0.0007762	0.2463	0.0007762	Eukaryota;Platyhelminthes;Rhabditophora;Proseriata
0	0	2.766	0.008717	Eukaryota;Platyhelminthes;Catenulida
0	0	2.766	0.008717	Eukaryota;Platyhelminthes;Catenulida;Stenostomidae
2.766	0.008717	2.766	0.008717	Eukaryota;Platyhelminthes;Catenulida;Stenostomidae;Stenostomidae
0	0	1.534	0.004834	Eukaryota;Platyhelminthes;Trematoda
1.532	0.00483	1.532	0.00483	Eukaryota;Platyhelminthes;Trematoda;Diplostomida
0	0	0.001197	3.771e-06	Eukaryota;Platyhelminthes;Trematoda;Cercaria
0	0	0.001197	3.771e-06	Eukaryota;Platyhelminthes;Trematoda;Cercaria;Cercaria
0.001197	3.771e-06	0.001197	3.771e-06	Eukaryota;Platyhelminthes;Trematoda;Cercaria;Cercaria;Cercaria
1.568	0.00494	1.568	0.00494	Eukaryota;Platyhelminthes;Cestoda
0	0	2.081e-05	6.559e-08	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea
2.081e-05	6.559e-08	2.081e-05	6.559e-08	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae
0	0	3.507	0.01105	Eukaryota;Porifera
0	0	3.507	0.01105	Eukaryota;Porifera;Calcarea
0	0	3.507	0.01105	Eukaryota;Porifera;Calcarea;Lithonida
0	0	3.507	0.01105	Eukaryota;Porifera;Calcarea;Lithonida;Petrobionidae
0	0	3.507	0.01105	Eukaryota;Porifera;Calcarea;Lithonida;Petrobionidae;Petrobiona
3.507	0.01105	3.507	0.01105	Eukaryota;Porifera;Calcarea;Lithonida;Petrobionidae;Petrobiona;Petrobiona_massiliana
0	0	1.117	0.003521	Eukaryota;Ciliophora
0.6647	0.002095	1.097	0.003459	Eukaryota;Ciliophora;Spirotrichea
0.1334	0.0004205	0.1334	0.0004205	Eukaryota;Ciliophora;Spirotrichea;Urostylida
0.1206	0.00038	0.1206	0.00038	Eukaryota;Ciliophora;Spirotrichea;Tintinnida
0.1203	0.000379	0.1203	0.000379	Eukaryota;Ciliophora;Spirotrichea;Euplotida
0.05847	0.0001843	0.05847	0.0001843	Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida
0	0	0.0198	6.242e-05	Eukaryota;Ciliophora;Oligohymenophorea
0.0198	6.242e-05	0.0198	6.242e-05	Eukaryota;Ciliophora;Oligohymenophorea;Sessilida
0	0	4.234	0.01334	Eukaryota;Chytridiomycota
0	0	4.234	0.01334	Eukaryota;Chytridiomycota;Chytridiomycetes
4.234	0.01334	4.234	0.01334	Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales
0	0	3.49	0.011	Eukaryota;Chlorophyta
0	0	3.49	0.011	Eukaryota;Chlorophyta;Chlorophyceae
0	0	3.49	0.011	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae
0	0	3.49	0.011	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae;Microsporaceae
0	0	3.49	0.011	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae;Microsporaceae;Microspora
3.49	0.011	3.49	0.011	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae;Microsporaceae;Microspora;Microspora_stagnorum
0	0	36.51	0.1151	Eukaryota;Euglenozoa
18.36	0.05786	36.51	0.1151	Eukaryota;Euglenozoa;Euglenida
0	0	9.885	0.03115	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
0	0	9.885	0.03115	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
0	0	9.885	0.03115	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
9.885	0.03115	9.885	0.03115	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
8.264	0.02604	8.264	0.02604	Eukaryota;Euglenozoa;Euglenida;Euglenales
0	0	2.185	0.006886	Eukaryota;Mucoromycota
1.642	0.005174	2.185	0.006886	Eukaryota;Mucoromycota;Glomeromycetes
0.1566	0.0004936	0.1566	0.0004936	Eukaryota;Mucoromycota;Glomeromycetes;Glomerales
0.3863	0.001217	0.3863	0.001217	Eukaryota;Mucoromycota;Glomeromycetes;Diversisporales
0	0	2.978e-07	9.386e-10	Eukaryota;Evosea
0	0	2.978e-07	9.386e-10	Eukaryota;Evosea;Eumycetozoa
0	0	2.978e-07	9.386e-10	Eukaryota;Evosea;Eumycetozoa;Dictyosteliales
0	0	2.978e-07	9.386e-10	Eukaryota;Evosea;Eumycetozoa;Dictyosteliales;Dictyosteliaceae
2.978e-07	9.386e-10	2.978e-07	9.386e-10	Eukaryota;Evosea;Eumycetozoa;Dictyosteliales;Dictyosteliaceae;Dictyostelium
0	0	4.818	0.01518	Eukaryota;Cnidaria
4.818	0.01518	4.818	0.01518	Eukaryota;Cnidaria;Myxozoa
0	0	4.66e-05	1.469e-07	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
0	0	4.66e-05	1.469e-07	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
4.66e-05	1.469e-07	4.66e-05	1.469e-07	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
0	0	1.938	0.006107	Eukaryota;Cryptophyceae
0.6165	0.001943	1.938	0.006107	Eukaryota;Cryptophyceae;Cryptophyceae
1.321	0.004164	1.321	0.004164	Eukaryota;Cryptophyceae;Cryptophyceae;Cryptomonadales
0	0	5.175e-06	1.631e-08	Eukaryota;Cryptophyceae;Cryptophyceae;Kathablepharidacea
0	0	5.175e-06	1.631e-08	Eukaryota;Cryptophyceae;Cryptophyceae;Kathablepharidacea;Katablepharidaceae
0	0	5.175e-06	1.631e-08	Eukaryota;Cryptophyceae;Cryptophyceae;Kathablepharidacea;Katablepharidaceae;Leucocryptos
5.175e-06	1.631e-08	5.175e-06	1.631e-08	Eukaryota;Cryptophyceae;Cryptophyceae;Kathablepharidacea;Katablepharidaceae;Leucocryptos;Leucocryptos_marina
1.837	0.005789	1.959	0.006172	Eukaryota;Gnathostomulida
0	0	0.1216	0.0003833	Eukaryota;Gnathostomulida;Filospermoidea
