name	LWR	fract	aLWR	afract	taxopath
Query243	0.7954	0.7981	0.7954	0.7981	Eukaryota
Query243	0.2012	0.2019	0.2012	0.2019	DISTANT
Query345	0.3994	0.3994	1	1	Eukaryota
Query345	0	0	0.6006	0.6006	Eukaryota;Basidiomycota
Query345	0	0	0.6006	0.6006	Eukaryota;Basidiomycota;Microbotryomycetes
Query345	0	0	0.6006	0.6006	Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales
Query345	0	0	0.6006	0.6006	Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae
Query345	0.6006	0.6006	0.6006	0.6006	Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula
Query44	0	0	0.2898	0.7039	Bacteria
Query44	0.06206	0.1507	0.2898	0.7039	Bacteria;Proteobacteria
Query44	0	0	0.2047	0.4971	Bacteria;Proteobacteria;Gammaproteobacteria
Query44	0.1219	0.296	0.2047	0.4971	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales
Query44	0	0	0.02157	0.05238	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Bruguierivoracaceae
Query44	0	0	0.02157	0.05238	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Bruguierivoracaceae;Bruguierivoracaceae
Query44	0.02157	0.05238	0.02157	0.05238	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Bruguierivoracaceae;Bruguierivoracaceae;Sodalis
Query44	0	0	0.02093	0.05082	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae
Query44	0.02093	0.05082	0.02093	0.05082	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafniaceae
Query44	0	0	0.02024	0.04915	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae
Query44	0.02024	0.04915	0.02024	0.04915	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwiniaceae
Query44	0	0	0.02007	0.04875	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae
Query44	0.02007	0.04875	0.02007	0.04875	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersiniaceae
Query44	0	0	0.02307	0.05604	Bacteria;Proteobacteria;Acidithiobacillia
Query44	0	0	0.02307	0.05604	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales
Query44	0	0	0.02307	0.05604	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae
Query44	0	0	0.02307	0.05604	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillaceae
Query44	0.02307	0.05604	0.02307	0.05604	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillaceae;Acidithiobacillus
Query44	0.1219	0.2961	0.1219	0.2961	DISTANT
Query293	0.8337	0.8337	1	1	Eukaryota
Query293	0	0	0.1663	0.1663	Eukaryota;Porifera
Query293	0	0	0.1663	0.1663	Eukaryota;Porifera;Calcarea
Query293	0	0	0.1663	0.1663	Eukaryota;Porifera;Calcarea;Lithonida
Query293	0	0	0.1663	0.1663	Eukaryota;Porifera;Calcarea;Lithonida;Petrobionidae
Query293	0	0	0.1663	0.1663	Eukaryota;Porifera;Calcarea;Lithonida;Petrobionidae;Petrobiona
Query293	0.1663	0.1663	0.1663	0.1663	Eukaryota;Porifera;Calcarea;Lithonida;Petrobionidae;Petrobiona;Petrobiona_massiliana
Query179	0	0	0.8673	0.8673	Eukaryota
Query179	0	0	0.8673	0.8673	Eukaryota;Euglenozoa
Query179	0.8673	0.8673	0.8673	0.8673	Eukaryota;Euglenozoa;Euglenida
Query179	1.529e-05	1.529e-05	1.529e-05	1.529e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query179	0	0	8.701e-06	8.701e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query179	0	0	8.701e-06	8.701e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query179	0	0	8.701e-06	8.701e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query179	8.701e-06	8.701e-06	8.701e-06	8.701e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query179	0.1327	0.1327	0.1327	0.1327	DISTANT
Query219	0	0	0.8494	0.8494	Eukaryota
Query219	0	0	0.8494	0.8494	Eukaryota;Euglenozoa
Query219	0.8494	0.8494	0.8494	0.8494	Eukaryota;Euglenozoa;Euglenida
Query219	1.498e-05	1.498e-05	1.498e-05	1.498e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query219	0	0	8.522e-06	8.522e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query219	0	0	8.522e-06	8.522e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query219	0	0	8.522e-06	8.522e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query219	8.522e-06	8.522e-06	8.522e-06	8.522e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query219	0.1506	0.1506	0.1506	0.1506	DISTANT
Query80	0	0	0.8529	0.8529	Eukaryota
Query80	0	0	0.8529	0.8529	Eukaryota;Euglenozoa
Query80	0.8529	0.8529	0.8529	0.8529	Eukaryota;Euglenozoa;Euglenida
Query80	0	0	8.557e-06	8.557e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query80	0	0	8.557e-06	8.557e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query80	0	0	8.557e-06	8.557e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query80	8.557e-06	8.557e-06	8.557e-06	8.557e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query80	1.504e-05	1.504e-05	1.504e-05	1.504e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query80	0.1471	0.1471	0.1471	0.1471	DISTANT
Query162	0	0	0.8425	0.8425	Eukaryota
Query162	0	0	0.8425	0.8425	Eukaryota;Euglenozoa
Query162	0.8424	0.8424	0.8425	0.8425	Eukaryota;Euglenozoa;Euglenida
Query162	1.485e-05	1.485e-05	1.485e-05	1.485e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query162	0	0	8.452e-06	8.452e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query162	0	0	8.452e-06	8.452e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query162	0	0	8.452e-06	8.452e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query162	8.452e-06	8.452e-06	8.452e-06	8.452e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query162	0.1575	0.1575	0.1575	0.1575	DISTANT
Query285	0	0	0.8769	0.8769	Eukaryota
Query285	0	0	0.8769	0.8769	Eukaryota;Euglenozoa
Query285	0.8769	0.8769	0.8769	0.8769	Eukaryota;Euglenozoa;Euglenida
Query285	1.546e-05	1.546e-05	1.546e-05	1.546e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query285	0	0	8.797e-06	8.797e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query285	0	0	8.797e-06	8.797e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query285	0	0	8.797e-06	8.797e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query285	8.797e-06	8.797e-06	8.797e-06	8.797e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query285	0.1231	0.1231	0.1231	0.1231	DISTANT
Query271	0	0	0.8742	0.8742	Eukaryota
Query271	0	0	0.8742	0.8742	Eukaryota;Euglenozoa
Query271	0.8742	0.8742	0.8742	0.8742	Eukaryota;Euglenozoa;Euglenida
Query271	1.541e-05	1.541e-05	1.541e-05	1.541e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query271	0	0	8.77e-06	8.77e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query271	0	0	8.77e-06	8.77e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query271	0	0	8.77e-06	8.77e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query271	8.77e-06	8.77e-06	8.77e-06	8.77e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query271	0.1258	0.1258	0.1258	0.1258	DISTANT
Query125	0	0	0.8806	0.8806	Eukaryota
Query125	0	0	0.8806	0.8806	Eukaryota;Euglenozoa
Query125	0.8805	0.8805	0.8806	0.8806	Eukaryota;Euglenozoa;Euglenida
Query125	1.552e-05	1.552e-05	1.552e-05	1.552e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query125	0	0	8.834e-06	8.834e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query125	0	0	8.834e-06	8.834e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query125	0	0	8.834e-06	8.834e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query125	8.834e-06	8.834e-06	8.834e-06	8.834e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query125	0.1194	0.1194	0.1194	0.1194	DISTANT
Query273	0	0	0.8536	0.8536	Eukaryota
Query273	0	0	0.8536	0.8536	Eukaryota;Euglenozoa
Query273	0.8536	0.8536	0.8536	0.8536	Eukaryota;Euglenozoa;Euglenida
Query273	0	0	8.563e-06	8.563e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query273	0	0	8.563e-06	8.563e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query273	0	0	8.563e-06	8.563e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query273	8.563e-06	8.563e-06	8.563e-06	8.563e-06	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query273	1.505e-05	1.505e-05	1.505e-05	1.505e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query273	0.1464	0.1464	0.1464	0.1464	DISTANT
Query350	0	0	0.9781	0.9781	Eukaryota
Query350	0	0	0.9781	0.9781	Eukaryota;Euglenozoa
Query350	0.8075	0.8075	0.9781	0.9781	Eukaryota;Euglenozoa;Euglenida
Query350	2.266e-05	2.266e-05	2.266e-05	2.266e-05	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query350	0	0	0.1706	0.1706	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query350	0	0	0.1706	0.1706	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query350	0	0	0.1706	0.1706	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
