OTU	amplicon	ERR0000001	total
14	ERR1:131400.608977	2	2
32	ERR1:234880.671636	2	2
37	ERR1:294460.602588	2	2
39	ERR1:308250.629093	2	2
40	ERR1:338170.659416	2	2
45	ERR1:415730.676447	2	2
47	ERR1:430360.723332	2	2
50	ERR1:474900.671003	2	2
51	ERR1:508280.644533	2	2
52	ERR1:521200.701267	2	2
53	ERR1:567500.622530	2	2
54	ERR1:584480.625687	2	2
58	ERR1:661650.645424	2	2
61	ERR1:706480.622918	2	2
64	ERR1:1000.689934	1	1
66	ERR1:100240.622891	1	1
68	ERR1:100310.600410	1	1
69	ERR1:100320.676207	1	1
70	ERR1:100330.628832	1	1
72	ERR1:100390.662427	1	1
73	ERR1:100420.695882	1	1
74	ERR1:10050.609193	1	1
75	ERR1:100610.747140	1	1
76	ERR1:100740.675348	1	1
77	ERR1:100750.627338	1	1
78	ERR1:100820.653859	1	1
79	ERR1:100850.715987	1	1
80	ERR1:100910.698167	1	1
81	ERR1:101060.634721	1	1
82	ERR1:101190.685187	2	2
83	ERR1:10140.636957	1	1
85	ERR1:101480.606185	1	1
86	ERR1:101590.640220	1	1
87	ERR1:101600.728202	1	1
88	ERR1:101670.610456	1	1
89	ERR1:101690.689419	1	1
91	ERR1:101770.677938	2	2
92	ERR1:101790.661933	1	1
93	ERR1:10180.654939	1	1
95	ERR1:101910.681467	2	2
96	ERR1:102040.625583	1	1
97	ERR1:102070.638767	1	1
99	ERR1:102160.664131	1	1
101	ERR1:102220.601471	1	1
103	ERR1:10230.605942	1	1
107	ERR1:103080.634063	1	1
108	ERR1:103090.631872	1	1
109	ERR1:103140.664639	1	1
110	ERR1:103160.604088	1	1
113	ERR1:10320.638338	1	1
115	ERR1:103410.641971	1	1
117	ERR1:103490.606872	1	1
119	ERR1:103560.602274	1	1
120	ERR1:103620.716899	1	1
122	ERR1:103660.673340	1	1
123	ERR1:103710.675546	2	2
125	ERR1:103750.722413	1	1
128	ERR1:103850.602512	1	1
129	ERR1:103910.686769	1	1
130	ERR1:103930.666433	2	2
132	ERR1:104040.626206	1	1
133	ERR1:104110.681773	1	1
134	ERR1:104140.702262	1	1
136	ERR1:104350.696701	1	1
137	ERR1:104510.723012	1	1
138	ERR1:104540.621839	1	1
140	ERR1:104720.609665	1	1
143	ERR1:104820.626632	1	1
144	ERR1:104890.613539	1	1
149	ERR1:105110.602569	1	1
150	ERR1:105220.657825	1	1
151	ERR1:105300.614299	1	1
152	ERR1:105370.692818	1	1
153	ERR1:105400.634650	1	1
154	ERR1:105440.625059	1	1
155	ERR1:105460.703383	1	1
156	ERR1:105570.709320	2	2
157	ERR1:105900.670753	1	1
161	ERR1:106070.635025	1	1
162	ERR1:106130.673149	1	1
163	ERR1:10620.642784	1	1
164	ERR1:106210.647995	2	2
165	ERR1:10630.715955	1	1
167	ERR1:106420.630945	2	2
170	ERR1:106620.691791	1	1
171	ERR1:106660.706330	1	1
172	ERR1:106690.701373	1	1
173	ERR1:106760.602942	2	2
175	ERR1:106830.699566	1	1
176	ERR1:106850.609687	1	1
178	ERR1:106980.616706	1	1
179	ERR1:107120.723905	1	1
181	ERR1:10730.617856	1	1
182	ERR1:107370.676712	2	2
186	ERR1:107760.683388	1	1
187	ERR1:107950.660015	1	1
189	ERR1:108130.602623	1	1
191	ERR1:10820.683626	1	1
192	ERR1:108280.692501	1	1
193	ERR1:108300.606427	1	1
195	ERR1:10840.639689	1	1
196	ERR1:108470.697546	1	1
197	ERR1:108530.682058	1	1
198	ERR1:108600.673407	1	1
199	ERR1:108630.681908	1	1
202	ERR1:1090.713785	1	1
205	ERR1:109200.639009	1	1
206	ERR1:109350.624100	2	2
207	ERR1:109490.741769	1	1
