amplicon	linearized.dereplicate_ERR0000002.merged.fastq	total
ERR2:::2889:0:0:0:0.729372	23	23
ERR2:::11743:0:0:0:0.705411	12	12
ERR2:::10972:0:0:0:0.711563	11	11
ERR2:::1182:0:0:0:0.729634	11	11
ERR2:::194:0:0:0:0.729408	11	11
ERR2:::2593:0:0:0:0.722929	11	11
ERR2:::3530:0:0:0:0.726086	11	11
ERR2:::6133:0:0:0:0.733311	11	11
ERR2:::10604:0:0:0:0.721372	10	10
ERR2:::151:0:0:0:0.715597	10	10
ERR2:::96:0:0:0:0.712377	10	10
ERR2:::13302:0:0:0:0.714761	9	9
ERR2:::15875:0:0:0:0.722699	9	9
ERR2:::18037:0:0:0:0.719574	9	9
ERR2:::3246:0:0:0:0.726820	9	9
ERR2:::3513:0:0:0:0.718538	9	9
ERR2:::10336:0:0:0:0.735435	8	8
ERR2:::18357:0:0:0:0.734688	8	8
ERR2:::2853:0:0:0:0.734263	8	8
ERR2:::3049:0:0:0:0.731841	8	8
ERR2:::3095:0:0:0:0.737880	8	8
ERR2:::38207:0:0:0:0.739292	8	8
ERR2:::3862:0:0:0:0.730761	8	8
ERR2:::6236:0:0:0:0.735779	8	8
ERR2:::7559:0:0:0:0.704080	8	8
ERR2:::7633:0:0:0:0.720941	8	8
ERR2:::9202:0:0:0:0.723116	8	8
ERR2:::10039:0:0:0:0.741561	7	7
ERR2:::10363:0:0:0:0.728874	7	7
ERR2:::11817:0:0:0:0.718573	7	7
ERR2:::12272:0:0:0:0.737793	7	7
ERR2:::14192:0:0:0:0.719219	7	7
ERR2:::1520:0:0:0:0.742918	7	7
ERR2:::19064:0:0:0:0.731582	7	7
ERR2:::21070:0:0:0:0.736848	7	7
ERR2:::24935:0:0:0:0.612194	7	7
ERR2:::3007:0:0:0:0.727375	7	7
ERR2:::3040:0:0:0:0.729332	7	7
ERR2:::32694:0:0:0:0.724069	7	7
ERR2:::4927:0:0:0:0.726800	7	7
ERR2:::5044:0:0:0:0.728989	7	7
ERR2:::5482:0:0:0:0.702222	7	7
ERR2:::6177:0:0:0:0.733622	7	7
ERR2:::6338:0:0:0:0.738482	7	7
ERR2:::6444:0:0:0:0.719286	7	7
ERR2:::7644:0:0:0:0.732468	7	7
ERR2:::7683:0:0:0:0.699247	7	7
ERR2:::7781:0:0:0:0.718300	7	7
ERR2:::7804:0:0:0:0.724358	7	7
ERR2:::8661:0:0:0:0.724602	7	7
ERR2:::9948:0:0:0:0.726061	7	7
ERR2:::10268:0:0:0:0.728567	6	6
ERR2:::10516:0:0:0:0.717836	6	6
ERR2:::11935:0:0:0:0.704762	6	6
ERR2:::12533:0:0:0:0.733431	6	6
ERR2:::14287:0:0:0:0.745691	6	6
ERR2:::14473:0:0:0:0.733783	6	6
ERR2:::16228:0:0:0:0.724065	6	6
ERR2:::16891:0:0:0:0.730310	6	6
ERR2:::17253:0:0:0:0.693516	6	6
ERR2:::18069:0:0:0:0.697680	6	6
ERR2:::18218:0:0:0:0.726732	6	6
ERR2:::18237:0:0:0:0.718907	6	6
ERR2:::19609:0:0:0:0.713804	6	6
ERR2:::19665:0:0:0:0.689948	6	6
ERR2:::20980:0:0:0:0.727596	6	6
ERR2:::220:0:0:0:0.724154	6	6
ERR2:::23217:0:0:0:0.734549	6	6
ERR2:::23531:0:0:0:0.732630	6	6
ERR2:::2634:0:0:0:0.725180	6	6
ERR2:::28245:0:0:0:0.705603	6	6
ERR2:::2990:0:0:0:0.712727	6	6
ERR2:::3851:0:0:0:0.733966	6	6
