OTU	ERR0000002	classification
ota;Arthropoda;Insecta;Mecoptera;Panorpidae;Sinopanorpa;Sinopanorpa digitiformis
ERR2:28890.729372	1811	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:109720.711563	1091	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:57500.698174	364	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
ERR2:142870.745691	294	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:15910.739861	283	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:17840.718499	225	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Popplepsalta (nomen nudum);Popplepsalta aeroides (nomen nudum)
ERR2:99480.726061	216	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:282450.705603	141	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:104600.635751	138	Eukaryota;Chordata;Mammalia;Rodentia;Dipodidae;Jaculus;Jaculus jaculus
ERR2:140170.733868	133	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:105640.636670	125	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:260470.686313	123	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:110770.667988	113	Eukaryota;Chordata;Amphibia;Anura;Hyperoliidae;Hyperolius;Hyperolius ocellatus
ERR2:249990.621924	82	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:141530.650040	81	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla nebulosa
ERR2:156950.627558	80	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:538670.708823	70	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes ovatus
ERR2:207770.644841	61	Eukaryota;Chordata;Mammalia;Rodentia;Dipodidae;Jaculus;Jaculus jaculus
ERR2:170150.671435	47	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Rondibilis;Rondibilis saperdina
ERR2:252380.698186	36	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:340430.693225	36	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:38370.691884	36	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Cestraeus;Cestraeus goldiei
ERR2:20370.737304	34	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:103630.728874	33	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:133660.608245	30	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR2:240870.724728	29	Eukaryota;Arthropoda;Insecta;Mecoptera;Panorpidae;Sinopanorpa;Sinopanorpa digitiformis
ERR2:110650.626305	27	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:196210.711664	27	Eukaryota;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;Simulium brevipar
ERR2:260700.711133	25	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Aulagromyza;Aulagromyza luteoscutellata
