amplicon	ERR0000003	total
ERR3:::5884:0:0:0:0.728104	8	8
ERR3:::13500:0:0:0:0.688985	6	6
ERR3:::2064:0:0:0:0.671839	6	6
ERR3:::24389:0:0:0:0.680170	6	6
ERR3:::34558:0:0:0:0.693105	6	6
ERR3:::3710:0:0:0:0.730789	6	6
ERR3:::40289:0:0:0:0.673927	6	6
ERR3:::4677:0:0:0:0.713239	6	6
ERR3:::53239:0:0:0:0.624823	6	6
ERR3:::6440:0:0:0:0.721344	6	6
ERR3:::16055:0:0:0:0.708966	5	5
ERR3:::18043:0:0:0:0.678979	5	5
ERR3:::18531:0:0:0:0.705890	5	5
ERR3:::24149:0:0:0:0.686376	5	5
ERR3:::27256:0:0:0:0.696359	5	5
ERR3:::29338:0:0:0:0.635970	5	5
ERR3:::44688:0:0:0:0.743625	5	5
ERR3:::6632:0:0:0:0.720294	5	5
ERR3:::853:0:0:0:0.729111	5	5
ERR3:::941:0:0:0:0.674768	5	5
ERR3:::13486:0:0:0:0.686189	4	4
ERR3:::13498:0:0:0:0.694753	4	4
ERR3:::16235:0:0:0:0.668575	4	4
ERR3:::19574:0:0:0:0.728508	4	4
ERR3:::23267:0:0:0:0.662711	4	4
ERR3:::24035:0:0:0:0.712074	4	4
ERR3:::24601:0:0:0:0.719759	4	4
ERR3:::2776:0:0:0:0.667641	4	4
ERR3:::28922:0:0:0:0.688509	4	4
ERR3:::29970:0:0:0:0.722176	4	4
ERR3:::30914:0:0:0:0.674609	4	4
ERR3:::32006:0:0:0:0.669592	4	4
ERR3:::34481:0:0:0:0.675048	4	4
ERR3:::37048:0:0:0:0.618102	4	4
ERR3:::38785:0:0:0:0.710305	4	4
ERR3:::41620:0:0:0:0.662890	4	4
ERR3:::43344:0:0:0:0.696777	4	4
ERR3:::44833:0:0:0:0.616435	4	4
ERR3:::52540:0:0:0:0.741259	4	4
ERR3:::54970:0:0:0:0.690757	4	4
ERR3:::593:0:0:0:0.689302	4	4
ERR3:::61525:0:0:0:0.620721	4	4
ERR3:::70021:0:0:0:0.741079	4	4
ERR3:::7290:0:0:0:0.710917	4	4
ERR3:::81817:0:0:0:0.702281	4	4
ERR3:::86506:0:0:0:0.693982	4	4
ERR3:::876:0:0:0:0.714938	4	4
ERR3:::88143:0:0:0:0.692649	4	4
ERR3:::89597:0:0:0:0.717062	4	4
ERR3:::10031:0:0:0:0.611409	3	3
ERR3:::108894:0:0:0:0.710539	3	3
ERR3:::112410:0:0:0:0.629498	3	3
ERR3:::12854:0:0:0:0.714915	3	3
ERR3:::13598:0:0:0:0.727104	3	3
ERR3:::13846:0:0:0:0.719077	3	3
ERR3:::14346:0:0:0:0.682942	3	3
ERR3:::15241:0:0:0:0.601307	3	3
ERR3:::1532:0:0:0:0.713275	3	3
ERR3:::15659:0:0:0:0.686094	3	3
ERR3:::15873:0:0:0:0.719148	3	3
ERR3:::16864:0:0:0:0.741069	3	3
ERR3:::16878:0:0:0:0.642112	3	3
ERR3:::18383:0:0:0:0.620752	3	3
ERR3:::18918:0:0:0:0.706750	3	3
ERR3:::18949:0:0:0:0.627082	3	3
ERR3:::19377:0:0:0:0.649010	3	3
ERR3:::19531:0:0:0:0.725001	3	3
ERR3:::1955:0:0:0:0.665411	3	3
ERR3:::20202:0:0:0:0.744381	3	3
ERR3:::20442:0:0:0:0.717522	3	3
ERR3:::20663:0:0:0:0.656939	3	3
ERR3:::21594:0:0:0:0.652732	3	3
ERR3:::22707:0:0:0:0.661847	3	3
ERR3:::23333:0:0:0:0.728330	3	3
ERR3:::25604:0:0:0:0.645866	3	3
ERR3:::25985:0:0:0:0.700006	3	3
ERR3:::26900:0:0:0:0.737658	3	3
ERR3:::27961:0:0:0:0.692221	3	3
ERR3:::27966:0:0:0:0.716861	3	3
ERR3:::30882:0:0:0:0.618523	3	3
ERR3:::33848:0:0:0:0.717232	3	3
ERR3:::33921:0:0:0:0.708858	3	3
ERR3:::34353:0:0:0:0.716103	3	3
ERR3:::34394:0:0:0:0.600834	3	3
ERR3:::38937:0:0:0:0.719205	3	3
ERR3:::39136:0:0:0:0.707353	3	3
ERR3:::39213:0:0:0:0.642101	3	3
ERR3:::41294:0:0:0:0.680644	3	3
