name	LWR	fract	aLWR	afract	taxopath
Query9	0.6514	0.6514	0.6514	0.6514	Eukaryota;Arthropoda;Hexanauplia;Sessilia
Query16	0.819	0.8194	0.9832	0.9836	Eukaryota
Query48	0.3648	0.3679	0.7261	0.7322	Eukaryota;Mollusca;Gastropoda
Query83	0.7465	0.7487	0.9619	0.9648	Eukaryota;Arthropoda;Hexanauplia
Query17	0.775	0.775	0.8891	0.8891	Eukaryota;Haptista;Haptophyta
Query96	0.5427	0.5428	0.5427	0.5428	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query68	0.7181	0.7532	0.9164	0.9612	Eukaryota
Query34	0.626	0.6286	0.9944	0.9986	Eukaryota
Query29	0.6834	0.6834	0.6834	0.6834	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
Query27	0.5992	0.6013	0.5992	0.6013	Eukaryota;Annelida;Polychaeta;Eunicida
Query49	0.9501	0.9834	0.9501	0.9834	Eukaryota;Chordata;Actinopteri;Polycentridae;Polycentridae
Query67	0.4731	0.8897	0.4731	0.8897	Eukaryota;Rhodophyta
Query19	0.9999	1	0.9999	1	Bacteria
Query32	0.5247	0.9196	0.5247	0.9196	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales
Query70	0.5025	0.6717	0.5025	0.6717	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query72	0.9113	0.9754	0.9113	0.9754	Eukaryota
Query58	0.6613	0.8925	0.6613	0.8925	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query56	0.5943	0.759	0.7758	0.9907	Eukaryota
Query63	0.7225	0.7954	0.8938	0.9839	Eukaryota
Query50	0.2063	0.5324	0.2063	0.5324	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query14	0.7509	0.7509	0.9696	0.9697	Eukaryota;Cnidaria;Hydrozoa
Query61	0.9689	0.9838	0.9689	0.9838	Eukaryota
Query82	0.6812	0.909	0.6812	0.909	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query24	0.8209	0.8248	0.9952	1	Eukaryota;Arthropoda
Query10	0.6228	0.623	0.9674	0.9678	Eukaryota
Query74	0.744	0.7557	0.744	0.7557	Eukaryota;Mollusca;Gastropoda;Neogastropoda
Query104	0.6221	0.6221	1	1	Eukaryota
Query15	0.6076	0.6076	0.6076	0.6076	Eukaryota;Entoprocta;Loxosomatidae;Loxosomatidae;Loxosomatidae
Query28	0.7856	0.8124	0.9378	0.9697	Eukaryota;Mollusca;Gastropoda
Query105	0.4326	0.4326	0.4326	0.4326	Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae
Query7	0.8728	0.873	0.8728	0.873	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query93	0.8978	0.9898	0.8978	0.9898	Bacteria
Query44	0.817	0.8276	0.9746	0.9872	Eukaryota
Query85	0.6522	0.8561	0.7452	0.9782	Eukaryota
Query52	0.318	0.5512	0.5651	0.9795	Eukaryota
Query66	0.9997	0.9997	0.9997	0.9997	Eukaryota;Porifera;Demospongiae;Suberitida
Query4	0.6798	0.6798	0.9815	0.9815	Eukaryota;Cnidaria;Hydrozoa
Query6	0.9999	0.9999	0.9999	0.9999	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query88	0.9185	0.9248	0.9671	0.9738	Eukaryota
Query2	0.5267	0.5269	0.9993	0.9996	Eukaryota
Query81	0.6922	0.7556	0.8959	0.9779	Eukaryota;Nematoda
Query38	0.601	0.6019	0.601	0.6019	Eukaryota;Annelida;Polychaeta;Spionida
Query78	0.7352	0.8168	0.839	0.9321	Eukaryota
Query47	0.8836	0.8846	0.9439	0.945	Bacteria
Query3	0.8958	0.8995	0.9698	0.9738	Eukaryota;Cnidaria;Hydrozoa
Query40	0.4092	0.6721	0.5913	0.9711	Eukaryota
Query65	0.5794	0.5848	0.8031	0.8107	Eukaryota;Arthropoda;Hexanauplia
Query13	0.7632	0.7715	0.946	0.9564	Eukaryota;Mollusca
Query71	0.8951	0.899	0.945	0.9491	Eukaryota;Arthropoda;Hexanauplia
Query23	0.7293	0.7293	1	1	Eukaryota
Query1	0.8491	0.8519	0.9925	0.9958	Eukaryota;Annelida;Polychaeta
Query79	0.9978	1	0.9978	1	Bacteria
Query42	0.8135	0.8135	0.9923	0.9923	Eukaryota
Query103	0.811	0.8193	0.963	0.9728	Eukaryota;Bacillariophyta;Mediophyceae
Query100	0.9396	0.9832	0.9396	0.9832	Eukaryota
Query91	0.5	0.5	1	1	Eukaryota;Cnidaria;Anthozoa
Query106	0.6408	0.6515	0.967	0.9831	Eukaryota;Cnidaria;Hydrozoa
Query90	0.9442	0.9442	0.9442	0.9442	Bacteria;Terrabacteria_group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus;composti;Agrilactobacillus;composti;DSM;18527;=;JCM;14202
Query64	0.6811	0.6811	0.9533	0.9533	Eukaryota;Arthropoda;Hexanauplia
Query35	0.7521	0.7521	1	1	Eukaryota;Entoprocta
Query36	0.4996	0.5	0.4996	0.5	Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae
Query94	0.6132	0.6181	0.9921	1	Eukaryota
Query109	0.8995	0.8995	0.8995	0.8995	DISTANT
Query75	1	1	1	1	Bacteria
Query92	0.5488	0.5488	0.9853	0.9853	Eukaryota;Bacillariophyta;Bacillariophyceae
Query57	0.625	0.625	0.9588	0.9588	Eukaryota;Porifera;Demospongiae
Query62	0.7057	0.7082	0.987	0.9905	Eukaryota;Arthropoda
Query5	0.7099	0.7099	0.7099	0.7099	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
Query46	0.4748	0.9948	0.4748	0.9948	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query108	0.7753	0.7754	0.7753	0.7754	Eukaryota;Euglenozoa;Euglenida
Query55	0.5549	0.5564	0.9973	1	Eukaryota
Query11	0.7279	0.7279	0.9725	0.9725	Eukaryota;Cnidaria;Hydrozoa
Query45	0.689	0.6894	0.689	0.6894	Eukaryota;Mollusca;Gastropoda;Paludomidae;Paludomidae
Query18	0.3213	0.3296	0.3213	0.3296	Eukaryota;Annelida;Polychaeta;Spionida
