name	LWR	fract	aLWR	afract	taxopath
Query44	0.1834	0.4787	0.3534	0.9225	Eukaryota
Query44	0.17	0.4437	0.17	0.4437	Eukaryota;Rhodophyta
Query44	0.0297	0.07752	0.0297	0.07752	DISTANT
Query40	0.5135	0.5627	0.8953	0.981	Eukaryota
Query40	0.1378	0.151	0.1378	0.151	Eukaryota;Bacillariophyta
Query40	0	0	0.244	0.2674	Eukaryota;Cnidaria
Query40	0.2365	0.2591	0.244	0.2674	Eukaryota;Cnidaria;Hydrozoa
Query40	0.007546	0.008269	0.007546	0.008269	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae
Query40	0.0173	0.01895	0.0173	0.01895	DISTANT
Query107	0.7992	0.8005	0.9832	0.9847	Eukaryota
Query107	0	0	0.03294	0.03299	Eukaryota;Chlorophyta
Query107	0	0	0.03294	0.03299	Eukaryota;Chlorophyta;Pedinophyceae
Query107	0	0	0.03294	0.03299	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales
Query107	0	0	0.03294	0.03299	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae
Query107	0	0	0.03294	0.03299	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas
Query107	0.03294	0.03299	0.03294	0.03299	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas;Pedinomonas_minor
Query107	0	0	0.151	0.1513	Eukaryota;Discosea
Query107	0	0	0.151	0.1513	Eukaryota;Discosea;Himatismenida
Query107	0.151	0.1513	0.151	0.1513	Eukaryota;Discosea;Himatismenida;Himatismenida
Query107	0.01524	0.01527	0.01524	0.01527	DISTANT
Query82	0.1037	0.1054	0.96	0.9751	Eukaryota
Query82	0.7647	0.7768	0.7647	0.7768	Eukaryota;Rhodophyta
Query82	0	0	0.06447	0.06549	Eukaryota;Haptista
Query82	0.06447	0.06549	0.06447	0.06549	Eukaryota;Haptista;Haptophyta
Query82	0	0	0.02706	0.02749	Eukaryota;Bolidophyceae
Query82	0	0	0.02706	0.02749	Eukaryota;Bolidophyceae;Bolidophyceae
Query82	0	0	0.02706	0.02749	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales
Query82	0	0	0.02706	0.02749	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales;Triparmaceae
Query82	0	0	0.02706	0.02749	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales;Triparmaceae;Triparma
Query82	0.02706	0.02749	0.02706	0.02749	Eukaryota;Bolidophyceae;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma_laevis
Query82	0.02451	0.02489	0.02451	0.02489	DISTANT
Query92	0	0	0.9754	0.9785	Eukaryota
Query92	0.7147	0.717	0.9754	0.9785	Eukaryota;Bacillariophyta
Query92	0	0	0.2607	0.2615	Eukaryota;Bacillariophyta;Bacillariophyceae
Query92	0.1983	0.1989	0.1983	0.1989	Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales
Query92	0.06242	0.06262	0.06242	0.06262	Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales
Query92	0.02138	0.02145	0.02138	0.02145	DISTANT
Query50	0.6928	0.9433	0.7168	0.9759	Eukaryota
Query50	0	0	0.01871	0.02548	Eukaryota;Imbricatea
Query50	0	0	0.01871	0.02548	Eukaryota;Imbricatea;Euglyphida
Query50	0.01871	0.02548	0.01871	0.02548	Eukaryota;Imbricatea;Euglyphida;Euglyphida
Query50	0	0	0.005267	0.007171	Eukaryota;Discosea
Query50	0	0	0.005267	0.007171	Eukaryota;Discosea;Flabellinia
Query50	0.005267	0.007171	0.005267	0.007171	Eukaryota;Discosea;Flabellinia;Dactylopodida
Query50	0.01769	0.02409	0.01769	0.02409	DISTANT
Query100	0.8158	0.8482	0.9548	0.9927	Eukaryota
Query100	0	0	0.1279	0.133	Eukaryota;Imbricatea
Query100	0	0	0.1279	0.133	Eukaryota;Imbricatea;Euglyphida
Query100	0.1279	0.133	0.1279	0.133	Eukaryota;Imbricatea;Euglyphida;Euglyphida
Query100	0	0	0.01108	0.01152	Eukaryota;Cercozoa
Query100	0.01108	0.01152	0.01108	0.01152	Eukaryota;Cercozoa;Chlorarachniophyceae
Query100	0.006991	0.007268	0.006991	0.007268	DISTANT
Query24	0.9444	0.9444	0.9671	0.9671	Eukaryota
Query24	0	0	0.005039	0.005039	Eukaryota;Gastrotricha
Query24	0	0	0.005039	0.005039	Eukaryota;Gastrotricha;Chaetonotida
Query24	0.005039	0.005039	0.005039	0.005039	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query24	0.01375	0.01375	0.01759	0.01759	Eukaryota;Arthropoda
Query24	0	0	0.003847	0.003847	Eukaryota;Arthropoda;Arachnida
Query24	0	0	0.003847	0.003847	Eukaryota;Arthropoda;Arachnida;Opilioacarida
Query24	0	0	0.003847	0.003847	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae
Query24	0	0	0.003847	0.003847	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus
Query24	0.003847	0.003847	0.003847	0.003847	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus;Neocarus_bajacalifornicus
Query24	0.03293	0.03293	0.03293	0.03293	DISTANT
Query18	0	0	0.9154	0.9728	Eukaryota
Query18	0	0	0.9154	0.9728	Eukaryota;Annelida
Query18	0.4487	0.4768	0.8394	0.892	Eukaryota;Annelida;Polychaeta
Query18	0.385	0.4091	0.385	0.4091	Eukaryota;Annelida;Polychaeta;Spionida
Query18	0	0	1.646e-06	1.749e-06	Eukaryota;Annelida;Polychaeta;Opheliidae
Query18	1.646e-06	1.749e-06	1.646e-06	1.749e-06	Eukaryota;Annelida;Polychaeta;Opheliidae;Opheliidae
Query18	0.005657	0.006011	0.005657	0.006011	Eukaryota;Annelida;Polychaeta;Terebellida
Query18	0.05766	0.06127	0.07601	0.08078	Eukaryota;Annelida;Clitellata
Query18	0	0	0.007946	0.008444	Eukaryota;Annelida;Clitellata;Capilloventridae
Query18	0	0	0.007946	0.008444	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae
Query18	0	0	0.007946	0.008444	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer
Query18	0.007946	0.008444	0.007946	0.008444	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer;Capilloventer_australis
Query18	0	0	0.01041	0.01106	Eukaryota;Annelida;Clitellata;Moniligastrida
Query18	0	0	0.01041	0.01106	Eukaryota;Annelida;Clitellata;Moniligastrida;Moniligastridae
Query18	0.01041	0.01106	0.01041	0.01106	Eukaryota;Annelida;Clitellata;Moniligastrida;Moniligastridae;Drawida
Query18	0.02561	0.02721	0.02561	0.02721	DISTANT
Query62	0.2724	0.275	0.9833	0.9929	Eukaryota
