LWR	fract	aLWR	afract	taxopath
35.92	0.1901	185.4	0.9811	Eukaryota
0	0	3.774	0.01997	Eukaryota;Bryozoa
0	0	3.741	0.0198	Eukaryota;Bryozoa;Gymnolaemata
3.741	0.0198	3.741	0.0198	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
0	0	0.03309	0.0001751	Eukaryota;Bryozoa;Phylactolaemata
0	0	0.03309	0.0001751	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae
0	0	0.03309	0.0001751	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae
0	0	0.03309	0.0001751	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella
0.03309	0.0001751	0.03309	0.0001751	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella;Fredericella_sultana
2.927	0.01549	7.351	0.03891	Eukaryota;Arthropoda
0	0	0.2808	0.001486	Eukaryota;Arthropoda;Insecta
0	0	0.0241	0.0001276	Eukaryota;Arthropoda;Insecta;Zoraptera
0.0241	0.0001276	0.0241	0.0001276	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
0.2567	0.001358	0.2567	0.001358	Eukaryota;Arthropoda;Insecta;Embioptera
0.4112	0.002176	0.6249	0.003308	Eukaryota;Arthropoda;Diplopoda
0.2138	0.001131	0.2138	0.001131	Eukaryota;Arthropoda;Diplopoda;Spirostreptida
0	0	0.02853	0.000151	Eukaryota;Arthropoda;Arachnida
0.02853	0.000151	0.02853	0.000151	Eukaryota;Arthropoda;Arachnida;Amblypygi
0	0	0.547	0.002895	Eukaryota;Arthropoda;Ichthyostraca
0	0	0.547	0.002895	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
0	0	0.547	0.002895	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
0.547	0.002895	0.547	0.002895	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
0.7605	0.004025	1.952	0.01033	Eukaryota;Arthropoda;Hexanauplia
1.191	0.006305	1.191	0.006305	Eukaryota;Arthropoda;Hexanauplia;Sessilia
0.5741	0.003039	0.9907	0.005244	Eukaryota;Arthropoda;Malacostraca
0.4166	0.002205	0.4166	0.002205	Eukaryota;Arthropoda;Malacostraca;Mysida
0	0	0.7097	0.003757	Eukaryota;Ascomycota
0	0	0.7097	0.003757	Eukaryota;Ascomycota;Sordariomycetes
0	0	0.7097	0.003757	Eukaryota;Ascomycota;Sordariomycetes;Koralionastetales
0	0	0.7097	0.003757	Eukaryota;Ascomycota;Sordariomycetes;Koralionastetales;Koralionastetaceae
0	0	0.7097	0.003757	Eukaryota;Ascomycota;Sordariomycetes;Koralionastetales;Koralionastetaceae;Pontogeneia
0.7097	0.003757	0.7097	0.003757	Eukaryota;Ascomycota;Sordariomycetes;Koralionastetales;Koralionastetaceae;Pontogeneia;Pontogeneia_inermis
3.421	0.01811	64.49	0.3413	Eukaryota;Annelida
48.76	0.2581	60.99	0.3228	Eukaryota;Annelida;Polychaeta
3.079	0.0163	3.079	0.0163	Eukaryota;Annelida;Polychaeta;Spionida
0	0	6.481	0.0343	Eukaryota;Annelida;Polychaeta;Opheliidae
6.481	0.0343	6.481	0.0343	Eukaryota;Annelida;Polychaeta;Opheliidae;Opheliidae
0	0	0.08687	0.0004598	Eukaryota;Annelida;Polychaeta;Saccocirridae
0.08687	0.0004598	0.08687	0.0004598	Eukaryota;Annelida;Polychaeta;Saccocirridae;Saccocirridae
0.4792	0.002536	0.4792	0.002536	Eukaryota;Annelida;Polychaeta;Terebellida
0	0	0.2806	0.001485	Eukaryota;Annelida;Polychaeta;Protodrilidae
0.2806	0.001485	0.2806	0.001485	Eukaryota;Annelida;Polychaeta;Protodrilidae;Protodrilidae
0	0	6.007e-06	3.179e-08	Eukaryota;Annelida;Polychaeta;Polygordiidae
0	0	6.007e-06	3.179e-08	Eukaryota;Annelida;Polychaeta;Polygordiidae;Polygordiidae
6.007e-06	3.179e-08	6.007e-06	3.179e-08	Eukaryota;Annelida;Polychaeta;Polygordiidae;Polygordiidae;Polygordius
1.816	0.009611	1.816	0.009611	Eukaryota;Annelida;Polychaeta;Eunicida
0.05143	0.0002722	0.0685	0.0003626	Eukaryota;Annelida;Clitellata
0	0	0.005885	3.115e-05	Eukaryota;Annelida;Clitellata;Capilloventridae
0	0	0.005885	3.115e-05	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae
0	0	0.005885	3.115e-05	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer
0.005885	3.115e-05	0.005885	3.115e-05	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer;Capilloventer_australis
0	0	0.01119	5.923e-05	Eukaryota;Annelida;Clitellata;Moniligastrida
0	0	0.01119	5.923e-05	Eukaryota;Annelida;Clitellata;Moniligastrida;Moniligastridae
0.01119	5.923e-05	0.01119	5.923e-05	Eukaryota;Annelida;Clitellata;Moniligastrida;Moniligastridae;Drawida
0	0	0.01338	7.084e-05	Eukaryota;Annelida;Hrabeiella
0	0	0.01338	7.084e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella
0	0	0.01338	7.084e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella
0	0	0.01338	7.084e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella
0	0	0.01338	7.084e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella
0.01338	7.084e-05	0.01338	7.084e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella;periglandulata
1.414	0.007487	20.82	0.1102	Eukaryota;Mollusca
0	0	11.37	0.06018	Eukaryota;Mollusca;Bivalvia
0	0	0.3196	0.001692	Eukaryota;Mollusca;Bivalvia;Nuculoida
0.3196	0.001692	0.3196	0.001692	Eukaryota;Mollusca;Bivalvia;Nuculoida;Nuculidae
11.05	0.05849	11.05	0.05849	Eukaryota;Mollusca;Bivalvia;Ostreoida
0.03735	0.0001977	0.03735	0.0001977	Eukaryota;Mollusca;Caudofoveata
2.375	0.01257	7.992	0.0423	Eukaryota;Mollusca;Gastropoda
0	0	0.01146	6.065e-05	Eukaryota;Mollusca;Gastropoda;Patellidae
0.01146	6.065e-05	0.01146	6.065e-05	Eukaryota;Mollusca;Gastropoda;Patellidae;Patellidae
0	0	0.3189	0.001688	Eukaryota;Mollusca;Gastropoda;Rubyspira
0	0	0.3189	0.001688	Eukaryota;Mollusca;Gastropoda;Rubyspira;Rubyspira
0.3189	0.001688	0.3189	0.001688	Eukaryota;Mollusca;Gastropoda;Rubyspira;Rubyspira;Rubyspira
0.3073	0.001626	0.3073	0.001626	Eukaryota;Mollusca;Gastropoda;Neogastropoda
0	0	4.867e-06	2.576e-08	Eukaryota;Mollusca;Gastropoda;Cerithiopsidae
4.867e-06	2.576e-08	4.867e-06	2.576e-08	Eukaryota;Mollusca;Gastropoda;Cerithiopsidae;Cerithiopsidae
4.375	0.02316	4.375	0.02316	Eukaryota;Mollusca;Gastropoda;Pleurotomariida
0.1423	0.0007533	0.1423	0.0007533	Eukaryota;Mollusca;Gastropoda;Nudibranchia
0	0	0.05079	0.0002688	Eukaryota;Mollusca;Gastropoda;Pleurobranchida
0.05079	0.0002688	0.05079	0.0002688	Eukaryota;Mollusca;Gastropoda;Pleurobranchida;Pleurobranchidae
0	0	2.721e-06	1.44e-08	Eukaryota;Mollusca;Gastropoda;Acteonidae
2.721e-06	1.44e-08	2.721e-06	1.44e-08	Eukaryota;Mollusca;Gastropoda;Acteonidae;Acteonidae
0	0	0.4113	0.002177	Eukaryota;Mollusca;Gastropoda;Siphonariida
0.4113	0.002177	0.4113	0.002177	Eukaryota;Mollusca;Gastropoda;Siphonariida;Siphonariidae
0.005925	3.136e-05	0.005925	3.136e-05	Eukaryota;Mollusca;Solenogastres
3.372	0.01785	5.97	0.0316	Eukaryota;Entoprocta
0	0	0.8134	0.004305	Eukaryota;Entoprocta;Barentsiidae
0	0	0.8134	0.004305	Eukaryota;Entoprocta;Barentsiidae;Barentsiidae
0	0	0.8134	0.004305	Eukaryota;Entoprocta;Barentsiidae;Barentsiidae;Barentsiidae
0.8134	0.004305	0.8134	0.004305	Eukaryota;Entoprocta;Barentsiidae;Barentsiidae;Barentsiidae;Barentsia
0	0	2.372e-06	1.255e-08	Eukaryota;Entoprocta;Pedicellinidae
0	0	2.372e-06	1.255e-08	Eukaryota;Entoprocta;Pedicellinidae;Pedicellinidae
2.372e-06	1.255e-08	2.372e-06	1.255e-08	Eukaryota;Entoprocta;Pedicellinidae;Pedicellinidae;Pedicellinidae
0	0	1.785	0.009448	Eukaryota;Entoprocta;Loxosomatidae
0	0	1.785	0.009448	Eukaryota;Entoprocta;Loxosomatidae;Loxosomatidae
1.785	0.009448	1.785	0.009448	Eukaryota;Entoprocta;Loxosomatidae;Loxosomatidae;Loxosomatidae
0	0	0.6704	0.003549	Eukaryota;Cycliophora
0	0	0.6704	0.003549	Eukaryota;Cycliophora;Symbion
