LWR	fract	aLWR	afract	taxopath
1661	0.1051	1.522e+04	0.9631	Eukaryota
108.4	0.006864	532.1	0.03368	Eukaryota;Arthropoda
131	0.008289	322	0.02038	Eukaryota;Arthropoda;Hexanauplia
3.59	0.0002272	3.59	0.0002272	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
185.5	0.01174	185.5	0.01174	Eukaryota;Arthropoda;Hexanauplia;Sessilia
1.985	0.0001257	1.985	0.0001257	Eukaryota;Arthropoda;Hexanauplia;Calanoida
0.002562	1.622e-07	0.002562	1.622e-07	Eukaryota;Arthropoda;Hexanauplia;Pedunculata
0.03702	2.343e-06	42.06	0.002662	Eukaryota;Arthropoda;Insecta
37.96	0.002403	37.96	0.002403	Eukaryota;Arthropoda;Insecta;Embioptera
0	0	3.655	0.0002313	Eukaryota;Arthropoda;Insecta;Zoraptera
3.655	0.0002313	3.655	0.0002313	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
0.3654	2.313e-05	0.3654	2.313e-05	Eukaryota;Arthropoda;Insecta;Strepsiptera
0.04021	2.545e-06	0.04021	2.545e-06	Eukaryota;Arthropoda;Insecta;Odonata
1.466	9.278e-05	1.466	9.278e-05	Eukaryota;Arthropoda;Remipedia
20.64	0.001306	35.56	0.002251	Eukaryota;Arthropoda;Malacostraca
14.92	0.000944	14.92	0.000944	Eukaryota;Arthropoda;Malacostraca;Mysida
0	0	6.367	0.000403	Eukaryota;Arthropoda;Ichthyostraca
0	0	6.367	0.000403	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
0	0	6.367	0.000403	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
6.367	0.000403	6.367	0.000403	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
7.418	0.0004695	13.41	0.0008487	Eukaryota;Arthropoda;Diplopoda
3.085	0.0001952	3.085	0.0001952	Eukaryota;Arthropoda;Diplopoda;Spirostreptida
0	0	2.715	0.0001718	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida
0	0	2.715	0.0001718	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae
0	0	2.715	0.0001718	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus
2.715	0.0001718	2.715	0.0001718	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus;Glomeridesmus_spelaeus
0.01883	1.192e-06	0.01883	1.192e-06	Eukaryota;Arthropoda;Diplopoda;Spirobolida
0	0	0.09832	6.223e-06	Eukaryota;Arthropoda;Diplopoda;Siphonophorida
0.09832	6.223e-06	0.09832	6.223e-06	Eukaryota;Arthropoda;Diplopoda;Siphonophorida;Siphonophoridae
0	0	0.0644	4.076e-06	Eukaryota;Arthropoda;Diplopoda;Polyzoniida
0.0644	4.076e-06	0.0644	4.076e-06	Eukaryota;Arthropoda;Diplopoda;Polyzoniida;Polyzoniidae
0	0	0.01	6.332e-07	Eukaryota;Arthropoda;Diplopoda;Playtdesmida
0.01	6.332e-07	0.01	6.332e-07	Eukaryota;Arthropoda;Diplopoda;Playtdesmida;Andrognathidae
0	0	1.754	0.000111	Eukaryota;Arthropoda;Arachnida
0	0	0.08933	5.654e-06	Eukaryota;Arthropoda;Arachnida;Opilioacarida
0	0	0.08933	5.654e-06	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae
0	0	0.08933	5.654e-06	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus
0.08933	5.654e-06	0.08933	5.654e-06	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus;Neocarus_bajacalifornicus
1.581	0.0001001	1.581	0.0001001	Eukaryota;Arthropoda;Arachnida;Amblypygi
0	0	0.08348	5.284e-06	Eukaryota;Arthropoda;Arachnida;Uropygi
0.08348	5.284e-06	0.08348	5.284e-06	Eukaryota;Arthropoda;Arachnida;Uropygi;Thelyphonidae
0	0	0.001987	1.258e-07	Eukaryota;Arthropoda;Diplura
0.001987	1.258e-07	0.001987	1.258e-07	Eukaryota;Arthropoda;Diplura;Diplura
0	0	1.028	6.509e-05	Eukaryota;Arthropoda;Cephalocarida
0	0	1.028	6.509e-05	Eukaryota;Arthropoda;Cephalocarida;Brachypoda
1.028	6.509e-05	1.028	6.509e-05	Eukaryota;Arthropoda;Cephalocarida;Brachypoda;Hutchinsoniellidae
190.3	0.01204	740	0.04684	Eukaryota;Chordata
0	0	0.4717	2.985e-05	Eukaryota;Chordata;Leptocardii
0	0	0.4717	2.985e-05	Eukaryota;Chordata;Leptocardii;Amphioxiformes
0.4717	2.985e-05	0.4717	2.985e-05	Eukaryota;Chordata;Leptocardii;Amphioxiformes;Branchiostomidae
1.499	9.488e-05	19.44	0.001231	Eukaryota;Chordata;Actinopteri
0	0	0.0002856	1.807e-08	Eukaryota;Chordata;Actinopteri;Semionotiformes
0.0002856	1.807e-08	0.0002856	1.807e-08	Eukaryota;Chordata;Actinopteri;Semionotiformes;Lepisosteidae
0	0	17.46	0.001105	Eukaryota;Chordata;Actinopteri;Polycentridae
17.46	0.001105	17.46	0.001105	Eukaryota;Chordata;Actinopteri;Polycentridae;Polycentridae
0	0	0.4139	2.62e-05	Eukaryota;Chordata;Actinopteri;Moronidae
0.4139	2.62e-05	0.4139	2.62e-05	Eukaryota;Chordata;Actinopteri;Moronidae;Moronidae
0.06811	4.311e-06	0.06811	4.311e-06	Eukaryota;Chordata;Actinopteri;Gadiformes
0	0	19.71	0.001248	Eukaryota;Chordata;Appendicularia
0	0	19.71	0.001248	Eukaryota;Chordata;Appendicularia;Copelata
19.71	0.001248	19.71	0.001248	Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae
0	0	509.2	0.03223	Eukaryota;Chordata;Ascidiacea
509.2	0.03223	509.2	0.03223	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
0	0	0.3862	2.445e-05	Eukaryota;Chordata;Thaliacea
0	0	0.3862	2.445e-05	Eukaryota;Chordata;Thaliacea;Doliolida
0	0	0.3862	2.445e-05	Eukaryota;Chordata;Thaliacea;Doliolida;Doliolidae
0	0	0.3862	2.445e-05	Eukaryota;Chordata;Thaliacea;Doliolida;Doliolidae;Doliolum
0.3862	2.445e-05	0.3862	2.445e-05	Eukaryota;Chordata;Thaliacea;Doliolida;Doliolidae;Doliolum;Doliolum_nationalis
0.2582	1.634e-05	0.5579	3.531e-05	Eukaryota;Chordata;Mammalia
0.2997	1.897e-05	0.2997	1.897e-05	Eukaryota;Chordata;Mammalia;Primates
0	0	0.01419	8.983e-07	Eukaryota;Chordata;Aves
0.01419	8.983e-07	0.01419	8.983e-07	Eukaryota;Chordata;Aves;Passeriformes
0	0	447.5	0.02832	Eukaryota;Bryozoa
0	0	444.5	0.02814	Eukaryota;Bryozoa;Gymnolaemata
444.5	0.02814	444.5	0.02814	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
0.6891	4.362e-05	2.967	0.0001878	Eukaryota;Bryozoa;Phylactolaemata
0	0	2.002	0.0001267	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae
0	0	2.002	0.0001267	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae
0	0	2.002	0.0001267	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella
2.002	0.0001267	2.002	0.0001267	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella;Fredericella_sultana
