OTU	amplicon	ERR3460467	total
11	ERR3460467:1004590.609799	1	1
12	ERR3460467:1006450.619204	1	1
16	ERR3460467:1019170.706094	1	1
17	ERR3460467:1020010.698352	1	1
21	ERR3460467:1037650.651100	1	1
25	ERR3460467:1052430.679855	1	1
26	ERR3460467:1059350.669398	1	1
27	ERR3460467:1060490.609439	1	1
28	ERR3460467:1062220.610852	1	1
29	ERR3460467:1064010.615274	1	1
32	ERR3460467:1074300.621973	1	1
33	ERR3460467:1075640.618233	1	1
35	ERR3460467:1082580.676144	1	1
36	ERR3460467:1083540.600924	1	1
38	ERR3460467:1096470.662923	1	1
39	ERR3460467:1100190.645540	1	1
40	ERR3460467:1105120.607768	1	1
42	ERR3460467:1112860.611957	1	1
43	ERR3460467:1114270.600521	1	1
45	ERR3460467:1127000.613025	1	1
46	ERR3460467:1129390.638359	1	1
47	ERR3460467:1129630.662153	1	1
48	ERR3460467:1130940.627536	1	1
50	ERR3460467:113870.708941	1	1
52	ERR3460467:1147190.612170	1	1
53	ERR3460467:1158190.609358	1	1
54	ERR3460467:1164120.689070	1	1
55	ERR3460467:1171630.630836	1	1
59	ERR3460467:1175830.705628	1	1
60	ERR3460467:1178800.606216	2	2
61	ERR3460467:1181740.675701	1	1
64	ERR3460467:1191040.665045	1	1
65	ERR3460467:1195390.626429	2	2
67	ERR3460467:11990.605628	1	1
68	ERR3460467:1201060.613488	1	1
70	ERR3460467:120600.647563	1	1
71	ERR3460467:1211970.613872	1	1
73	ERR3460467:1225170.612183	1	1
76	ERR3460467:1227830.648895	1	1
77	ERR3460467:1230300.683728	1	1
78	ERR3460467:1233810.699199	1	1
79	ERR3460467:1234210.617798	2	2
80	ERR3460467:1239630.666579	1	1
81	ERR3460467:1243710.671993	1	1
82	ERR3460467:1244020.600612	1	1
83	ERR3460467:1245680.608229	1	1
84	ERR3460467:1247910.686357	1	1
85	ERR3460467:1251630.605189	1	1
86	ERR3460467:1254940.681773	1	1
87	ERR3460467:1256830.676425	1	1
89	ERR3460467:1270770.612291	1	1
90	ERR3460467:1272200.617987	1	1
91	ERR3460467:1275360.618200	1	1
92	ERR3460467:1276160.619977	1	1
93	ERR3460467:1277020.624722	1	1
94	ERR3460467:1282840.625863	1	1
95	ERR3460467:1283440.601407	1	1
96	ERR3460467:1286000.614807	1	1
99	ERR3460467:1298770.604783	1	1
100	ERR3460467:1302510.605544	1	1
102	ERR3460467:130920.611015	1	1
103	ERR3460467:1320680.603286	1	1
104	ERR3460467:1321040.620107	1	1
105	ERR3460467:1327090.621956	1	1
106	ERR3460467:1330110.601450	1	1
107	ERR3460467:1330180.617145	1	1
108	ERR3460467:1330230.611802	1	1
109	ERR3460467:1333370.614904	1	1
110	ERR3460467:13430.628584	1	1
111	ERR3460467:1362840.619121	1	1
112	ERR3460467:1369950.619259	1	1
113	ERR3460467:1373350.614508	1	1
114	ERR3460467:1375540.633402	1	1
115	ERR3460467:1380320.631595	1	1
116	ERR3460467:1380950.611317	1	1
117	ERR3460467:1382150.618166	1	1
118	ERR3460467:1382800.600156	1	1
119	ERR3460467:1388890.614895	1	1
