name	LWR	fract	aLWR	afract	taxopath
Query14	0.8189	0.8235	0.9944	1	Eukaryota;Arthropoda
Query44	0.4051	0.4163	0.9637	0.9903	Eukaryota
Query61	0.6136	0.6206	0.9394	0.9502	Eukaryota;Arthropoda;Hexanauplia
Query28	0.8015	0.8075	0.9925	1	Eukaryota;Arthropoda
Query31	0.7359	0.7359	0.7359	0.7359	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
Query19	0.8618	0.8645	0.9929	0.996	Eukaryota;Annelida;Polychaeta
Query46	0.9097	0.9145	0.9882	0.9935	Eukaryota;Annelida;Polychaeta
Query37	0.4808	0.511	0.5986	0.6362	Eukaryota;Arthropoda
Query42	0.8737	0.8737	0.8737	0.8737	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query27	0.4448	0.4695	0.9473	1	Eukaryota
Query56	0.8616	0.9067	0.9035	0.9508	Eukaryota;Porifera;Demospongiae
Query59	0.4855	0.487	0.967	0.97	Eukaryota
Query64	0.8049	0.8049	0.8049	0.8049	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query8	0.6135	0.6135	0.939	0.9391	Eukaryota;Arthropoda;Hexanauplia
Query67	0.8192	0.8193	1	1	Eukaryota;Arthropoda
Query23	0.5001	0.5001	1	1	Eukaryota
Query71	0.918	0.9226	0.9882	0.9932	Eukaryota;Annelida;Polychaeta
Query4	0.8128	0.8164	0.9915	0.9959	Eukaryota;Annelida;Polychaeta
Query45	0.6563	0.6906	0.9503	1	Eukaryota
Query57	0.8066	0.8066	0.9819	0.9819	Eukaryota;Arthropoda
Query66	0.9097	0.9097	0.9097	0.9097	Eukaryota;Porifera;Demospongiae;Suberitida
Query40	0.5747	0.5747	0.5748	0.5748	Eukaryota;Euglenozoa;Euglenida
Query21	0.5945	0.6072	0.9314	0.9513	Eukaryota;Arthropoda;Hexanauplia
Query30	0.7975	0.7979	0.9995	1	Eukaryota;Arthropoda
Query10	0.6681	0.6735	0.9798	0.9878	Eukaryota
Query24	0.834	0.8374	0.834	0.8374	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query55	0.8154	0.8228	0.9854	0.9944	Eukaryota;Annelida;Polychaeta
Query73	0.7262	0.7321	0.9819	0.9899	Eukaryota
Query13	0.7011	0.7011	0.7011	0.7011	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query36	0.9232	0.9308	0.9692	0.9772	Eukaryota;Cnidaria;Hydrozoa
Query65	0.6267	0.6411	0.6267	0.6412	Eukaryota;Euglenozoa;Euglenida
Query60	0.8262	0.8262	0.9928	0.9928	Eukaryota;Annelida;Polychaeta
Query47	0.8567	0.8598	0.9924	0.996	Eukaryota;Annelida;Polychaeta
Query63	0.8752	0.8754	0.8752	0.8754	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query1	0.5572	0.5623	0.9817	0.9907	Eukaryota
Query51	0.6401	0.6545	0.6401	0.6546	Eukaryota;Euglenozoa;Euglenida
Query17	0.5614	0.5934	0.9345	0.9878	Eukaryota
Query35	0.7879	0.7879	1	1	Eukaryota;Arthropoda
Query29	0.9215	0.9217	0.9215	0.9217	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query2	0.8568	0.86	0.9923	0.996	Eukaryota;Annelida;Polychaeta
Query52	0.8385	0.8453	0.987	0.9948	Eukaryota;Annelida;Polychaeta
Query58	0.849	0.8508	0.849	0.8508	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query50	0.8391	0.8391	0.8391	0.8391	Bacteria;Terrabacteria_group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus;composti;Agrilactobacillus;composti;DSM;18527;=;JCM;14202
Query34	0.3641	0.3747	0.3641	0.3747	Eukaryota;Annelida;Polychaeta;Spionida
Query72	0.7365	0.7365	0.7365	0.7365	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
Query32	0.885	0.885	0.885	0.885	Bacteria;Terrabacteria_group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus;composti;Agrilactobacillus;composti;DSM;18527;=;JCM;14202
Query62	0.6726	0.6749	0.9966	1	Eukaryota
Query54	0.8096	0.8122	0.9936	0.9968	Eukaryota;Annelida;Polychaeta
Query3	0.7412	0.7412	0.7412	0.7412	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
Query38	0.8299	0.8355	0.9888	0.9955	Eukaryota;Annelida;Polychaeta
Query20	0.8271	0.8271	0.8271	0.8271	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query41	0.7162	0.7162	0.7162	0.7162	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
Query70	0.8288	0.8309	0.9943	0.9968	Eukaryota;Annelida;Polychaeta
Query15	0.7745	0.7745	0.7745	0.7745	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query48	0.5029	0.5029	1	1	Eukaryota
Query25	0.9407	0.9407	0.9407	0.9407	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query39	0.8078	0.8115	0.9918	0.9965	Eukaryota;Annelida;Polychaeta
Query22	0.1124	0.5546	0.1124	0.5546	Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales
Query6	1	1	1	1	Eukaryota;Euglenozoa;Euglenida
Query26	0.8241	0.8241	0.8241	0.8241	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query16	0.546	0.546	1	1	Eukaryota
Query11	0.7049	0.7049	0.7049	0.7049	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query33	0.9647	0.9647	0.9647	0.9647	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query43	0.8182	0.8223	0.991	0.996	Eukaryota;Annelida;Polychaeta
Query12	0.818	0.818	0.818	0.818	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query18	0.5016	0.5016	0.9979	0.9979	Eukaryota;Bacillariophyta;Bacillariophyceae
Query9	0.5106	0.5106	1	1	Eukaryota
Query5	0.9999	0.9999	0.9999	0.9999	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query7	0.736	0.736	0.736	0.736	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query49	0.9697	0.9697	0.9697	0.9697	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query74	0.7338	0.7338	0.7338	0.7338	Eukaryota;Chordata;Ascidiacea;Stolidobranchia
Query68	0.6732	0.6732	0.6732	0.6732	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
