name	LWR	fract	aLWR	afract	taxopath
Query1187	0.8213	0.8213	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query911	0.6356	0.6356	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2539	0.6405	0.6405	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query580	0.5187	0.519	0.5187	0.519	DISTANT
Query978	0.7815	0.7815	0.8954	0.8954	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query763	0.7273	0.7273	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2205	0.9314	0.9314	0.9314	0.9314	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3199	0.9028	0.9028	0.9028	0.9028	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3095	0.334	0.699	0.4348	0.9101	Bacteria;Proteobacteria;Gammaproteobacteria
Query1719	0.5336	0.5336	0.5336	0.5336	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query3177	0.4749	0.4749	0.4749	0.4749	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query961	0.463	0.463	0.8086	0.8086	Eukaryota;Cnidaria;Myxozoa
Query1007	0.6815	0.6815	0.859	0.859	Eukaryota;Cnidaria;Myxozoa
Query965	0.9504	0.9513	0.9504	0.9513	Bacteria;Proteobacteria;Alphaproteobacteria
Query928	0.9046	0.9066	0.9603	0.9625	Bacteria;Proteobacteria;Alphaproteobacteria
Query3032	0.9785	0.9805	0.9785	0.9805	Eukaryota;Haptista;Haptophyta
Query3427	0.9125	0.9218	0.9641	0.974	Eukaryota
Query1509	0.4372	0.4377	0.5468	0.5473	Eukaryota;Arthropoda
Query1383	0.5406	0.5413	0.6825	0.6833	Eukaryota;Arthropoda
Query184	0.7466	0.7467	0.9939	0.994	Eukaryota;Arthropoda
Query1520	0.7617	0.7637	0.9866	0.9892	Eukaryota;Arthropoda
Query3408	0.7425	0.7442	0.9571	0.9593	Eukaryota;Arthropoda
Query381	0.9672	0.9726	0.9672	0.9726	Eukaryota
Query2934	0.933	0.9343	0.9754	0.9767	Eukaryota
Query117	0.7535	0.7539	0.9917	0.9923	Eukaryota;Arthropoda
Query311	0.7443	0.7454	0.9893	0.9908	Eukaryota;Arthropoda
Query491	0.8422	0.8422	0.989	0.989	Eukaryota
Query2336	0.7418	0.7425	0.9952	0.9962	Eukaryota
Query337	0.7512	0.7522	0.9892	0.9905	Eukaryota;Arthropoda
Query1569	0.6926	0.6945	0.9028	0.9052	Eukaryota;Arthropoda
Query1071	0.4735	0.4978	0.9459	0.9945	Eukaryota
Query3223	0.6363	0.6364	0.6363	0.6364	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query2995	0.6691	0.6762	0.7956	0.804	Eukaryota;Bacillariophyta;Mediophyceae
Query1782	0.6839	0.6839	0.6839	0.6839	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query1631	0.6457	0.6457	0.6457	0.6457	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query2002	0.6579	0.6579	0.6579	0.6579	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales
Query1921	0.5407	0.5426	0.5407	0.5426	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query2325	0.7877	0.7958	0.9525	0.9623	Eukaryota
Query1724	0.9858	0.9858	0.9867	0.9867	Eukaryota
Query1874	0.8848	0.8855	0.9723	0.973	Eukaryota
Query23	0.7675	0.7692	0.9884	0.9905	Eukaryota;Arthropoda
Query1299	0.7553	0.7553	0.9895	0.9896	Eukaryota
Query3080	0.7209	0.7277	0.9294	0.9383	Eukaryota;Arthropoda
Query349	0.9155	0.919	0.9789	0.9826	Eukaryota
Query1911	0.6467	0.6467	0.7287	0.7287	Eukaryota;Echinodermata;Echinoidea
Query3674	0.592	0.5926	0.7514	0.7522	Eukaryota;Arthropoda
Query1256	0.7426	0.7426	0.9624	0.9624	Eukaryota;Arthropoda
Query3167	0.9692	0.9758	0.9692	0.9758	Eukaryota
Query693	0.7925	0.7958	0.9827	0.9869	Eukaryota
Query3090	0.4151	0.4191	0.5025	0.5072	Eukaryota;Echinodermata;Echinoidea
Query891	0.7646	0.765	0.9698	0.9703	Eukaryota;Arthropoda
Query2168	0.7605	0.7607	0.9907	0.9908	Eukaryota;Arthropoda
Query3583	0.5006	0.501	0.6264	0.6269	Eukaryota;Arthropoda
Query1665	0.7104	0.7111	0.8858	0.8867	Eukaryota;Arthropoda
Query3758	0.7521	0.7536	0.991	0.9929	Eukaryota;Arthropoda
Query2509	0.9648	0.9719	0.9648	0.9719	Eukaryota
Query636	0.9148	0.9151	0.9694	0.9697	Eukaryota
Query3619	0.753	0.7559	0.9899	0.9937	Eukaryota;Arthropoda
Query1425	0.744	0.7442	0.9949	0.9952	Eukaryota;Arthropoda
Query3415	0.7965	0.7965	0.9939	0.9939	Eukaryota
Query1793	0.627	0.629	0.9834	0.9866	Eukaryota
Query3312	0.9136	0.9143	0.9828	0.9836	Eukaryota
Query1274	0.8	0.8057	0.9874	0.9945	Eukaryota;Arthropoda
Query3557	0.7684	0.7685	0.9842	0.9843	Eukaryota
Query1554	0.7725	0.7728	0.993	0.9934	Eukaryota;Arthropoda
Query3039	0.5353	0.5374	0.6948	0.6974	Eukaryota;Arthropoda
Query695	0.9183	0.9244	0.9678	0.9742	Eukaryota
Query3092	0.7522	0.7534	0.9878	0.9893	Eukaryota;Arthropoda
Query1128	0.479	0.479	0.9935	0.9935	Eukaryota
Query2958	0.8396	0.8432	0.9852	0.9894	Eukaryota
Query483	0.988	0.988	0.988	0.988	Eukaryota
Query2971	0.7544	0.7545	0.9955	0.9956	Eukaryota;Arthropoda
Query1176	0.7811	0.7828	0.9926	0.9947	Eukaryota;Arthropoda
Query2784	0.522	0.5235	0.6834	0.6853	Eukaryota;Arthropoda
Query492	0.7654	0.7669	0.987	0.9889	Eukaryota;Arthropoda
Query2294	0.8386	0.8466	0.9772	0.9866	Eukaryota
Query495	0.9601	0.9603	0.9658	0.966	Eukaryota
Query1653	0.7531	0.7533	0.9657	0.9659	Eukaryota;Arthropoda
Query3538	0.9105	0.9109	0.9649	0.9654	Eukaryota
Query1447	0.7761	0.7761	0.9992	0.9992	Eukaryota
Query3352	0.7914	0.7973	0.9857	0.993	Eukaryota;Arthropoda
Query1886	0.7828	0.7829	0.9965	0.9967	Eukaryota
Query48	0.8049	0.8095	0.9858	0.9915	Eukaryota;Arthropoda
Query1513	0.7636	0.7645	0.9919	0.9931	Eukaryota
Query1	0.767	0.7677	0.9928	0.9937	Eukaryota;Arthropoda
Query1822	0.849	0.8491	0.962	0.962	Eukaryota
Query3589	0.5133	0.5161	0.65	0.6535	Eukaryota;Arthropoda
Query1354	0.9721	0.9772	0.9721	0.9772	Eukaryota
Query3174	0.4287	0.4295	0.9828	0.9848	Eukaryota
Query2548	0.6242	0.6244	0.7965	0.7967	Eukaryota;Arthropoda
Query2745	0.9609	0.9657	0.9609	0.9657	Eukaryota
Query97	0.5514	0.5536	0.7162	0.719	Eukaryota;Arthropoda
Query797	0.8765	0.8765	0.9723	0.9723	Eukaryota
Query1616	0.9239	0.9264	0.971	0.9736	Eukaryota
Query2221	0.5758	0.5813	0.5758	0.5813	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query2276	0.7026	0.7029	0.9097	0.91	Eukaryota;Arthropoda
Query149	0.581	0.581	0.9936	0.9936	Eukaryota
Query2190	0.9501	0.9549	0.9756	0.9805	Eukaryota
Query231	0.7605	0.7605	0.999	0.999	Eukaryota
Query2338	0.772	0.7729	0.9926	0.9937	Eukaryota;Arthropoda
Query1186	0.6137	0.6145	0.7764	0.7774	Eukaryota;Arthropoda
Query3572	0.3815	0.3844	0.4089	0.412	Eukaryota;Echinodermata;Echinoidea
Query1571	0.9591	0.9682	0.9703	0.9795	Eukaryota
Query766	0.7775	0.778	0.9919	0.9926	Eukaryota;Arthropoda
Query2933	0.7549	0.7561	0.9905	0.9921	Eukaryota;Arthropoda
Query676	0.7577	0.7611	0.8976	0.9016	Eukaryota;Arthropoda
Query707	0.845	0.8455	0.9877	0.9883	Eukaryota
Query9	0.7729	0.7734	0.9939	0.9945	Eukaryota;Arthropoda
Query222	0.7588	0.7606	0.9902	0.9925	Eukaryota;Arthropoda
Query3216	0.7379	0.7383	0.97	0.9705	Eukaryota;Arthropoda
Query1699	0.7461	0.7461	0.9935	0.9936	Eukaryota;Arthropoda
Query1172	0.769	0.769	0.9948	0.9948	Eukaryota;Arthropoda
Query55	0.7632	0.7641	0.9906	0.9917	Eukaryota;Arthropoda
Query2614	0.8487	0.8541	0.9802	0.9865	Eukaryota
Query1384	0.7316	0.7343	0.9649	0.9685	Eukaryota;Arthropoda
Query3670	0.9374	0.9439	0.9749	0.9816	Eukaryota
Query1916	0.5868	0.5869	0.9926	0.9928	Eukaryota
Query554	0.7221	0.7221	0.9797	0.9797	Eukaryota
Query2763	0.7683	0.769	0.9902	0.9911	Eukaryota;Arthropoda
Query1151	0.7502	0.7517	0.9747	0.9768	Eukaryota;Arthropoda
Query54	0.6342	0.6344	0.8013	0.8015	Eukaryota;Arthropoda
Query1869	0.7409	0.7409	0.9986	0.9987	Eukaryota
Query3731	0.8196	0.8232	0.9798	0.9842	Eukaryota
Query2184	0.9539	0.954	0.9621	0.9622	Eukaryota
Query1725	0.7623	0.7629	0.9906	0.9914	Eukaryota;Arthropoda
Query24	0.706	0.7062	0.9143	0.9146	Eukaryota;Arthropoda
Query2357	0.7108	0.716	0.9856	0.9928	Eukaryota;Arthropoda
Query906	0.7603	0.7617	0.9901	0.992	Eukaryota;Arthropoda
Query118	0.7619	0.763	0.9916	0.9931	Eukaryota;Arthropoda
Query2563	0.7411	0.7418	0.9905	0.9914	Eukaryota;Arthropoda
Query482	0.509	0.509	0.5091	0.5091	Eukaryota;Mucoromycota;Glomeromycetes
Query1163	0.5557	0.5557	0.5557	0.5557	DISTANT
Query3545	0.977	0.9831	0.977	0.9831	DISTANT
Query1377	0.8803	0.8804	0.9642	0.9643	Eukaryota
Query2940	0.506	0.5085	0.9757	0.9805	Eukaryota
Query95	0.6608	0.6618	0.8352	0.8365	Eukaryota;Arthropoda
Query3214	0.6511	0.6514	0.8232	0.8236	Eukaryota;Arthropoda
Query90	0.7473	0.7546	0.9684	0.9778	Eukaryota
Query2809	0.7186	0.7187	0.91	0.9102	Eukaryota;Arthropoda
Query1392	0.4943	0.4948	0.63	0.6307	Eukaryota;Arthropoda
Query2476	0.7634	0.7635	0.997	0.9972	Eukaryota
Query3604	0.8972	0.8973	0.9606	0.9607	Eukaryota
Query1438	0.4188	0.4188	0.9847	0.9847	Eukaryota
Query1460	0.3907	0.3907	0.9829	0.9829	Eukaryota
