name	LWR	fract	aLWR	afract	taxopath
Query56	0	0	0.7608	0.7612	Eukaryota
Query56	0	0	0.7608	0.7612	Eukaryota;Cnidaria
Query56	0.3804	0.3806	0.7608	0.7612	Eukaryota;Cnidaria;Myxozoa
Query56	0	0	0.3804	0.3806	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
Query56	0	0	0.3804	0.3806	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
Query56	0.3804	0.3806	0.3804	0.3806	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query56	0.2387	0.2388	0.2387	0.2388	DISTANT
Query39	0	0	0.7302	0.9585	Bacteria
Query39	0	0	0.7302	0.9585	Bacteria;Proteobacteria
Query39	0.7302	0.9585	0.7302	0.9585	Bacteria;Proteobacteria;Alphaproteobacteria
Query39	0.03161	0.04149	0.03161	0.04149	DISTANT
Query63	0.9309	0.9445	0.9719	0.9861	Eukaryota
Query63	0	0	0.02229	0.02261	Eukaryota;Chlorophyta
Query63	0	0	0.02229	0.02261	Eukaryota;Chlorophyta;Pedinophyceae
Query63	0	0	0.02229	0.02261	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales
Query63	0	0	0.02229	0.02261	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae
Query63	0	0	0.02229	0.02261	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas
Query63	0.02229	0.02261	0.02229	0.02261	Eukaryota;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas;Pedinomonas_minor
Query63	0	0	0.01875	0.01902	Eukaryota;Discosea
Query63	0	0	0.01875	0.01902	Eukaryota;Discosea;Himatismenida
Query63	0.01875	0.01902	0.01875	0.01902	Eukaryota;Discosea;Himatismenida;Himatismenida
Query63	0.01371	0.01391	0.01371	0.01391	DISTANT
Query64	0.1865	0.1873	0.9628	0.9668	Eukaryota
Query64	0	0	0.7117	0.7147	Eukaryota;Bryozoa
Query64	0	0	0.7117	0.7147	Eukaryota;Bryozoa;Gymnolaemata
Query64	0.7117	0.7147	0.7117	0.7147	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
Query64	0.01569	0.01576	0.06463	0.0649	Eukaryota;Arthropoda
Query64	0.04148	0.04166	0.04655	0.04674	Eukaryota;Arthropoda;Insecta
Query64	0	0	0.005062	0.005083	Eukaryota;Arthropoda;Insecta;Zoraptera
Query64	0.005062	0.005083	0.005062	0.005083	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
Query64	0	0	0.002395	0.002405	Eukaryota;Arthropoda;Arachnida
Query64	0	0	0.002395	0.002405	Eukaryota;Arthropoda;Arachnida;Opilioacarida
Query64	0	0	0.002395	0.002405	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae
Query64	0	0	0.002395	0.002405	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus
Query64	0.002395	0.002405	0.002395	0.002405	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus;Neocarus_bajacalifornicus
Query64	0.03301	0.03315	0.03301	0.03315	DISTANT
Query37	0.9423	0.9423	0.9423	0.9423	Eukaryota
Query37	0	0	1.853e-05	1.853e-05	Eukaryota;Annelida
Query37	0	0	1.853e-05	1.853e-05	Eukaryota;Annelida;Hrabeiella
Query37	0	0	1.853e-05	1.853e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella
Query37	0	0	1.853e-05	1.853e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella
Query37	0	0	1.853e-05	1.853e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella
Query37	1.853e-05	1.853e-05	1.853e-05	1.853e-05	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella_periglandulata
Query37	0.05766	0.05766	0.05766	0.05766	DISTANT
Query61	0.82	0.82	1	1	Eukaryota
Query61	0	0	0.18	0.18	Eukaryota;Chordata
Query61	0	0	0.18	0.18	Eukaryota;Chordata;Thaliacea
Query61	0	0	0.18	0.18	Eukaryota;Chordata;Thaliacea;Salpida
Query61	0.18	0.18	0.18	0.18	Eukaryota;Chordata;Thaliacea;Salpida;Salpidae
Query28	0.9499	0.9552	0.9499	0.9553	Eukaryota
Query28	0	0	1.383e-05	1.391e-05	Eukaryota;Bryozoa
Query28	0	0	1.383e-05	1.391e-05	Eukaryota;Bryozoa;Phylactolaemata
Query28	0	0	1.383e-05	1.391e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae
Query28	0	0	1.383e-05	1.391e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae
Query28	0	0	1.383e-05	1.391e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella
Query28	1.383e-05	1.391e-05	1.383e-05	1.391e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella;Fredericella_sultana
Query28	0.04449	0.04474	0.04449	0.04474	DISTANT
Query10	0.6215	0.6216	0.9942	0.9943	Eukaryota
Query10	0	0	0.3727	0.3727	Eukaryota;Arthropoda
Query10	0	0	0.3727	0.3727	Eukaryota;Arthropoda;Mystacocarida
Query10	0	0	0.3727	0.3727	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida
Query10	0	0	0.3727	0.3727	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida;Derocheilocarididae
Query10	0	0	0.3727	0.3727	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida;Derocheilocarididae;Derocheilocaris
Query10	0.3727	0.3727	0.3727	0.3727	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida;Derocheilocarididae;Derocheilocaris;Derocheilocaris_typicus
Query10	0.005734	0.005734	0.005734	0.005734	DISTANT
Query53	0.8777	0.879	0.9698	0.9713	Eukaryota
Query53	0	0	0.09217	0.09231	Eukaryota;Arthropoda
Query53	0	0	0.09217	0.09231	Eukaryota;Arthropoda;Arachnida
Query53	0.09217	0.09231	0.09217	0.09231	Eukaryota;Arthropoda;Arachnida;Scorpiones
Query53	0.02866	0.0287	0.02866	0.0287	DISTANT
Query5	0	0	1	1	Eukaryota
Query5	0	0	1	1	Eukaryota;Mollusca
Query5	0.199	0.199	1	1	Eukaryota;Mollusca;Bivalvia
Query5	0.801	0.801	0.801	0.801	Eukaryota;Mollusca;Bivalvia;Ostreoida
Query38	0	0	0.9821	0.9821	Eukaryota
Query38	0	0	0.9821	0.9821	Eukaryota;Cnidaria
Query38	0.5668	0.5668	0.9821	0.9821	Eukaryota;Cnidaria;Hydrozoa
