LWR	fract	aLWR	afract	taxopath
0.01151	8.835e-06	122.8	0.09427	Bacteria
0.0009687	7.435e-07	5	0.003838	Bacteria;Verrucomicrobia
0	0	0.9999	0.0007674	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales
0	0	0.9999	0.0007674	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae
0	0	0.9999	0.0007674	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae;Coraliomargarita
0.9999	0.0007674	0.9999	0.0007674	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae;Coraliomargarita;Coraliomargarita_akajimensis_DSM_45221
0	0	0.9999	0.0007675	Bacteria;Verrucomicrobia;Methylacidiphilae
0	0	0.9999	0.0007675	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales
0	0	0.9999	0.0007675	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae
0.9999	0.0007675	0.9999	0.0007675	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae;Methylacidiphilum
0	0	0.9998	0.0007673	Bacteria;Verrucomicrobia;Spartobacteria
0	0	0.9998	0.0007673	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales
0	0	0.9998	0.0007673	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
0	0	0.9998	0.0007673	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter
0.9998	0.0007673	0.9998	0.0007673	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;Chthoniobacter_flavus_Ellin428
0	0	0.9995	0.0007671	Bacteria;Verrucomicrobia;Opitutae
0	0	0.9995	0.0007671	Bacteria;Verrucomicrobia;Opitutae;Opitutales
0.9995	0.0007671	0.9995	0.0007671	Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae
0	0	0.9999	0.0007674	Bacteria;Verrucomicrobia;Verrucomicrobiae
0	0	0.9999	0.0007674	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales
0	0	0.9999	0.0007674	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia_subdivision_3_Pedosphaera
0.9999	0.0007674	0.9999	0.0007674	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia_subdivision_3_Pedosphaera;Pedosphaera_parvula_Ellin514
0.00059	4.528e-07	7	0.005372	Bacteria;Chloroflexi
0	0	0.9999	0.0007674	Bacteria;Chloroflexi;Anaerolineae
0	0	0.9999	0.0007674	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales
0	0	0.9999	0.0007674	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
