LWR	fract	aLWR	afract	taxopath
1036	0.1407	6664	0.9047	Eukaryota
0	0	87.71	0.01191	Eukaryota;Bryozoa
0	0	83.61	0.01135	Eukaryota;Bryozoa;Gymnolaemata
83.61	0.01135	83.61	0.01135	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida
2.268	0.0003079	4.106	0.0005575	Eukaryota;Bryozoa;Phylactolaemata
0	0	1.672	0.0002269	Eukaryota;Bryozoa;Phylactolaemata;Pectinatellidae
0	0	1.672	0.0002269	Eukaryota;Bryozoa;Phylactolaemata;Pectinatellidae;Pectinatellidae
0	0	1.672	0.0002269	Eukaryota;Bryozoa;Phylactolaemata;Pectinatellidae;Pectinatellidae;Pectinatella
1.672	0.0002269	1.672	0.0002269	Eukaryota;Bryozoa;Phylactolaemata;Pectinatellidae;Pectinatellidae;Pectinatella;Pectinatella_magnifica
0	0	0.1669	2.266e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae
0	0	0.1669	2.266e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae
0	0	0.1669	2.266e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella
0.1669	2.266e-05	0.1669	2.266e-05	Eukaryota;Bryozoa;Phylactolaemata;Fredericellidae;Fredericellidae;Fredericella;Fredericella_sultana
983	0.1335	1304	0.177	Eukaryota;Arthropoda
1.704	0.0002314	2.956	0.0004014	Eukaryota;Arthropoda;Malacostraca
0.03809	5.172e-06	0.03809	5.172e-06	Eukaryota;Arthropoda;Malacostraca;Thermosbaenacea
1.214	0.0001648	1.214	0.0001648	Eukaryota;Arthropoda;Malacostraca;Mysida
1.092	0.0001483	7.838	0.001064	Eukaryota;Arthropoda;Insecta
1.022	0.0001388	1.022	0.0001388	Eukaryota;Arthropoda;Insecta;Odonata
0.2343	3.18e-05	0.2343	3.18e-05	Eukaryota;Arthropoda;Insecta;Archaeognatha
5.416	0.0007353	5.416	0.0007353	Eukaryota;Arthropoda;Insecta;Embioptera
0	0	0.07379	1.002e-05	Eukaryota;Arthropoda;Insecta;Zoraptera
0.07379	1.002e-05	0.07379	1.002e-05	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
6.537	0.0008876	10.02	0.00136	Eukaryota;Arthropoda;Diplopoda
0	0	0.6788	9.216e-05	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida
0	0	0.6788	9.216e-05	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae
0	0	0.6788	9.216e-05	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus
0.6788	9.216e-05	0.6788	9.216e-05	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus;Glomeridesmus_spelaeus
2.776	0.0003769	2.776	0.0003769	Eukaryota;Arthropoda;Diplopoda;Spirostreptida
0	0	0.003973	5.394e-07	Eukaryota;Arthropoda;Diplopoda;Siphonophorida
0.003973	5.394e-07	0.003973	5.394e-07	Eukaryota;Arthropoda;Diplopoda;Siphonophorida;Siphonophoridae
6.763e-06	9.181e-10	6.763e-06	9.181e-10	Eukaryota;Arthropoda;Diplopoda;Spirobolida
0	0	0.02306	3.13e-06	Eukaryota;Arthropoda;Diplopoda;Polyzoniida
0.02306	3.13e-06	0.02306	3.13e-06	Eukaryota;Arthropoda;Diplopoda;Polyzoniida;Polyzoniidae
39.01	0.005296	64.92	0.008814	Eukaryota;Arthropoda;Hexanauplia
17.75	0.002409	17.75	0.002409	Eukaryota;Arthropoda;Hexanauplia;Calanoida
7.381	0.001002	7.381	0.001002	Eukaryota;Arthropoda;Hexanauplia;Sessilia
0	0	0.001884	2.558e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida
0	0	0.001884	2.558e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae
0	0	0.001884	2.558e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia
0.001884	2.558e-07	0.001884	2.558e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia;Nanocopia_minuta
0.7837	0.0001064	0.7837	0.0001064	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
0	0	231.8	0.03147	Eukaryota;Arthropoda;Ichthyostraca
0	0	231.8	0.03147	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
0	0	231.8	0.03147	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
231.8	0.03147	231.8	0.03147	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
0	0	2.573	0.0003493	Eukaryota;Arthropoda;Arachnida
0	0	2.573	0.0003493	Eukaryota;Arthropoda;Arachnida;Opilioacarida
0	0	2.573	0.0003493	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae
0	0	2.573	0.0003493	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus
2.573	0.0003493	2.573	0.0003493	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus;Neocarus_bajacalifornicus
0.4252	5.773e-05	0.4252	5.773e-05	Eukaryota;Arthropoda;Remipedia
0.128	1.738e-05	0.128	1.738e-05	Eukaryota;Arthropoda;Collembola
0	0	0.3383	4.593e-05	Eukaryota;Arthropoda;Cephalocarida
0	0	0.3383	4.593e-05	Eukaryota;Arthropoda;Cephalocarida;Brachypoda
0.3383	4.593e-05	0.3383	4.593e-05	Eukaryota;Arthropoda;Cephalocarida;Brachypoda;Hutchinsoniellidae
0	0	0.02704	3.671e-06	Eukaryota;Arthropoda;Mystacocarida
0	0	0.02704	3.671e-06	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida
0	0	0.02704	3.671e-06	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida;Derocheilocarididae
0	0	0.02704	3.671e-06	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida;Derocheilocarididae;Derocheilocaris
0.02704	3.671e-06	0.02704	3.671e-06	Eukaryota;Arthropoda;Mystacocarida;Mystacocaridida;Derocheilocarididae;Derocheilocaris;Derocheilocaris_typicus
0	0	0.007985	1.084e-06	Eukaryota;Arthropoda;Diplura
0.007985	1.084e-06	0.007985	1.084e-06	Eukaryota;Arthropoda;Diplura;Diplura
