amplicon	ERR3460470	total
ERR3460470:54340.605728	33	33
ERR3460470:21220.616183	23	23
ERR3460470:63580.662212	21	21
ERR3460470:8380.620555	19	19
ERR3460470:10230.642156	18	18
ERR3460470:106430.652995	17	17
ERR3460470:36040.613328	17	17
ERR3460470:140110.607186	16	16
ERR3460470:19390.606678	15	15
ERR3460470:213060.624237	15	15
ERR3460470:120740.602678	14	14
ERR3460470:181100.617937	14	14
ERR3460470:24820.621860	14	14
ERR3460470:90800.609642	14	14
ERR3460470:134270.610195	13	13
ERR3460470:14540.628399	13	13
ERR3460470:161720.625175	13	13
ERR3460470:236350.632161	13	13
ERR3460470:289690.616661	13	13
ERR3460470:41800.633004	13	13
ERR3460470:48870.635965	13	13
ERR3460470:72000.647028	13	13
ERR3460470:10510.651773	12	12
ERR3460470:105230.640268	12	12
ERR3460470:15620.601188	12	12
ERR3460470:16790.612570	12	12
ERR3460470:22410.629399	12	12
ERR3460470:29780.653349	12	12
ERR3460470:316290.645226	12	12
ERR3460470:37970.632849	12	12
ERR3460470:64720.675701	12	12
ERR3460470:81540.602580	12	12
ERR3460470:88030.630226	12	12
ERR3460470:90140.627274	12	12
ERR3460470:90380.638123	12	12
ERR3460470:91660.652729	12	12
ERR3460470:99810.642760	12	12
ERR3460470:102510.657666	11	11
ERR3460470:103490.639247	11	11
ERR3460470:11190.630278	11	11
ERR3460470:11780.621748	11	11
ERR3460470:1200.615990	11	11
ERR3460470:134970.666059	11	11
ERR3460470:13860.629895	11	11
ERR3460470:140220.619085	11	11
ERR3460470:166850.648588	11	11
ERR3460470:20830.659488	11	11
ERR3460470:21440.600730	11	11
ERR3460470:24690.622060	11	11
ERR3460470:32280.619712	11	11
ERR3460470:43400.638174	11	11
ERR3460470:47430.639654	11	11
ERR3460470:51460.611481	11	11
ERR3460470:56620.611963	11	11
ERR3460470:75020.605847	11	11
ERR3460470:100180.622760	10	10
ERR3460470:101470.631961	10	10
ERR3460470:102070.654140	10	10
ERR3460470:109710.601428	10	10
ERR3460470:12800.631559	10	10
ERR3460470:136390.600061	10	10
ERR3460470:198550.625415	10	10
ERR3460470:215820.609579	10	10
ERR3460470:273060.620946	10	10
ERR3460470:357900.677995	10	10
ERR3460470:365120.624577	10	10
ERR3460470:506200.603984	10	10
ERR3460470:517440.622344	10	10
ERR3460470:52780.616821	10	10
ERR3460470:53240.615102	10	10
ERR3460470:53780.618241	10	10
ERR3460470:63310.626292	10	10
ERR3460470:74900.603082	10	10
ERR3460470:76260.600876	10	10
ERR3460470:76910.614900	10	10
ERR3460470:90960.618029	10	10
ERR3460470:96950.600824	10	10
ERR3460470:110280.606485	9	9
