amplicon	linearized.dereplicate_ERR3460470.merged.fastq	total
ERR3460470:::5434:0:0:0:0.605728	33	33
ERR3460470:::2122:0:0:0:0.616183	23	23
ERR3460470:::6358:0:0:0:0.662212	21	21
ERR3460470:::838:0:0:0:0.620555	19	19
ERR3460470:::1023:0:0:0:0.642156	18	18
ERR3460470:::10643:0:0:0:0.652995	17	17
ERR3460470:::3604:0:0:0:0.613328	17	17
ERR3460470:::14011:0:0:0:0.607186	16	16
ERR3460470:::1939:0:0:0:0.606678	15	15
ERR3460470:::21306:0:0:0:0.624237	15	15
ERR3460470:::12074:0:0:0:0.602678	14	14
ERR3460470:::18110:0:0:0:0.617937	14	14
ERR3460470:::2482:0:0:0:0.621860	14	14
ERR3460470:::9080:0:0:0:0.609642	14	14
ERR3460470:::13427:0:0:0:0.610195	13	13
ERR3460470:::1454:0:0:0:0.628399	13	13
ERR3460470:::16172:0:0:0:0.625175	13	13
ERR3460470:::23635:0:0:0:0.632161	13	13
ERR3460470:::28969:0:0:0:0.616661	13	13
ERR3460470:::4180:0:0:0:0.633004	13	13
ERR3460470:::4887:0:0:0:0.635965	13	13
ERR3460470:::7200:0:0:0:0.647028	13	13
ERR3460470:::1051:0:0:0:0.651773	12	12
ERR3460470:::10523:0:0:0:0.640268	12	12
ERR3460470:::1562:0:0:0:0.601188	12	12
ERR3460470:::1679:0:0:0:0.612570	12	12
ERR3460470:::2241:0:0:0:0.629399	12	12
ERR3460470:::2978:0:0:0:0.653349	12	12
ERR3460470:::31629:0:0:0:0.645226	12	12
ERR3460470:::3797:0:0:0:0.632849	12	12
ERR3460470:::6472:0:0:0:0.675701	12	12
ERR3460470:::8154:0:0:0:0.602580	12	12
ERR3460470:::8803:0:0:0:0.630226	12	12
ERR3460470:::9014:0:0:0:0.627274	12	12
ERR3460470:::9038:0:0:0:0.638123	12	12
ERR3460470:::9166:0:0:0:0.652729	12	12
ERR3460470:::9981:0:0:0:0.642760	12	12
ERR3460470:::10251:0:0:0:0.657666	11	11
ERR3460470:::10349:0:0:0:0.639247	11	11
ERR3460470:::1119:0:0:0:0.630278	11	11
ERR3460470:::1178:0:0:0:0.621748	11	11
ERR3460470:::120:0:0:0:0.615990	11	11
ERR3460470:::13497:0:0:0:0.666059	11	11
ERR3460470:::1386:0:0:0:0.629895	11	11
ERR3460470:::14022:0:0:0:0.619085	11	11
ERR3460470:::16685:0:0:0:0.648588	11	11
ERR3460470:::2083:0:0:0:0.659488	11	11
ERR3460470:::2144:0:0:0:0.600730	11	11
ERR3460470:::2469:0:0:0:0.622060	11	11
ERR3460470:::3228:0:0:0:0.619712	11	11
ERR3460470:::4340:0:0:0:0.638174	11	11
ERR3460470:::4743:0:0:0:0.639654	11	11
ERR3460470:::5146:0:0:0:0.611481	11	11
ERR3460470:::5662:0:0:0:0.611963	11	11
ERR3460470:::7502:0:0:0:0.605847	11	11
ERR3460470:::10018:0:0:0:0.622760	10	10
ERR3460470:::10147:0:0:0:0.631961	10	10
ERR3460470:::10207:0:0:0:0.654140	10	10
ERR3460470:::10971:0:0:0:0.601428	10	10
ERR3460470:::1280:0:0:0:0.631559	10	10
ERR3460470:::13639:0:0:0:0.600061	10	10
ERR3460470:::19855:0:0:0:0.625415	10	10
ERR3460470:::21582:0:0:0:0.609579	10	10
ERR3460470:::27306:0:0:0:0.620946	10	10
ERR3460470:::35790:0:0:0:0.677995	10	10
ERR3460470:::36512:0:0:0:0.624577	10	10
ERR3460470:::50620:0:0:0:0.603984	10	10
ERR3460470:::51744:0:0:0:0.622344	10	10
ERR3460470:::5278:0:0:0:0.616821	10	10
ERR3460470:::5324:0:0:0:0.615102	10	10
ERR3460470:::5378:0:0:0:0.618241	10	10
ERR3460470:::6331:0:0:0:0.626292	10	10
ERR3460470:::7490:0:0:0:0.603082	10	10
ERR3460470:::7626:0:0:0:0.600876	10	10
ERR3460470:::7691:0:0:0:0.614900	10	10
ERR3460470:::9096:0:0:0:0.618029	10	10
ERR3460470:::9695:0:0:0:0.600824	10	10
ERR3460470:::11028:0:0:0:0.606485	9	9
ERR3460470:::12024:0:0:0:0.627972	9	9
ERR3460470:::12270:0:0:0:0.615372	9	9
ERR3460470:::13226:0:0:0:0.617991	9	9
ERR3460470:::1338:0:0:0:0.652898	9	9
ERR3460470:::15946:0:0:0:0.611845	9	9
ERR3460470:::1752:0:0:0:0.640114	9	9
ERR3460470:::17555:0:0:0:0.673906	9	9
ERR3460470:::18202:0:0:0:0.607027	9	9
ERR3460470:::1838:0:0:0:0.602517	9	9
ERR3460470:::19373:0:0:0:0.617731	9	9
ERR3460470:::22456:0:0:0:0.618278	9	9
ERR3460470:::2294:0:0:0:0.621510	9	9
ERR3460470:::24:0:0:0:0.631793	9	9
ERR3460470:::25815:0:0:0:0.617265	9	9
ERR3460470:::3093:0:0:0:0.606226	9	9
ERR3460470:::34309:0:0:0:0.612599	9	9
ERR3460470:::350:0:0:0:0.608148	9	9
ERR3460470:::35441:0:0:0:0.628681	9	9
ERR3460470:::4348:0:0:0:0.624702	9	9
ERR3460470:::4659:0:0:0:0.610413	9	9
ERR3460470:::4920:0:0:0:0.616934	9	9
ERR3460470:::5150:0:0:0:0.639404	9	9
ERR3460470:::5710:0:0:0:0.648379	9	9
