OTU	ERR3460470	classification
Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Hadoa;Hadoa chiricahua
ERR3460470:210880.615367	1719	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Apenthecia;Apenthecia argentata
ERR3460470:232510.600176	1412	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotidae;Lepidodermella;Lepidodermella intermedia
ERR3460470:176270.609210	464	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotidae;Lepidodermella;Lepidodermella intermedia
ERR3460470:1005480.604450	427	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Dipylidiidae;Dipylidium;Dipylidium caninum
ERR3460470:203010.635775	240	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
ERR3460470:924950.610698	154	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:130950.610942	132	Eukaryota;Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Ammothella;Ammothella tuberculata
ERR3460470:100030.605887	98	Eukaryota;Mollusca;Bivalvia;Pterioida;Pinnidae;Pinna;Pinna nobilis
ERR3460470:1010120.605809	93	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus
ERR3460470:304410.645390	70	Eukaryota;Cnidaria;Anthozoa;Helioporacea;Helioporidae;Heliopora;Heliopora coerulea
ERR3460470:230030.607375	68	Eukaryota;Mollusca;Gastropoda;Planorbidae;Planorbula;Planorbula armigera
ERR3460470:1004600.603084	66	Eukaryota;Chordata;Actinopteri;Characiformes;Prochilodontidae;Ichthyoelephas;Ichthyoelephas longirostris
ERR3460470:1011690.618152	54	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460470:102620.621038	48	Eukaryota;Chordata;Actinopteri;Perciformes;Zoarcidae;Zoarces;Zoarces gillii
ERR3460470:1042490.647065	46	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Microcionidae;Clathria;Clathria rugosa
ERR3460470:1003460.621309	44	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Rhabdamia;Rhabdamia spilota
ERR3460470:1036150.658074	44	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Dolicheulota;Dolicheulota formosensis
ERR3460470:1001530.629632	39	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Asterorhombus;Asterorhombus intermedius
ERR3460470:10000.649121	36	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
ERR3460470:1014330.657817	36	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Ophiomyia;Ophiomyia quinta
ERR3460470:299200.630273	35	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Aracanidae;Kentrocapros;Kentrocapros aculeatus
ERR3460470:1005940.632736	34	Eukaryota;Mollusca;Gastropoda;Lymnaeidae;Austropeplea;Austropeplea tomentosa
ERR3460470:1004070.654862	32	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460470:1129560.651538	30	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Ypthimomorpha;Ypthimomorpha itonia
ERR3460470:1048890.606008	29	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya hibernica
ERR3460470:1043550.626070	27	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:1013140.626531	26	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Popplepsalta (nomen nudum);Popplepsalta subtropica (nomen nudum)
ERR3460470:576720.624576	26	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
