name	LWR	fract	aLWR	afract	taxopath
Query43	0.8242	0.8243	0.9968	0.9969	Eukaryota;Haptista;Haptophyta
Query59	0.4211	0.4221	0.6051	0.6065	Eukaryota;Euglenozoa;Euglenida
Query34	0.7777	0.7779	0.9971	0.9973	Eukaryota;Haptista;Haptophyta
Query60	0.6323	1	0.6323	1	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query71	0.917	0.9619	0.937	0.9829	Eukaryota
Query82	0.3545	0.9067	0.3545	0.9067	Eukaryota;Apusomonadidae;Apusomonadidae;Apusomonadidae;Apusomonadidae;Thecamonas;Thecamonas_trahens
Query25	0.6977	0.6979	0.6977	0.6979	Eukaryota;Rhodophyta;Florideophyceae;Corallinales
Query11	0.577	0.577	0.9929	0.9929	Bacteria
Query70	0.9423	0.9496	0.9789	0.9865	Bacteria;FCB_group;Bacteroidetes/Chlorobi_group;Bacteroidetes
Query19	0.6308	0.636	0.973	0.9809	Bacteria;Proteobacteria;Gammaproteobacteria
Query35	0.3455	0.658	0.5042	0.9602	Bacteria;Proteobacteria;Alphaproteobacteria
Query14	0.7449	0.8081	0.9169	0.9946	Eukaryota
Query91	0.4571	0.4632	0.9726	0.9858	Eukaryota;Bacillariophyta
Query38	0.8674	0.8752	0.9808	0.9896	Eukaryota
Query56	0.8005	0.9695	0.811	0.9821	Eukaryota
Query53	0.7843	0.8068	0.9612	0.9888	Eukaryota;Ascomycota
Query75	0.8401	0.8401	0.8401	0.8401	Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales
Query65	0.6028	0.6509	0.6028	0.6509	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query85	0.8831	0.8917	0.9845	0.9942	Eukaryota
Query72	0.4504	0.601	0.7372	0.9836	Eukaryota
Query79	0.4303	0.5694	0.733	0.97	Eukaryota
Query7	0.9513	0.9833	0.9513	0.9833	Eukaryota
Query89	0.3897	0.7064	0.5456	0.9889	Eukaryota
Query74	0.9672	0.9858	0.9672	0.9858	Eukaryota
Query41	0.7864	0.9616	0.8137	0.9951	Eukaryota
Query104	0.9674	0.9992	0.9674	0.9992	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query8	0.8351	0.8416	0.9816	0.9892	Eukaryota
Query29	0.1858	0.6224	0.1858	0.6224	Eukaryota;Chlorophyta
Query106	0.1592	0.4491	0.23	0.6487	Eukaryota;Haptista;Haptophyta
Query3	0.6031	1	0.6031	1	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query1	0.6992	0.7094	0.9731	0.9873	Eukaryota
Query16	0.5031	0.5534	0.5031	0.5534	Bacteria;Terrabacteria_group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus;composti;Agrilactobacillus;composti;DSM;18527;=;JCM;14202
Query103	0.2701	0.5447	0.2701	0.5447	Bacteria;Terrabacteria_group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus;composti;Agrilactobacillus;composti;DSM;18527;=;JCM;14202
Query36	0.924	0.9294	0.9839	0.9897	Bacteria;FCB_group;Bacteroidetes/Chlorobi_group;Bacteroidetes
Query94	0.9578	0.9598	0.9578	0.9598	Bacteria;FCB_group;Bacteroidetes/Chlorobi_group;Bacteroidetes
Query22	0.1567	1	0.1567	1	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query87	0.9206	0.982	0.9206	0.982	Eukaryota
Query58	0.4594	0.8642	0.5282	0.9936	Eukaryota
Query90	0.8494	0.8516	0.9887	0.9913	Eukaryota
Query100	0.2751	1	0.2751	1	Eukaryota;Apusomonadidae;Apusomonadidae;Apusomonadidae;Apusomonadidae;Thecamonas;Thecamonas_trahens
Query86	0.4315	0.6142	0.6842	0.9738	Eukaryota
Query66	0.4221	0.7367	0.4221	0.7367	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query78	0.9655	0.9825	0.9655	0.9825	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query55	0.183	0.6614	0.183	0.6614	Eukaryota;Chlorophyta
Query99	0.7509	0.7515	0.872	0.8727	Eukaryota;Euglenozoa;Euglenida
Query31	0.6165	1	0.6165	1	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query18	0.6984	0.6986	0.6984	0.6986	Eukaryota;Rhodophyta;Florideophyceae;Corallinales
Query57	0.568	0.568	0.9974	0.9974	Bacteria
Query73	0.9842	0.9842	0.9842	0.9842	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbiferaceae;Microbulbifer
Query97	0.9314	0.9405	0.9822	0.9919	Eukaryota
Query64	0.4937	0.509	0.9651	0.995	Eukaryota
Query101	0.8034	0.813	0.977	0.9886	Eukaryota
Query48	0.7909	0.7932	0.9852	0.9882	Eukaryota
Query93	0.826	0.8287	0.826	0.8287	Bacteria;FCB_group;Bacteroidetes/Chlorobi_group;Bacteroidetes;Flavobacteriia
Query28	0.6328	0.6391	0.9703	0.9801	Bacteria;Proteobacteria;Gammaproteobacteria
Query69	0.1633	0.465	0.1633	0.465	Eukaryota;Chlorophyta
Query6	0.5193	0.5193	1	1	Eukaryota;Bacillariophyta;Bacillariophyceae
Query61	0.9879	0.9879	0.9879	0.9879	Eukaryota
Query105	0.2882	0.6	0.465	0.9681	Eukaryota
Query50	0.397	0.3985	0.9874	0.9913	Eukaryota
Query5	0.5524	0.5598	0.9754	0.9885	Eukaryota
Query92	0.9869	0.9869	0.9869	0.9869	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbiferaceae;Microbulbifer
Query23	0.8811	0.8865	0.9879	0.9939	Eukaryota
Query107	0.5846	1	0.5846	1	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query67	0.4442	0.6657	0.6518	0.9767	Bacteria;Proteobacteria;Alphaproteobacteria
Query45	0.9856	0.9856	0.9856	0.9856	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbiferaceae;Microbulbifer
Query102	0.5116	0.5116	1	1	Eukaryota;Bacillariophyta;Bacillariophyceae
Query88	0.7858	0.7859	0.9969	0.9971	Eukaryota;Haptista;Haptophyta
Query13	0.7383	0.741	0.9814	0.985	Eukaryota
Query15	0.9618	0.9627	0.9618	0.9627	Bacteria;FCB_group;Bacteroidetes/Chlorobi_group;Bacteroidetes
Query52	0.3733	0.6537	0.5292	0.9267	Bacteria;Proteobacteria;Alphaproteobacteria
Query63	0.6651	0.6651	1	1	Eukaryota;Xanthophyceae;Xanthophyceae
Query39	0.9801	0.9819	0.9801	0.9819	Eukaryota
Query21	0.9957	1	0.9957	1	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query80	0.03302	1	0.03302	1	DISTANT
Query40	0.9763	0.9772	0.9763	0.9772	Bacteria;FCB_group;Bacteroidetes/Chlorobi_group;Bacteroidetes
Query24	0.3593	0.6373	0.5003	0.8873	Bacteria;Proteobacteria;Alphaproteobacteria
