name	LWR	fract	aLWR	afract	taxopath
Query43	0	0	0.9968	0.9969	Eukaryota
Query43	0	0	0.9968	0.9969	Eukaryota;Haptista
Query43	0.8242	0.8243	0.9968	0.9969	Eukaryota;Haptista;Haptophyta
Query43	0	0	0.1726	0.1726	Eukaryota;Haptista;Haptophyta;Prymnesiales
Query43	0	0	0.1726	0.1726	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae
Query43	0.1726	0.1726	0.1726	0.1726	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;Chrysochromulina
Query43	0.003066	0.003066	0.003066	0.003066	DISTANT
Query59	0.2924	0.293	0.9911	0.9933	Eukaryota
Query59	0	0	0.6051	0.6065	Eukaryota;Euglenozoa
Query59	0.4211	0.4221	0.6051	0.6065	Eukaryota;Euglenozoa;Euglenida
Query59	0	0	0.155	0.1554	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query59	0	0	0.155	0.1554	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query59	0	0	0.155	0.1554	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query59	0.155	0.1554	0.155	0.1554	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query59	0.029	0.02907	0.029	0.02907	Eukaryota;Euglenozoa;Euglenida;Euglenales
Query59	0	0	0.09359	0.0938	Eukaryota;Nematoda
Query59	0	0	0.09359	0.0938	Eukaryota;Nematoda;Chromadorea
Query59	0.09359	0.0938	0.09359	0.0938	Eukaryota;Nematoda;Chromadorea;Araeolaimida
Query59	0.006653	0.006668	0.006653	0.006668	DISTANT
Query34	0	0	0.9971	0.9973	Eukaryota
Query34	0	0	0.9971	0.9973	Eukaryota;Haptista
Query34	0.7777	0.7779	0.9971	0.9973	Eukaryota;Haptista;Haptophyta
Query34	0	0	0.2194	0.2194	Eukaryota;Haptista;Haptophyta;Prymnesiales
Query34	0	0	0.2194	0.2194	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae
Query34	0.2194	0.2194	0.2194	0.2194	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;Chrysochromulina
