LWR	fract	aLWR	afract	taxopath
4522	0.3065	1.395e+04	0.9456	Eukaryota
2796	0.1895	3568	0.2419	Eukaryota;Arthropoda
0.3586	2.431e-05	0.5999	4.067e-05	Eukaryota;Arthropoda;Malacostraca
0.2413	1.636e-05	0.2413	1.636e-05	Eukaryota;Arthropoda;Malacostraca;Mysida
0	0	660.6	0.04478	Eukaryota;Arthropoda;Ichthyostraca
0	0	660.6	0.04478	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
0	0	660.6	0.04478	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
660.6	0.04478	660.6	0.04478	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
0	0	17.94	0.001216	Eukaryota;Arthropoda;Arachnida
0	0	17.94	0.001216	Eukaryota;Arthropoda;Arachnida;Opilioacarida
0	0	17.94	0.001216	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae
0	0	17.94	0.001216	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus
17.94	0.001216	17.94	0.001216	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus;Neocarus_bajacalifornicus
0.004429	3.002e-07	0.004429	3.002e-07	Eukaryota;Arthropoda;Arachnida;Amblypygi
0	0	0.1565	1.061e-05	Eukaryota;Arthropoda;Diplopoda
0	0	0.08147	5.523e-06	Eukaryota;Arthropoda;Diplopoda;Polyzoniida
0.08147	5.523e-06	0.08147	5.523e-06	Eukaryota;Arthropoda;Diplopoda;Polyzoniida;Polyzoniidae
0	0	0.07505	5.088e-06	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida
0	0	0.07505	5.088e-06	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae
0	0	0.07505	5.088e-06	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus
0.07505	5.088e-06	0.07505	5.088e-06	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus;Glomeridesmus_spelaeus
25.88	0.001755	89.8	0.006088	Eukaryota;Arthropoda;Hexanauplia
0	0	0.003316	2.248e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida
0	0	0.003316	2.248e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae
0	0	0.003316	2.248e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia
0.003316	2.248e-07	0.003316	2.248e-07	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia;Nanocopia_minuta
63.91	0.004333	63.91	0.004333	Eukaryota;Arthropoda;Hexanauplia;Calanoida
0.1152	7.808e-06	2.617	0.0001774	Eukaryota;Arthropoda;Insecta
0.2451	1.662e-05	0.2451	1.662e-05	Eukaryota;Arthropoda;Insecta;Archaeognatha
1.86	0.0001261	1.86	0.0001261	Eukaryota;Arthropoda;Insecta;Embioptera
0.397	2.691e-05	0.397	2.691e-05	Eukaryota;Arthropoda;Insecta;Strepsiptera
0	0	2.034e-06	1.379e-10	Eukaryota;Arthropoda;Insecta;Zoraptera
2.034e-06	1.379e-10	2.034e-06	1.379e-10	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
0.6208	4.209e-05	0.6208	4.209e-05	Eukaryota;Arthropoda;Collembola
0	0	34.58	0.002344	Eukaryota;Haptista
24.98	0.001693	34.58	0.002344	Eukaryota;Haptista;Haptophyta
0	0	7.503	0.0005087	Eukaryota;Haptista;Haptophyta;Prymnesiales
0	0	7.503	0.0005087	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae
7.503	0.0005087	7.503	0.0005087	Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;Chrysochromulina
0.1015	6.878e-06	0.1015	6.878e-06	Eukaryota;Haptista;Haptophyta;Isochrysidales
0	0	2	0.0001356	Eukaryota;Haptista;Haptophyta;Phaeocystales
0	0	2	0.0001356	Eukaryota;Haptista;Haptophyta;Phaeocystales;Phaeocystaceae
2	0.0001356	2	0.0001356	Eukaryota;Haptista;Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis
0	0	936.6	0.0635	Eukaryota;Cycliophora
0	0	936.6	0.0635	Eukaryota;Cycliophora;Symbion
0	0	936.6	0.0635	Eukaryota;Cycliophora;Symbion;Symbion
0	0	936.6	0.0635	Eukaryota;Cycliophora;Symbion;Symbion;Symbion
936.6	0.0635	936.6	0.0635	Eukaryota;Cycliophora;Symbion;Symbion;Symbion;Symbion
0	0	1253	0.08494	Eukaryota;Gastrotricha
0	0	1253	0.08494	Eukaryota;Gastrotricha;Chaetonotida
1253	0.08494	1253	0.08494	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
4.977	0.0003374	24.75	0.001678	Eukaryota;Echinodermata
9.771	0.0006624	16.08	0.00109	Eukaryota;Echinodermata;Echinoidea
0	0	3.319	0.000225	Eukaryota;Echinodermata;Echinoidea;Pedinoida
0	0	3.319	0.000225	Eukaryota;Echinodermata;Echinoidea;Pedinoida;Caenopedina
3.319	0.000225	3.319	0.000225	Eukaryota;Echinodermata;Echinoidea;Pedinoida;Caenopedina;Caenopedina
0	0	2.498	0.0001693	Eukaryota;Echinodermata;Echinoidea;Salenioida
2.498	0.0001693	2.498	0.0001693	Eukaryota;Echinodermata;Echinoidea;Salenioida;Saleniidae
0	0	6.403e-05	4.341e-09	Eukaryota;Echinodermata;Echinoidea;Arbacoida
6.403e-05	4.341e-09	6.403e-05	4.341e-09	Eukaryota;Echinodermata;Echinoidea;Arbacoida;Arbaciidae
0.0447	3.03e-06	0.0447	3.03e-06	Eukaryota;Echinodermata;Echinoidea;Phymosomatoida
0	0	0.4439	3.009e-05	Eukaryota;Echinodermata;Echinoidea;Micropygoida
0	0	0.4439	3.009e-05	Eukaryota;Echinodermata;Echinoidea;Micropygoida;Micropygidae
0	0	0.4439	3.009e-05	Eukaryota;Echinodermata;Echinoidea;Micropygoida;Micropygidae;Micropyga
0.4439	3.009e-05	0.4439	3.009e-05	Eukaryota;Echinodermata;Echinoidea;Micropygoida;Micropygidae;Micropyga;Micropyga_tuberculata
0	0	3.692	0.0002503	Eukaryota;Echinodermata;Asteroidea
0	0	3.692	0.0002503	Eukaryota;Echinodermata;Asteroidea;Peripodida
0	0	3.692	0.0002503	Eukaryota;Echinodermata;Asteroidea;Peripodida;Xyloplacidae
0	0	3.692	0.0002503	Eukaryota;Echinodermata;Asteroidea;Peripodida;Xyloplacidae;Xyloplax
0	0	3.692	0.0002503	Eukaryota;Echinodermata;Asteroidea;Peripodida;Xyloplacidae;Xyloplax;Xyloplax
3.692	0.0002503	3.692	0.0002503	Eukaryota;Echinodermata;Asteroidea;Peripodida;Xyloplacidae;Xyloplax;Xyloplax;_anetae
0	0	1125	0.07625	Eukaryota;Euglenozoa
1105	0.07488	1125	0.07625	Eukaryota;Euglenozoa;Euglenida
3.149	0.0002135	3.149	0.0002135	Eukaryota;Euglenozoa;Euglenida;Euglenales
