amplicon	linearized.dereplicate_ERR3460466.merged.fastq	total
ERR3460466:::18519:0:0:0:0.666015	6	6
ERR3460466:::528:0:0:0:0.639954	6	6
ERR3460466:::5611:0:0:0:0.607115	6	6
ERR3460466:::10839:0:0:0:0.610611	5	5
ERR3460466:::1554:0:0:0:0.613462	5	5
ERR3460466:::21372:0:0:0:0.602551	5	5
ERR3460466:::44219:0:0:0:0.602980	5	5
ERR3460466:::5517:0:0:0:0.607281	5	5
ERR3460466:::6231:0:0:0:0.630793	5	5
ERR3460466:::8569:0:0:0:0.624813	5	5
ERR3460466:::1041:0:0:0:0.619359	4	4
ERR3460466:::12507:0:0:0:0.602618	4	4
ERR3460466:::13232:0:0:0:0.614151	4	4
ERR3460466:::14212:0:0:0:0.652319	4	4
ERR3460466:::14380:0:0:0:0.612059	4	4
ERR3460466:::15905:0:0:0:0.620581	4	4
ERR3460466:::18757:0:0:0:0.659800	4	4
ERR3460466:::20523:0:0:0:0.600645	4	4
ERR3460466:::25083:0:0:0:0.617036	4	4
ERR3460466:::26299:0:0:0:0.602229	4	4
ERR3460466:::27920:0:0:0:0.634014	4	4
ERR3460466:::28109:0:0:0:0.646852	4	4
ERR3460466:::30693:0:0:0:0.624081	4	4
ERR3460466:::32335:0:0:0:0.639978	4	4
ERR3460466:::4601:0:0:0:0.609504	4	4
ERR3460466:::4758:0:0:0:0.620852	4	4
ERR3460466:::54697:0:0:0:0.609334	4	4
ERR3460466:::10149:0:0:0:0.626743	3	3
ERR3460466:::10706:0:0:0:0.603090	3	3
ERR3460466:::11084:0:0:0:0.611215	3	3
ERR3460466:::119907:0:0:0:0.639982	3	3
ERR3460466:::12060:0:0:0:0.664196	3	3
ERR3460466:::12293:0:0:0:0.608072	3	3
ERR3460466:::12677:0:0:0:0.610973	3	3
ERR3460466:::12765:0:0:0:0.628513	3	3
ERR3460466:::12773:0:0:0:0.615380	3	3
ERR3460466:::12803:0:0:0:0.634858	3	3
ERR3460466:::14298:0:0:0:0.627567	3	3
ERR3460466:::14348:0:0:0:0.612057	3	3
ERR3460466:::14669:0:0:0:0.609240	3	3
ERR3460466:::14965:0:0:0:0.651427	3	3
ERR3460466:::1540:0:0:0:0.630505	3	3
ERR3460466:::158:0:0:0:0.635149	3	3
ERR3460466:::16259:0:0:0:0.637986	3	3
ERR3460466:::16480:0:0:0:0.608390	3	3
ERR3460466:::17945:0:0:0:0.622155	3	3
ERR3460466:::18012:0:0:0:0.610501	3	3
ERR3460466:::19378:0:0:0:0.604994	3	3
ERR3460466:::20012:0:0:0:0.665898	3	3
ERR3460466:::21032:0:0:0:0.643532	3	3
ERR3460466:::21051:0:0:0:0.616588	3	3
ERR3460466:::21305:0:0:0:0.635069	3	3
ERR3460466:::21550:0:0:0:0.616760	3	3
ERR3460466:::21913:0:0:0:0.617483	3	3
ERR3460466:::22123:0:0:0:0.604435	3	3
ERR3460466:::24040:0:0:0:0.641574	3	3
ERR3460466:::25642:0:0:0:0.617033	3	3
ERR3460466:::26371:0:0:0:0.653636	3	3
ERR3460466:::26441:0:0:0:0.613983	3	3
ERR3460466:::27414:0:0:0:0.634501	3	3
ERR3460466:::2756:0:0:0:0.629583	3	3
ERR3460466:::28490:0:0:0:0.610485	3	3
ERR3460466:::28883:0:0:0:0.687248	3	3
ERR3460466:::2946:0:0:0:0.631918	3	3
ERR3460466:::31849:0:0:0:0.608822	3	3
ERR3460466:::32238:0:0:0:0.608707	3	3
ERR3460466:::32260:0:0:0:0.626385	3	3
ERR3460466:::3443:0:0:0:0.601145	3	3
ERR3460466:::36288:0:0:0:0.614091	3	3
ERR3460466:::38770:0:0:0:0.610588	3	3
ERR3460466:::4119:0:0:0:0.606706	3	3
ERR3460466:::4169:0:0:0:0.665762	3	3
ERR3460466:::4278:0:0:0:0.616345	3	3
ERR3460466:::43752:0:0:0:0.639763	3	3
ERR3460466:::45459:0:0:0:0.619033	3	3
ERR3460466:::45540:0:0:0:0.610143	3	3
ERR3460466:::48068:0:0:0:0.607728	3	3
ERR3460466:::49307:0:0:0:0.602571	3	3
ERR3460466:::52331:0:0:0:0.604914	3	3
ERR3460466:::5243:0:0:0:0.657461	3	3
ERR3460466:::53314:0:0:0:0.613857	3	3
ERR3460466:::53382:0:0:0:0.653846	3	3
ERR3460466:::54427:0:0:0:0.647218	3	3
ERR3460466:::5443:0:0:0:0.612536	3	3
ERR3460466:::54665:0:0:0:0.608544	3	3
ERR3460466:::61131:0:0:0:0.621448	3	3
ERR3460466:::6148:0:0:0:0.652900	3	3
ERR3460466:::6501:0:0:0:0.605079	3	3
ERR3460466:::7174:0:0:0:0.611602	3	3
ERR3460466:::7426:0:0:0:0.649067	3	3
ERR3460466:::75236:0:0:0:0.603653	3	3
ERR3460466:::78075:0:0:0:0.610369	3	3
ERR3460466:::8192:0:0:0:0.602191	3	3
ERR3460466:::82282:0:0:0:0.616452	3	3
ERR3460466:::83108:0:0:0:0.627607	3	3
ERR3460466:::8336:0:0:0:0.629096	3	3
ERR3460466:::83579:0:0:0:0.646005	3	3
ERR3460466:::84709:0:0:0:0.662870	3	3
ERR3460466:::85953:0:0:0:0.654673	3	3
ERR3460466:::87531:0:0:0:0.605456	3	3
ERR3460466:::9046:0:0:0:0.600161	3	3
ERR3460466:::910:0:0:0:0.611745	3	3
ERR3460466:::91925:0:0:0:0.602792	3	3
ERR3460466:::9212:0:0:0:0.627149	3	3
ERR3460466:::9569:0:0:0:0.618368	3	3
ERR3460466:::97254:0:0:0:0.674753	3	3
ERR3460466:::100878:0:0:0:0.604527	2	2
ERR3460466:::100914:0:0:0:0.607162	2	2
ERR3460466:::100964:0:0:0:0.609474	2	2
ERR3460466:::101027:0:0:0:0.624371	2	2
ERR3460466:::101614:0:0:0:0.605932	2	2
ERR3460466:::10179:0:0:0:0.609836	2	2
ERR3460466:::101859:0:0:0:0.625081	2	2
ERR3460466:::101912:0:0:0:0.628543	2	2
ERR3460466:::103183:0:0:0:0.621543	2	2
ERR3460466:::1036:0:0:0:0.606510	2	2
ERR3460466:::104789:0:0:0:0.600811	2	2
ERR3460466:::104830:0:0:0:0.656963	2	2
ERR3460466:::10532:0:0:0:0.626404	2	2
ERR3460466:::105367:0:0:0:0.619193	2	2
ERR3460466:::105526:0:0:0:0.616678	2	2
ERR3460466:::10577:0:0:0:0.600860	2	2
ERR3460466:::105876:0:0:0:0.621187	2	2
ERR3460466:::106895:0:0:0:0.634404	2	2
ERR3460466:::108759:0:0:0:0.613605	2	2
ERR3460466:::108831:0:0:0:0.601981	2	2
ERR3460466:::109128:0:0:0:0.624278	2	2
ERR3460466:::109605:0:0:0:0.673661	2	2
ERR3460466:::109754:0:0:0:0.663621	2	2
ERR3460466:::10979:0:0:0:0.615855	2	2
ERR3460466:::110192:0:0:0:0.607499	2	2
ERR3460466:::110384:0:0:0:0.616182	2	2
ERR3460466:::1104:0:0:0:0.632784	2	2
ERR3460466:::110622:0:0:0:0.648609	2	2
ERR3460466:::11076:0:0:0:0.632884	2	2
ERR3460466:::11151:0:0:0:0.605785	2	2
ERR3460466:::11170:0:0:0:0.649742	2	2
ERR3460466:::111988:0:0:0:0.617089	2	2
ERR3460466:::112388:0:0:0:0.612783	2	2
ERR3460466:::11346:0:0:0:0.635456	2	2
ERR3460466:::114341:0:0:0:0.624474	2	2
ERR3460466:::115290:0:0:0:0.620440	2	2
ERR3460466:::115456:0:0:0:0.617655	2	2
ERR3460466:::11591:0:0:0:0.639400	2	2
ERR3460466:::116116:0:0:0:0.645933	2	2
ERR3460466:::116549:0:0:0:0.614629	2	2
ERR3460466:::11700:0:0:0:0.618486	2	2
ERR3460466:::11733:0:0:0:0.605831	2	2
ERR3460466:::11780:0:0:0:0.637186	2	2
ERR3460466:::11842:0:0:0:0.617614	2	2
ERR3460466:::11864:0:0:0:0.604532	2	2
ERR3460466:::119902:0:0:0:0.603207	2	2
ERR3460466:::120091:0:0:0:0.601178	2	2
ERR3460466:::12040:0:0:0:0.636961	2	2
ERR3460466:::121195:0:0:0:0.640072	2	2
ERR3460466:::12280:0:0:0:0.613022	2	2
ERR3460466:::12396:0:0:0:0.636694	2	2
ERR3460466:::12405:0:0:0:0.665845	2	2
ERR3460466:::12448:0:0:0:0.607163	2	2
ERR3460466:::1248:0:0:0:0.607516	2	2
ERR3460466:::12526:0:0:0:0.667802	2	2
ERR3460466:::12608:0:0:0:0.619311	2	2
ERR3460466:::12634:0:0:0:0.632612	2	2
ERR3460466:::12699:0:0:0:0.639359	2	2
ERR3460466:::127512:0:0:0:0.652473	2	2
ERR3460466:::12960:0:0:0:0.605956	2	2
