OTU	ERR3460466	classification
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:15540.613462	961	Eukaryota;Chordata;Amphibia;Anura;Ranidae;Odorrana;Odorrana narina
ERR3460466:107060.603090	654	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
ERR3460466:240400.641574	593	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides nigrum
ERR3460466:13060.638119	527	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii
ERR3460466:164800.608390	410	Eukaryota;Arthropoda;Insecta;Coleoptera;Lampyridae;Photinus;Photinus umbratus
ERR3460466:34430.601145	358	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Ostrea;Ostrea stentina
ERR3460466:92120.627149	357	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:126080.619311	252	Eukaryota;Arthropoda;Insecta;Orthoptera;Tettigoniidae;Banza;Banza molokaiensis
ERR3460466:111700.649742	215	Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Amphibalanus;Amphibalanus amphitrite
ERR3460466:205880.635668	209	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia;Obelia dichotoma
ERR3460466:294980.647587	137	Eukaryota;Chordata;Mammalia;Diprotodontia;Potoroidae;Hypsiprymnodon;Hypsiprymnodon moschatus
ERR3460466:1091280.624278	125	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Dendostrea;Dendostrea crenulifera
ERR3460466:23200.601672	125	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Ostrea;Ostrea denselamellosa
ERR3460466:145960.635857	102	Eukaryota;Arthropoda;Insecta;Megaloptera;Sialidae;Sialis;Sialis hamata
ERR3460466:1015890.622912	88	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR3460466:132600.600897	80	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1008780.604527	68	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Atrapsalta (nomen nudum);Atrapsalta corticina (nomen nudum)
ERR3460466:1200910.601178	65	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Laomedea;Laomedea calceolifera
ERR3460466:49780.618030	52	Eukaryota;Arthropoda;Malacostraca;Decapoda;Nephropidae;Metanephrops;Metanephrops formosanus
ERR3460466:86290.634797	49	Eukaryota;Arthropoda;Diplopoda;Spirobolida;Spirobolidae;Narceus;Narceus annularus
ERR3460466:145710.621476	44	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Codonium;Codonium proliferum
ERR3460466:1014790.609048	26	Eukaryota;Arthropoda;Insecta;Siphonaptera;Ctenophthalmidae;Neopsylla;Neopsylla sellaris
ERR3460466:104020.602406	26	Eukaryota;Arthropoda;Arachnida;Scorpiones;Diplocentridae;Bioculus;Bioculus caboensis
ERR3460466:161270.665364	23	Eukaryota;Porifera;Demospongiae;Halichondrida;Hymeniacidonidae;Hymeniacidon;Hymeniacidon sinapium
ERR3460466:1013680.610028	21	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Aeolidiidae;Anteaeolidiella;Anteaeolidiella lurana
ERR3460466:1035860.602996	18	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Ostrea;Ostrea stentina
ERR3460466:1010450.604667	17	Eukaryota;Chordata;Actinopteri;Cypriniformes;Psilorhynchidae;Psilorhynchus;Psilorhynchus homaloptera
ERR3460466:149650.651427	17	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
ERR3460466:108390.610611	16	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1135360.613164	14	Eukaryota;Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa;Marphysa californica
ERR3460466:1014190.620936	13	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:105040.620215	13	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
