name	LWR	fract	aLWR	afract	taxopath
Query40	0.9071	0.9071	0.977	0.977	Bacteria;Bacteroidetes
Query11	0.9283	0.9283	0.9715	0.9715	Bacteria
Query73	0.1448	0.8624	0.1448	0.8624	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query28	0.9614	0.9637	0.9621	0.9643	Bacteria;Proteobacteria;Gammaproteobacteria
Query22	0.7544	0.7565	0.9803	0.9831	Eukaryota;Arthropoda
Query101	0.7794	0.7955	0.9673	0.9872	Eukaryota
Query64	0.6366	0.8885	0.7008	0.9781	Eukaryota
Query21	0.9033	0.9198	0.9537	0.9711	Eukaryota
Query71	0.3475	0.4137	0.3744	0.4457	Eukaryota;Filasterea;Filasterea
Query61	0.4985	0.5	0.4985	0.5	Eukaryota;Discosea;Longamoebia;Longamoebia
Query74	0.5538	0.6743	0.8057	0.981	Eukaryota
Query7	0.6554	0.777	0.8254	0.9785	Eukaryota
Query90	0.7971	0.8645	0.9134	0.9906	Eukaryota
Query83	0.7261	0.7261	0.7261	0.7261	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query13	0.9003	0.9036	0.9964	1	Eukaryota
Query99	0.8998	0.9012	0.9985	1	Eukaryota
Query65	0.5405	0.5615	0.9582	0.9953	Eukaryota
Query66	0.5416	0.6023	0.882	0.9808	Eukaryota
Query56	0.5754	0.7786	0.7235	0.979	Eukaryota
Query79	0.6818	0.9409	0.6941	0.9578	Eukaryota
Query47	0.5404	0.5414	0.99	0.9918	Eukaryota;Rhodophyta;Florideophyceae
Query18	0.5855	0.5875	0.987	0.9905	Eukaryota;Rhodophyta;Florideophyceae
Query93	0.7791	0.7791	0.946	0.946	Bacteria;Bacteroidetes;Flavobacteriia
Query54	0.8059	0.8059	0.9703	0.9703	Bacteria
Query30	0.0957	0.6246	0.0957	0.6246	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query58	0.5068	0.8129	0.6089	0.9768	Eukaryota
Query8	0.8275	0.8492	0.9589	0.9841	Eukaryota
Query14	0.5036	0.6709	0.5141	0.6849	Eukaryota;Oomycota;Oomycota
Query78	0.5214	0.5214	0.999	0.999	Eukaryota
Query80	0.4782	0.4782	0.4782	0.4782	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query85	0.5661	0.5661	0.9914	0.9915	Eukaryota
Query104	0.6462	0.9335	0.6759	0.9764	Eukaryota
Query49	0.5895	0.5895	0.5895	0.5895	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query50	0.8825	0.8835	0.9989	1	Eukaryota
Query43	0.9221	0.9221	0.9524	0.9524	Eukaryota
Query59	0.8813	0.8826	0.9985	1	Eukaryota
Query34	0.9323	0.9323	0.9505	0.9505	Eukaryota
Query72	0.5703	0.9737	0.5703	0.9737	Eukaryota
Query53	0.9701	0.9854	0.9703	0.9856	Eukaryota;Ascomycota
Query25	0.5682	0.5697	0.9884	0.9911	Eukaryota;Rhodophyta;Florideophyceae
Query17	0.5289	0.5295	0.9909	0.992	Eukaryota;Rhodophyta;Florideophyceae
Query76	0.6806	0.6806	0.8942	0.8942	Bacteria;Bacteroidetes;Flavobacteriia
Query81	0.9538	0.9624	0.9538	0.9624	Bacteria;Proteobacteria;Gammaproteobacteria
Query41	0.9298	0.943	0.9561	0.9697	Eukaryota
Query38	0.953	0.9802	0.953	0.9802	Eukaryota
Query86	0.7456	0.7927	0.9284	0.987	Eukaryota
Query46	0.6484	0.6484	0.6484	0.6484	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query88	0.8611	0.8611	0.9688	0.9688	Eukaryota
Query48	0.7807	0.7809	0.995	0.9953	Eukaryota;Arthropoda
Query16	0.7721	0.7737	0.9556	0.9576	Eukaryota;Filasterea;Filasterea
Query39	0.6569	0.6742	0.9571	0.9823	Eukaryota
Query105	0.8821	0.9517	0.9118	0.9837	Eukaryota
Query23	0.9302	0.9665	0.9418	0.9786	Eukaryota
Query91	0.816	0.8382	0.9724	0.9989	Eukaryota;Bacillariophyta
Query87	0.7092	0.8089	0.8555	0.9758	Eukaryota
Query5	0.9916	0.9919	0.9916	0.992	Eukaryota
Query1	0.7466	0.7474	0.9913	0.9924	Eukaryota;Arthropoda
Query24	0.4989	0.5	0.4989	0.5	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
Query77	0.6918	0.6918	0.976	0.976	Eukaryota;Mollusca;Bivalvia
Query84	0.4918	0.4918	0.6959	0.6959	Eukaryota;Mollusca;Bivalvia
Query100	0.5513	0.5589	0.9676	0.9811	Eukaryota
Query94	0.9327	0.9329	0.9716	0.9718	Bacteria;Bacteroidetes
Query45	0.132	0.9117	0.132	0.9117	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query96	0.5784	0.5784	0.9678	0.9678	Bacteria;Proteobacteria;Alphaproteobacteria
Query89	0.5642	0.5986	0.9379	0.995	Eukaryota
Query19	0.9575	0.9627	0.9575	0.9627	Bacteria;Proteobacteria;Gammaproteobacteria
Query67	0.9809	1	0.9809	1	Eukaryota
Query27	0.6333	0.6333	0.6333	0.6333	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae
Query42	0.5325	0.5349	0.9883	0.9928	Eukaryota
Query82	0.2356	0.3356	0.6917	0.9854	Eukaryota
Query106	0.7261	0.7261	0.9514	0.9515	Eukaryota;Arthropoda
Query69	0.4997	0.5	0.4997	0.5	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
Query20	0.8338	0.8338	0.9733	0.9733	Bacteria;Bacteroidetes
Query97	0.7196	0.7829	0.889	0.9672	Eukaryota
Query6	0.6335	0.6335	0.6335	0.6335	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae
Query29	0.5	0.5	0.5	0.5	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
Query36	0.5744	0.5744	0.9954	0.9954	Bacteria;Bacteroidetes
Query103	0.2318	0.6306	0.3488	0.9487	Eukaryota
Query2	0.6436	0.6436	1	1	Eukaryota;Xanthophyceae;Xanthophyceae
Query95	0.7255	0.7258	0.7255	0.7258	Eukaryota;Discosea;Longamoebia;Longamoebia
Query98	0.5626	0.5626	0.5626	0.5626	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query51	0.5155	0.5155	0.9799	0.9799	Eukaryota;Mollusca;Bivalvia
Query57	0.8095	0.8095	0.9783	0.9783	Bacteria
Query92	0.1098	0.7303	0.1098	0.7303	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query15	0.9178	0.9178	0.9734	0.9734	Bacteria;Bacteroidetes
Query12	0.574	0.574	0.574	0.574	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae
Query44	0.7737	0.7737	0.8088	0.8088	Eukaryota;Bacillariophyta;Bacillariophyceae
Query37	0.688	0.688	1	1	Eukaryota;Xanthophyceae;Xanthophyceae
Query3	0.5636	0.5636	0.5636	0.5636	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query10	0.6308	0.6308	0.9779	0.9779	Eukaryota;Mollusca;Bivalvia
Query32	0.6326	0.6326	0.6326	0.6326	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae
Query52	0.5	0.5	0.5	0.5	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
Query26	0.6987	0.6987	1	1	Eukaryota;Xanthophyceae;Xanthophyceae
Query107	0.5427	0.5427	0.5427	0.5427	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query35	0.4999	0.5	0.4999	0.5	Eukaryota;Chlorophyta;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron;Tetraedoron_bitridens
Query70	0.5584	0.5584	0.9951	0.9951	Bacteria;Bacteroidetes
Query33	0.7827	0.7827	0.8307	0.8307	Eukaryota;Bacillariophyta;Bacillariophyceae
Query31	0.5809	0.5809	0.5809	0.5809	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query60	0.5956	0.5956	0.5956	0.5956	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
