name	LWR	fract	aLWR	afract	taxopath
Query172	0	0	0.9608	0.9661	Bacteria
Query172	0.1098	0.1104	0.9608	0.9661	Bacteria;Bacteroidetes
Query172	0.4998	0.5025	0.851	0.8557	Bacteria;Bacteroidetes;Flavobacteriia
Query172	0.3512	0.3532	0.3512	0.3532	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
Query172	0.03367	0.03386	0.03367	0.03386	DISTANT
Query39	0	0	0.9733	0.9733	Bacteria
Query39	0.8338	0.8338	0.9733	0.9733	Bacteria;Bacteroidetes
Query39	0.1395	0.1395	0.1395	0.1395	Bacteria;Bacteroidetes;Flavobacteriia
Query39	0.0267	0.0267	0.0267	0.0267	DISTANT
Query167	0	0	0.6071	0.9176	Bacteria
Query167	0	0	0.6071	0.9176	Bacteria;Proteobacteria
Query167	0	0	0.6071	0.9176	Bacteria;Proteobacteria;Betaproteobacteria
Query167	0.5618	0.8491	0.5618	0.8491	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query167	0	0	0.04533	0.06851	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis
Query167	0.04533	0.06851	0.04533	0.06851	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis;Candidatus_Accumulibacter
Query167	0.05452	0.08239	0.05452	0.08239	DISTANT
Query127	0	0	0.9543	0.9638	Bacteria
Query127	0	0	0.9543	0.9638	Bacteria;Proteobacteria
Query127	0.9519	0.9614	0.9543	0.9638	Bacteria;Proteobacteria;Gammaproteobacteria
Query127	0	0	0.002388	0.002412	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales
Query127	0.002388	0.002412	0.002388	0.002412	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae
Query127	0.03586	0.03622	0.03586	0.03622	DISTANT
Query166	0	0	0.958	0.958	Bacteria
Query166	0	0	0.958	0.958	Bacteria;Proteobacteria
Query166	0.4172	0.4172	0.958	0.958	Bacteria;Proteobacteria;Alphaproteobacteria
