LWR	fract	aLWR	afract	taxopath
4.079	0.002881	163.8	0.1157	Bacteria
0	0	0.9999	0.0007063	Bacteria;Aquificae
0	0	0.9999	0.0007063	Bacteria;Aquificae;Aquificae
0	0	0.9999	0.0007063	Bacteria;Aquificae;Aquificae;Aquificales
0.9999	0.0007063	0.9999	0.0007063	Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae
0.001146	8.093e-07	6	0.004238	Bacteria;Cyanobacteria
0	0	0.9998	0.0007062	Bacteria;Cyanobacteria;Gloeobacteria
0	0	0.9998	0.0007062	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales
0	0	0.9998	0.0007062	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae
0	0	0.9998	0.0007062	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter
0.9998	0.0007062	0.9998	0.0007062	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter;Gloeobacter_kilaueensis_JS1
0	0	0.9997	0.0007062	Bacteria;Cyanobacteria;Nostocales
0	0	0.9997	0.0007062	Bacteria;Cyanobacteria;Nostocales;Nostocales
0	0	0.9997	0.0007062	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae
0	0	0.9997	0.0007062	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae;Richelia
0.9997	0.0007062	0.9997	0.0007062	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae;Richelia;Richelia_intracellularis_HH01
0.000468	3.306e-07	3.999	0.002825	Bacteria;Cyanobacteria;p_Cyanobacteria
0.9999	0.0007063	0.9999	0.0007063	Bacteria;Cyanobacteria;p_Cyanobacteria;Synechococcales
0.9994	0.0007059	0.9994	0.0007059	Bacteria;Cyanobacteria;p_Cyanobacteria;Nostocales
0.9998	0.0007062	0.9998	0.0007062	Bacteria;Cyanobacteria;p_Cyanobacteria;Chroococcales
0	0	0.9998	0.0007062	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales
0	0	0.9998	0.0007062	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae
0	0	0.9998	0.0007062	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira
0.9998	0.0007062	0.9998	0.0007062	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira;Limnospira_indica_PCC_8005
4.639	0.003276	26.55	0.01875	Bacteria;Bacteroidetes
8.496	0.006001	14.63	0.01033	Bacteria;Bacteroidetes;Flavobacteriia
3.938	0.002781	3.938	0.002781	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
0	0	2.192	0.001548	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia
0	0	2.192	0.001548	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia
0	0	2.192	0.001548	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia
2.192	0.001548	2.192	0.001548	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia;Flavobacteria_bacterium_MS0243C
0	0	1.285	0.0009074	Bacteria;Bacteroidetes;Sphingobacteriia
0	0	1.285	0.0009074	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales
1.285	0.0009074	1.285	0.0009074	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
0	0	0.9998	0.0007062	Bacteria;Bacteroidetes;Saprospiria
0	0	0.9998	0.0007062	Bacteria;Bacteroidetes;Saprospiria;Saprospirales
0.9998	0.0007062	0.9998	0.0007062	Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae
0	0	2	0.001413	Bacteria;Bacteroidetes;Bacteroidia
0	0	0.9999	0.0007063	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales
0	0	0.9999	0.0007063	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
0	0	0.9999	0.0007063	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium
0.9999	0.0007063	0.9999	0.0007063	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium;Draconibacterium_orientale
0.9999	0.0007063	0.9999	0.0007063	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
0	0	0.9997	0.0007062	Bacteria;Bacteroidetes;Chitinophagia
0	0	0.9997	0.0007062	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales
0.9997	0.0007062	0.9997	0.0007062	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
0	0	0.9998	0.0007062	Bacteria;Bacteroidetes;p_Bacteroidetes
0	0	0.9998	0.0007062	Bacteria;Bacteroidetes;p_Bacteroidetes;Bacteroidetes_Order_II._Incertae_sedis
0.9998	0.0007062	0.9998	0.0007062	Bacteria;Bacteroidetes;p_Bacteroidetes;Bacteroidetes_Order_II._Incertae_sedis;Rhodothermaceae
0	0	0.9997	0.0007062	Bacteria;Bacteroidetes;Cytophagia
0.9997	0.0007062	0.9997	0.0007062	Bacteria;Bacteroidetes;Cytophagia;Cytophagales
0.7152	0.0005052	70.42	0.04974	Bacteria;Proteobacteria
0.002814	1.988e-06	6.607	0.004667	Bacteria;Proteobacteria;Betaproteobacteria
1.562	0.001103	1.562	0.001103	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
0	0	1.045	0.0007381	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis
1.045	0.0007381	1.045	0.0007381	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis;Candidatus_Accumulibacter
0.9994	0.0007059	0.9994	0.0007059	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales
0.9995	0.000706	0.9995	0.000706	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales
0.9984	0.0007052	0.9984	0.0007052	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
0	0	0.9999	0.0007063	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria
0	0	0.9999	0.0007063	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria
0.9999	0.0007063	0.9999	0.0007063	Bacteria;Proteobacteria;Betaproteobacteria;c_Betaproteobacteria;c_o_Betaproteobacteria;c_o_f_Betaproteobacteria
5.547	0.003918	22.86	0.01615	Bacteria;Proteobacteria;Gammaproteobacteria
0	0	1.282	0.0009054	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales
1.282	0.0009054	1.282	0.0009054	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae
0	0	0.9995	0.000706	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales
0	0	0.9995	0.000706	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae
0	0	0.9995	0.000706	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Hydrocarboniphaga
0.9995	0.000706	0.9995	0.000706	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Hydrocarboniphaga;Hydrocarboniphaga_effusa_AP103
0	0	0.9999	0.0007063	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales
0	0	0.9999	0.0007063	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae
0	0	0.9999	0.0007063	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium
0.9999	0.0007063	0.9999	0.0007063	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;Cardiobacterium_valvarum_F0432
