name	LWR	fract	aLWR	afract	taxopath
Query1392	0.6138	0.6138	0.6138	0.6138	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query248	0.6771	0.6771	0.6771	0.6771	DISTANT
Query580	0.7141	0.7141	0.7141	0.7141	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1558	0.7147	0.7148	0.7768	0.777	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query100	0.7896	0.7896	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2292	0.7907	0.7907	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1561	0.7489	0.749	0.9436	0.9436	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query847	0.4832	0.4832	0.7103	0.7103	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query633	0.5083	0.5083	0.6488	0.6488	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query560	0.7204	0.7204	0.8623	0.8623	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query112	0.6753	0.6754	0.6753	0.6754	DISTANT
Query1053	0.7752	0.7752	0.9933	0.9933	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query350	0.5538	0.5538	0.5538	0.5538	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1077	0.8996	0.8996	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1552	0.4044	0.4044	0.7615	0.7615	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1033	0.6185	0.6185	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query507	0.7452	0.7452	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query64	0.5222	0.5222	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1576	0.5195	0.5195	0.5195	0.5195	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query377	0.831	0.831	0.831	0.831	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query803	0.7883	0.7884	0.7883	0.7884	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1312	0.0535	0.9612	0.0535	0.9612	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query360	0.8116	0.8116	0.8116	0.8116	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query765	0.09584	0.9999	0.09584	0.9999	DISTANT
Query2227	0.9112	0.9112	0.9112	0.9112	Bacteria
Query570	0.8986	0.9154	0.9446	0.9622	Bacteria;Proteobacteria;Alphaproteobacteria
Query2993	0.01686	0.9992	0.01686	0.9992	DISTANT
Query2188	0.2852	0.8833	0.2853	0.8833	Eukaryota;Haptista;Haptophyta
Query1818	0.4715	0.4962	0.4715	0.4962	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales
Query1150	0.8027	0.8068	0.9549	0.9598	Bacteria;Proteobacteria;Alphaproteobacteria
Query605	0.2808	0.4773	0.333	0.566	Bacteria;Proteobacteria;Betaproteobacteria
Query517	0.3317	0.5608	0.3956	0.6689	Bacteria;Proteobacteria;Betaproteobacteria
Query1873	0.952	0.9522	0.952	0.9522	Bacteria;Proteobacteria;Alphaproteobacteria
Query2632	0.928	0.933	0.9405	0.9456	Bacteria;Proteobacteria;Alphaproteobacteria
Query1004	0.7946	0.796	0.9537	0.9554	Bacteria;Proteobacteria;Alphaproteobacteria
Query2907	0.1733	0.7028	0.1733	0.7028	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query1896	0.5205	0.7258	0.5205	0.7258	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query1806	0.9328	0.9333	0.9328	0.9333	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query289	0.2603	0.4491	0.3107	0.536	Bacteria;Proteobacteria;Betaproteobacteria
Query1329	0.9171	0.9418	0.9315	0.9566	Bacteria
Query2325	0.1926	0.7511	0.1926	0.7511	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
