name	LWR	fract	aLWR	afract	taxopath
Query1583	0.5738	0.5738	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2641	0.6346	0.6346	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3213	0.5649	0.5649	0.9298	0.9298	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1215	0.4427	0.4428	0.569	0.5691	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2908	0.9112	0.9112	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1099	0.6068	0.6068	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2143	0.6695	0.6695	0.838	0.838	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query448	0.5273	0.5273	0.5273	0.5273	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1862	0.9013	0.9013	0.9917	0.9917	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3256	0.5544	0.5544	0.5544	0.5544	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1146	0.73	0.73	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2417	0.7826	0.7826	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3403	0.7946	0.7946	0.9688	0.9688	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1028	0.851	0.851	0.851	0.851	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2678	0.8198	0.8202	0.8198	0.8202	DISTANT
Query410	0.5384	0.5384	0.5384	0.5384	DISTANT
Query1964	0.9294	0.9294	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2994	0.7694	0.7694	0.7986	0.7986	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query977	0.5757	0.5757	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1744	0.8345	0.8389	0.8345	0.8389	DISTANT
Query3748	0.7922	0.7922	0.9063	0.9063	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1417	0.6648	0.6648	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2931	1	1	1	1	DISTANT
Query1055	0.752	0.752	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2411	0.7808	0.7808	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3605	0.6527	0.6527	0.9556	0.9556	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1455	0.734	0.734	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2452	0.5614	0.5614	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query411	0.7774	0.7774	0.9897	0.9897	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2138	0.5309	0.5309	0.7831	0.7831	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3080	0.5268	0.5268	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query767	0.6991	0.6991	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1970	0.6406	0.6406	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2762	0.4923	0.497	0.6104	0.6163	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query830	0.5601	0.5601	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2127	0.5337	0.5337	0.5337	0.5337	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3343	0.4285	0.4285	0.584	0.584	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
