name	LWR	fract	aLWR	afract	taxopath
Query1542	0.1456	1	0.1456	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query1461	0.4578	1	0.4578	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query256	0.3865	0.9233	0.3865	0.9233	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query78	0.7152	0.7156	0.7152	0.7156	DISTANT
Query2433	0.6841	0.6841	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query339	0.6039	0.6039	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1943	0.9637	0.9637	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3232	0.5514	0.555	0.5514	0.555	DISTANT
Query948	0.7854	0.7854	0.839	0.839	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3050	0.5195	0.5195	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query94	0.6298	0.6298	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1345	0.6908	0.6908	0.8485	0.8485	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3542	0.6276	0.6276	0.6276	0.6276	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2326	0.7196	0.7196	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query678	0.7309	0.7309	0.7309	0.7309	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3077	0.7007	0.7007	0.7007	0.7007	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2180	0.6534	0.6534	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3064	0.6367	0.6367	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query611	0.7632	0.7632	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2640	0.7367	0.7367	0.7367	0.7367	DISTANT
Query1140	0.5175	0.5175	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3079	0.5692	0.5697	0.5692	0.5697	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1422	0.8252	0.8252	0.8252	0.8252	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query952	0.5103	0.5103	0.5103	0.5103	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2816	0.5952	0.5952	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query891	0.787	0.787	0.808	0.808	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2767	0.5123	0.5123	0.5123	0.5123	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query600	0.6635	0.6635	0.8755	0.8755	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2748	0.5429	0.5429	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query861	0.6014	0.6014	0.6014	0.6014	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2120	0.68	0.68	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query228	0.6276	0.6276	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2182	0.8732	0.8732	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query381	0.9089	0.9089	0.9089	0.9089	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2540	0.8028	0.8028	0.8028	0.8028	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1426	0.6189	0.6189	0.8706	0.8706	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3696	0.7453	0.7453	0.9848	0.9848	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1363	0.8442	0.8442	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2728	0.6306	0.6306	0.6306	0.6306	DISTANT
Query1022	0.6778	0.6778	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3022	0.5463	0.5463	0.5463	0.5463	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query394	0.5873	0.5879	0.5873	0.5879	DISTANT
Query2566	0.6868	0.6868	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query927	0.5313	0.5313	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
