name	LWR	fract	aLWR	afract	taxopath
Query1392	0	0	1	1	Archaea
Query1392	0	0	1	1	Archaea;Euryarchaeota
Query1392	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query1392	0.3862	0.3862	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1392	0.6138	0.6138	0.6138	0.6138	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query248	0	0	0.3229	0.3229	Archaea
Query248	0	0	0.3229	0.3229	Archaea;Euryarchaeota
Query248	0	0	0.3229	0.3229	Archaea;Euryarchaeota;environmental_samples
Query248	0.3229	0.3229	0.3229	0.3229	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query248	6.328e-07	6.328e-07	6.328e-07	6.328e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query248	0.6771	0.6771	0.6771	0.6771	DISTANT
Query580	0	0	0.7141	0.7141	Archaea
Query580	0	0	0.7141	0.7141	Archaea;Euryarchaeota
Query580	0	0	0.7141	0.7141	Archaea;Euryarchaeota;environmental_samples
Query580	0.7141	0.7141	0.7141	0.7141	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query580	7.938e-07	7.938e-07	7.938e-07	7.938e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query580	0.2859	0.2859	0.2859	0.2859	DISTANT
Query1558	0	0	0.7768	0.777	Archaea
Query1558	0	0	0.7768	0.777	Archaea;Euryarchaeota
Query1558	0	0	0.7768	0.777	Archaea;Euryarchaeota;environmental_samples
Query1558	0.7147	0.7148	0.7768	0.777	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1558	0.06214	0.06215	0.06214	0.06215	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1558	0.223	0.223	0.223	0.223	DISTANT
Query100	0	0	1	1	Archaea
Query100	0	0	1	1	Archaea;Euryarchaeota
Query100	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query100	0.7896	0.7896	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query100	0.2104	0.2104	0.2104	0.2104	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2292	0	0	1	1	Archaea
Query2292	0	0	1	1	Archaea;Euryarchaeota
Query2292	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query2292	0.7907	0.7907	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2292	0.2093	0.2093	0.2093	0.2093	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1561	0	0	0.9436	0.9436	Archaea
Query1561	0	0	0.9436	0.9436	Archaea;Euryarchaeota
Query1561	0	0	0.9436	0.9436	Archaea;Euryarchaeota;environmental_samples
Query1561	0.7489	0.749	0.9436	0.9436	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1561	0.1946	0.1947	0.1946	0.1947	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1561	0.05635	0.05635	0.05635	0.05635	DISTANT
Query847	0	0	0.7103	0.7103	Archaea
Query847	0	0	0.7103	0.7103	Archaea;Euryarchaeota
Query847	0	0	0.7103	0.7103	Archaea;Euryarchaeota;environmental_samples
Query847	0.4832	0.4832	0.7103	0.7103	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query847	0.2271	0.2271	0.2271	0.2271	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query847	0.2897	0.2897	0.2897	0.2897	DISTANT
Query633	0	0	0.6488	0.6488	Archaea
Query633	0	0	0.6488	0.6488	Archaea;Euryarchaeota
Query633	0	0	0.6488	0.6488	Archaea;Euryarchaeota;environmental_samples
Query633	0.5083	0.5083	0.6488	0.6488	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query633	0.1405	0.1405	0.1405	0.1405	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query633	0.3512	0.3512	0.3512	0.3512	DISTANT
Query560	0	0	0.8623	0.8623	Archaea
Query560	0	0	0.8623	0.8623	Archaea;Euryarchaeota
Query560	0	0	0.8623	0.8623	Archaea;Euryarchaeota;environmental_samples
Query560	0.7204	0.7204	0.8623	0.8623	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query560	0.1419	0.1419	0.1419	0.1419	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query560	0.1377	0.1377	0.1377	0.1377	DISTANT
Query112	0	0	0.3245	0.3246	Archaea
Query112	0	0	0.3245	0.3246	Archaea;Euryarchaeota
Query112	0	0	0.3245	0.3246	Archaea;Euryarchaeota;environmental_samples
Query112	0.3245	0.3246	0.3245	0.3246	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query112	6.359e-07	6.36e-07	6.359e-07	6.36e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query112	0.6753	0.6754	0.6753	0.6754	DISTANT
Query1053	0	0	0.9933	0.9933	Archaea
Query1053	0	0	0.9933	0.9933	Archaea;Euryarchaeota
Query1053	0	0	0.9933	0.9933	Archaea;Euryarchaeota;environmental_samples
Query1053	0.7752	0.7752	0.9933	0.9933	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1053	0.2181	0.2181	0.2181	0.2181	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1053	0.006722	0.006722	0.006722	0.006722	DISTANT
Query350	0	0	1	1	Archaea
Query350	0	0	1	1	Archaea;Euryarchaeota
Query350	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query350	0.4462	0.4462	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query350	0.5538	0.5538	0.5538	0.5538	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1077	0	0	1	1	Archaea
Query1077	0	0	1	1	Archaea;Euryarchaeota
Query1077	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query1077	0.8996	0.8996	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1077	0.1004	0.1004	0.1004	0.1004	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1552	0	0	0.7615	0.7615	Archaea
Query1552	0	0	0.7615	0.7615	Archaea;Euryarchaeota
Query1552	0	0	0.7615	0.7615	Archaea;Euryarchaeota;environmental_samples
Query1552	0.4044	0.4044	0.7615	0.7615	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1552	0.3571	0.3571	0.3571	0.3571	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1552	0.2385	0.2385	0.2385	0.2385	DISTANT
Query1033	0	0	1	1	Archaea
Query1033	0	0	1	1	Archaea;Euryarchaeota
Query1033	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query1033	0.6185	0.6185	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1033	0.3815	0.3815	0.3815	0.3815	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query507	0	0	1	1	Archaea
Query507	0	0	1	1	Archaea;Euryarchaeota
Query507	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query507	0.7452	0.7452	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query507	0.2548	0.2548	0.2548	0.2548	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query64	0	0	1	1	Archaea
Query64	0	0	1	1	Archaea;Euryarchaeota
Query64	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query64	0.5222	0.5222	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query64	0.4778	0.4778	0.4778	0.4778	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1576	0	0	1	1	Archaea
Query1576	0	0	1	1	Archaea;Euryarchaeota
Query1576	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query1576	0.4805	0.4805	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
